,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,34805216,圣人莫德,ac28b1250805df855918304956386bd7,6cb8fe1a2014bb3cb442e7fe6b9805f7,5.0,2021-02-24 10:49:51,"这篇影评可能有剧透 

                        ——完全剧透预警—— 我非常喜欢看创作型导演的访谈，对于一部意犹未尽的电影，导演访谈就是转场的after-party！ 这篇来自VULTURE的访谈可以说是关于""圣人莫德""最为详尽的一篇访谈，角度全面，细节丰富，时间也比较新，可以窥见导演Rose Glass创作这部作品前后的过程，言语间...

                         ( 展开 )",34.0,,8
1,1,34805216,圣人莫德,cf781972c20dc92f8a5ed8bc337a7f05,b04b1c6b0660af9dea205f356f20f172,5.0,2021-02-04 01:29:51,"这篇影评可能有剧透 

                        第一次在豆瓣写影评，凌晨将近一点看完的。这部电影期待了很久，最近网上才有了资源。作为欧美最新恐怖片爱好者的我，对于近几年的恐怖片也有所关注。看这部电影的开始我有些漫不经心，直到莫德在厨房里感召的样子让我感受到了一丝邪性，一直看到了最后。 说一下我自己对这部电...

                         ( 展开 )",39.0,1.0,10
2,2,34805216,圣人莫德,42f1d2bae70f3b6427f2bf5c2396e2ee,2de5b543a0428f6605fed05e3a5710c1,,2021-03-13 17:55:41,"又一部看了睡过去好几次的电影。最后女主照顾的病患突然驱魔时让整部犹如温吞水的电影突然有了点张力，最后的自焚应该也是自己想象的情景，最后的惨叫揭示了所有都是自我构想的覆灭。 女主接替别人照顾一个绝症患者，慢慢开始融入这个患者的生活，按部就班地开始照顾她。但是因...

                         ( 展开 )",2.0,,0
3,3,34805216,圣人莫德,c419c5d702dd8f783d1fef62199b925b,6f2a9d0c5f183b872c89bec86fa51dd5,3.0,2021-02-03 21:21:16,"2021年度观影No.29 罗斯·格拉斯 《圣人莫德》2019 (3.5/5) 首先，感觉A24这次又是改变以往类型的一次大胆尝试 英国编剧兼导演罗斯·格拉斯作为自己的首部处女作可以说设定了一个很高的门槛：这是一部解决关于信仰、心理创伤和精神疾病等诸多问题的作品。看上去导演用了一种抽...

                         ( 展开 )",4.0,1.0,0
4,4,34805216,圣人莫德,7aa2975cecb99fb92c1783be4ef77e29,d4316da210195746fbf0951763448d71,4.0,2021-04-15 16:54:23,"这篇影评可能有剧透 

                        在火爆出圈的《遗传厄运》之后，恐怖片有了新的分类方式：A24和其他。 A24出品的恐怖片，表面上都不像恐怖片，精美细致的镜头及平稳略显沉闷的节奏，像是文艺片一样展开，却抵不住故事骨子里透露出来的寒气。一惊一乍的 Jump scare式恐怖不是最终目的，当故事揭开假面，黑暗的...

                         ( 展开 )",1.0,,0
5,5,34805216,圣人莫德,8f61d806bffe08e1ea51a2adc963b9a2,5b1b5d54a9c613ecd3e18503948a9162,3.0,2021-02-24 22:59:11,"这篇影评可能有剧透 

                        2019年，恐怖惊悚惊悚电影《圣人莫德| Saint Maud》 A24出品的恐怖电影，风格还是着重于神秘诡异的气氛，文艺了一些，没有那么恐怖倒是。 电影讲述主角莫德是一名年轻的宗教信徒，她开始是一名护士，因为一次医疗事故，她换了工作，现在是一名私人护理员，在护理迷人的病人阿曼...

                         ( 展开 )",1.0,,0
6,6,34805216,圣人莫德,d3cbb336b5e61e39cd69f4d00d93bb05,274a82c0f93c05f22bcca57329ced88b,,2021-02-18 22:54:50,"这篇影评可能有剧透 

                        蛮奇异的观影体验，看讨论才知道是A24出品，包含了仲夏夜和遗传厄运这种类型的宗教恐怖电影，三部都看过了，而较之另外两部，这部比较不那么晦涩，在某种程度上也不会太难以理解或者说过于冲击和难以接受。 其实还是关于宗教信仰的探讨。信仰当然可以带来正向的价值体验和保护...

                         ( 展开 )",1.0,,0
7,7,34805216,圣人莫德,6525c5dc9ef011d14eab98366c1cf425,2e49785eef2916dd24246d411eba53c3,4.0,2021-09-09 00:20:05,"这篇影评可能有剧透 

                        简单梳理个人理解的剧情：凯蒂是医护人员，身患绝症（推测），又出过事故，于是皈依上帝，改名为莫德，后来做了阿曼达的私人护理。 莫德是“虔诚”的信徒，持续地感应到神的存在和神的指引，（虽然那些大概都是病痛和心理阴影带来的幻觉）并从中获得了信仰的力量。 但神也不能...

                         ( 展开 )",,,0
8,8,34805216,圣人莫德,5c9c4b82bfa462ff3f6d153526db26d1,7cc7de91ce782cd38510a2c63ca87df3,2.0,2021-06-15 18:26:02,"这篇影评可能有剧透 

                        近年来，A24出品的电影引领了一种所谓宗教恐怖类型的新浪潮：《黑夜造访》《仲夏夜惊魂》《遗传厄运》和《灯塔》，都给人耳目一新的体验。有别于传统俗套的血腥场景和吓人手法，A24系的恐怖类型片往往用反常规的手段引发观众的不安感，在类型片层面上增添不少艺术风格和实验感...

                         ( 展开 )",1.0,,0
9,9,34805216,圣人莫德,039fa8d2f6c7e23810fef50d094ca397,c59e2b36e3f14dad11f854ff88744962,3.0,2021-04-10 23:34:43,"Across the pond, SAINT MAUD goes to extremes in a full possession mode, nurse Katie (Clark), converting to Catholicism after a botched attempt to save her patient (but the particulars are in omission), now calls herself Maud, she is assigned a palliative ca...

                         ( 展开 )",,,0
10,10,34805216,圣人莫德,1a7f615717058d24dadf58f4eb7bf277,bda2dd6518f3cd778271dcc20a0f339c,5.0,2021-03-19 10:22:51,"这篇影评可能有剧透 

                        以上帝之典作为载体 表现孤独与疯狂 “圣人莫德”在声光影上精彩绝伦的表现令人震撼 绝非单调的故事直接引出曾过失杀人的护士走向癫狂的过程 值得一提到的是导演对于一名热爱本职工作护工精神世界的强调 将“圣人”这一博爱又充满希望的概念带入到这部阴暗潮湿电影里的巧妙运用...

                         ( 展开 )",,,0
11,11,34805216,圣人莫德,bd4724f9b04b75f47492340385681145,d3e3d6a426bc1b92614d4b629fb52425,5.0,2021-03-04 18:44:49,"为什么爱这部电影，大概是因为它终于不是讲述贫苦的人如何坠入深渊这种俗套的故事。莫德的毁灭，归因于她内心最深邃的孤独。在旁人看来，她有着令人羡慕的职业，经济自由的生活，前途一片光明。也许正因为这样，就更凸显她和外界之间的那堵墙，令她越想得到别人的关注和理解，...

                         ( 展开 )",4.0,,0
12,12,34805216,圣人莫德,732c7c2f936be1debcbacc1d819ba8c2,fa7bc50ccae42d156ae309d3d6f8e5f2,4.0,2020-10-02 23:07:00,"阴冷、压抑、神经质、脆弱、唯美、扭曲。这是在大屏幕瞬间恢复黑暗，在均匀地闪着粉红色灯光的长方形拱廊下蓝色的帷幕缓缓拉开的时候我脑子里流淌着的印象。茅德乍一看像魔女嘉莉一样可怜，但从全片看来她更多是咎由自取而非情有可原。尽管在遇见被她看护的阿曼达以后她也曾像...

                         ( 展开 )",11.0,2.0,3
13,13,34805216,圣人莫德,144935838194346a3340b9ff665c4b0b,65556831fd25da9d42111b236afb50b8,5.0,2021-02-08 00:06:15,"这篇影评可能有剧透 

                        影片最后莫德引火自焚，镜头两极分化，神圣层面则是天使，另一则是现实中的痛苦呐喊！ 女主原本生活融入群体，一场意外让心灵上创伤，希望得到上帝的宽恕，从始信仰坚定，但直到以私人护士看到阿曼达的堕落，影响到她心身的健康带来痛苦，她有责任去阻止发生，直到莫德在厨房翻...

                         ( 展开 )",2.0,2.0,0
14,14,34805216,圣人莫德,f28532860d6a6d3f8cd8c22b6eec922b,e955869ae50539c789abb0f4d2bbe3db,3.0,2021-10-26 08:51:42,"我们在谈论宗教的时候，最喜欢提到的一个词就是信仰。这个词语常用于对比东西方文化，或者说国人与外国人之间的区别，比如说：为什么国人普遍没有信仰？为什么外国人普遍有信仰等等。当这些问题成为了问题被广泛讨论的时候，我们不禁要问，什么是信仰？谁来定义信仰？这是一个...

                         ( 展开 )",,,0
15,15,34805216,圣人莫德,9d617cfea10f57cb66adf02a014ee39a,846411d9f9c152dd521d08ffd8dd6ee5,2.0,2021-02-08 21:57:15,"这篇影评可能有剧透 

                        看完了这部惊悚恐怖电影：圣人莫德，一般，剧情太无聊，还是过于套路的信仰的奔溃和疯狂，缺乏新意！比预期的让人失望，本以为是恐怖片，看完发现并不是！ 影片讲述了莫德是一名年轻的宗教信徒，她的职业是私人护理员，她在拯救迷人的病人阿曼达的灵魂时，对其产生了极为危险的...

                         ( 展开 )",,,0
