,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,34883473,完美敌人,4422d87898d2fbd48f87296f9ecc5c55,16c4e765a9a881a90170df7d604f4646,4.0,2021-06-14 00:25:40,"这篇影评可能有剧透 

                        自己观影中看到的几个细节，供大家讨论。 1.影片起头是从朋友问男主角还带着那枚结婚戒指开始的，因为男主角以为三年了没人会再问他老婆失踪的事了，而这枚戒指是为了给自己立完美的人设，失去妻子但念念不忘，再结合建筑师的身份，给人一种完美人设的感觉； 2.男主角接泰斯特...

                         ( 展开 )",23.0,2.0,9
1,1,34883473,完美敌人,bec5d5e7b88b126954fd5084834f47a9,6dca2ca4032c1251aff46070d094e186,,2021-06-12 10:38:46,"这篇影评可能有剧透 

                        看完后，觉得拍摄角度和叙事手法太赞了，演员整体的情绪感染力也很强。 首先从拍摄角度来看，采用了他人来说自己的故事，并加了惊悚的镜头元素。少女在说自己的经历，男主作为听客在听，男主对少女的故事不断提出质疑，实际上少女说的所有故事都是男主亲身经历过的，只不过为了...

                         ( 展开 )",7.0,,3
2,2,34883473,完美敌人,fa72ea14bb80b45995b21ee65f6d9dc1,5a16351a0e46a7ace695fdfc5700834b,1.0,2022-01-02 16:58:51,"过于简单的逻辑。 男主去离开巴黎之际被主办方老头礼貌性的问候了亡妻，意外激发了男主掩盖的心虚（隐藏人格）。由此短暂分裂出双重人格之间的交锋，虚构了一个女儿（妻子失踪前怀有身孕亡妻猝前怀有自己的身孕，强奸所得，后妻子）继而去到机场（藏尸地方）表面人格把表面人格...

                         ( 展开 )",,1.0,0
3,3,34883473,完美敌人,42a468c309368f437d5c678a3f3dc4b1,ff843b5820e8034180b08d36deaf9659,4.0,2021-11-14 10:36:51,"这篇影评可能有剧透 

                        Perfection is achieved not when there is nothing more to add, but when there is nothing left to take away 男主不仅是“完美”建筑的设计师，更是自己人生完美故事的建筑师。拿掉所有不好的，达到完美。任何不利的细节，通通都会被修改删除。堪称人生回忆的“美图秀秀”...

                         ( 展开 )",2.0,,3
4,4,34883473,完美敌人,6c9d043128b8af091e93e5c11b52d800,d56f9b62bcc1b783194cd9b5f2bd9a2c,4.0,2021-10-28 11:39:16,"这篇影评可能有剧透 

                        很多人说这电影就是普通的人格分裂，我不这么认为。不知道大家有没有过一种感受：发生了一件自己不愿意承认和面对的事，在向他人转述的时候总会不自觉美化自己经历的部分。久而久之，自己的记忆里留下的就是自己为自己编造的美好故事。这部电影构建的就是这样的框架。 男主是典...

                         ( 展开 )",6.0,,3
5,5,34883473,完美敌人,03b28ed7b988a75e5101bd5ea2bf63e8,17846814a2d066a3c443e83b02186bcf,,2021-09-11 18:43:30,"这篇影评可能有剧透 

                        看到小女生不停的哔哔而建筑师一脸嫌弃却又配合的继续聊下去，我就知道这是双重人格的戏份，也知道了女生表述的经历其实就是建筑师自己的，无奈悬疑未揭晓还是吸引我看下去。 其中一度以为建筑师其实是被催眠了，在被警察诱导说出他藏尸地点以便给他定罪后来发现只是我想多了，...

                         ( 展开 )",2.0,,4
6,6,34883473,完美敌人,0db2c15385585b25438fca4fd17022bd,a2bb0a93adbae0f5e0bdf6ca5fbd9f71,4.0,2021-08-29 21:57:00,"这篇影评可能有剧透 

                        我的理解是女孩是真实存在的。 首先，男主演讲完毕后有合影，其中一个金发女孩是幻想的参照物。 然后，他的好友提到了他妻子死了20年的事情，这是一个导火索，触发了他对妻子的回忆。 接着，来自荷兰的小女孩搭车，与他合影的女孩子很像。 最后，因为搭车他没赶上飞机，所以在...

                         ( 展开 )",2.0,1.0,0
7,7,34883473,完美敌人,1fe920a7e587386c80caacedb81807ca,146566f9eaf2411627e8791fd9c95d26,,2021-07-04 10:41:38,"电影是好电影，环环相扣，处理巧妙，看完半天缓不过来劲，进到电影里了，扭曲人格，变态，恐怖，悬疑，这类型电影不适合我，太扭曲了，负能量，还是一部好电影，剧荒可以看，心情低落就不要看了，不然要命，哈哈，那个女的原来只是个幻觉，扭曲现实类型电影，一句哈总结，就是...

                         ( 展开 )",1.0,,0
8,8,34883473,完美敌人,b6036c41c80e0658d29bf8db8d8481e8,12b236a7e9b10445b4da124075b0f714,4.0,2021-06-14 02:22:24,"2021SIFF第十场。做为诺冬忠实书粉终于可以在电影节看到根据她的小说改编的电影，鸡冻了一小下！ 是她熟悉的怪鸡风，脑洞特别大人物特别癫 哈哈 这种小体量的文学改编，只有三个人物（严格来说就两个…）的电影竟然可以从第一时间抓住受众的全部注意力，基本就是依靠密集、环环...

                         ( 展开 )",2.0,1.0,0
9,9,34883473,完美敌人,9c3bdaa6cf68f1310770325615e9738a,ee1ec844dc4039ec9fa0cca48ed33cc3,4.0,2021-06-12 23:25:49,"从剧情来看，前半小时让人感觉不知道在说什么，女主的不断逼逼，讲述自己的人生经历，让观众觉得很迷，但是剧情发展到45分钟后就完全不一样了，从公墓遇到完美的女士开始，似乎一下子就让剧情衔接上了，特别是高潮的飞机部分开始豁然开朗，到最终让人明白，这一切的一切不过是...

                         ( 展开 )",1.0,1.0,1
10,10,34883473,完美敌人,7e38bbca7cf148d330f7fa00bb2c8ce4,82e335f7ac0e0e412b2ae15abe662110,4.0,2021-06-11 14:04:26,"这篇影评可能有剧透 

                        第24届电影节第一场电影！ 第一句就有剧透，慎点！ 看完才理解海报真正的深意，一个女人缠绕着男主，纠缠不清，就像下着暴雨的巴黎，建筑工地上的水泥，弄得一身泥泞。实际上，自始至终都只有一个人。 Texter（影片女主，也是男主的一个人格，给它起个名字吧，恶魔人格，下文还...

                         ( 展开 )",7.0,1.0,0
11,11,34883473,完美敌人,50320769c7885b9e2c1498dfeed636b4,1c60768c55e6091571c6dc2fa73db9fa,3.0,2021-06-12 23:05:16,"这篇影评可能有剧透 

                        2021.06.12#SIFF#影片开始男主就表现出他不喜欢巴黎，为什么呢？从他踏上那片土地开始，就注定要回忆起20年前那段他试图用另一个故事来说服自己的真相。臆想出来女儿，完整地串起了他的过去——看似体面、深情，实则猥琐、暴力。当然，这真的应当被称为完美敌人，因为对手本就...

                         ( 展开 )",4.0,,0
12,12,34883473,完美敌人,647116a60606bd44fb11a860da727768,d51a68cfc513cc26baa8cab828f156dc,3.0,2021-07-17 14:51:39,"1.There we found a maternityclinic that was making mothers sick due to faulty design.Quite a paradox,isn't it?结果遇到一家妇幼医院将孕吐归咎于设计错误.简直是悖论,不是吗? If we know that simple view of nature can radically improve health,then why not design ...

                         ( 展开 )",,1.0,0
