,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30303548,夏夜骑士,496db5b7aea3939ea526d8701685adbe,e69a5cc3a0db7715324c0959e420f9d5,4.0,2019-11-12 02:00:43,"文/笑意 11月5日，第32届东京国际电影节闭幕，中国影片《夏夜骑士》获得“亚洲未来”单元最佳作品奖。《夏夜骑士》是由尤行执导、编剧的第一部长片，由黄璐、林路迪、纪凌尘等主演。 纪凌尘在东京电影节映后，他在电影中饰演了一个失意的小伙子 黄璐发微博祝贺《夏夜骑士》首映...

                         ( 展开 )",10.0,,1
1,1,30303548,夏夜骑士,f03fc79f17253feb702102e328e097f3,f442141fcf4c2a06babd66227ef7dc3f,,2021-08-12 22:27:38,"这篇影评可能有剧透 

                        影片围绕90年代初四川一个普通家庭三代人的生活展开了充实诚恳的影像展示，导筒本期带来尤行导演专访，一起走进这位新导演为观众们营造的独特夏夜。 导筒directube 尤行执导，黄璐、林路迪、纪凌尘等出演的《夏夜骑士》今日正式全国公映，本片曾荣获第32届东京国际电影节亚洲未...

                         ( 展开 )",2.0,,0
2,2,30303548,夏夜骑士,47b6c70d8c5dd9d2f63736b6d7d2bdc8,8d2b42fe569507448d14928561a7bbd1,4.0,2020-08-21 01:04:47,"这篇影评可能有剧透 

                        1、一般我给电影4分，必须是因为电影的可看性，在可看性上如果有故事的寓意，那才是5星好评，因此在看了几个文艺片后的《夏夜骑士》一出现，摄影镜头语言的表达到味了，调色、美术置景、道具到味了，小城市的生活气息与味道达到了。 2、单纯的小孩之间的兄弟情、被枯躁的婚姻生...

                         ( 展开 )",3.0,,3
3,3,30303548,夏夜骑士,c9ee9e06782ddf0da6153d23a0fb73e0,13c4c84c259290ca31be41fd0d302ccf,,2021-06-10 09:29:43,"6月11日晚上7：30——9：45 《夏夜骑士》观影暨导演见面会 6月11日，尤行的首部剧情片《夏夜骑士》在全国公映。我们在太平洋王府井影城成都厅组织了这场观影会，理由是“成都导演用成都话演绎的成都电影，我们成都观众必须支持票房”。 6月8日，朋友曾琼从上海首映现场发来实况...

                         ( 展开 )",1.0,,0
4,4,30303548,夏夜骑士,8e2c7ebd41c1b00ecd9640d0c15e0567,b2149f0abd3ddd9a3f3616c17006370c,3.0,2021-01-31 13:53:48,"这篇影评可能有剧透 

                        菜市场、昏黄灯光笼罩下的家、饺子店、游泳馆……影片《夏夜骑士》并不牵涉较为复杂的环境设计，而是用几个较为简约（却不简单）的场景串联情节；同时，镜头也鲜少刻画这些场景的整体样貌，而是常温柔地凝目于桌椅、灶台、碗筷等细节，不疾不徐地诉说着带有夏夜微风、喧嚣蝉鸣...

                         ( 展开 )",1.0,,0
5,5,30303548,夏夜骑士,39c92515df9b6477fc48c3b9d28cbdc5,20cc96ff93f6faa85ee88ab3f58b1b67,3.0,2021-10-02 18:22:23,"与其说这是一部电影，不如说这是一些个镜头拼接的连环画，在光影的变换、音乐的跳动、镜头的起伏中，导演尤行向我们完美表现了一段西部小镇的夏天。选角和方言的表述，典型物件的参杂，声效在对话里漂浮，这一切都让我在短短几分钟内闯进了四川的夏雨中，电影院的黑暗构造了一...

                         ( 展开 )",2.0,,0
6,6,30303548,夏夜骑士,a059a29bd86864e6933ac7d66ce39ff5,47d63799be8b86d2bf465c58ad6bde1e,,2021-07-31 13:09:32,"从楼梯往下看的固定镜头暗示了天天接下来的遭遇 拿菜刀划身高，音乐恐怖 一家五口出去吃饭的背景音乐变得温馨 《动物世界》与现实生活相穿插 耗子入坑暗示坏人被收拾 仰视镜头表现出父亲的威严和小孩对父亲的畏惧 老师的过去和现在穿插，与带小孩有关 后来发现是自己帮助的好友...

                         ( 展开 )",,,0
7,7,30303548,夏夜骑士,4037e62e23809ab84716a8125b389251,5739ba067b460b00aed11aed8d69cd43,4.0,2021-07-11 02:58:36,"这篇影评可能有剧透 

                        同样是以“丢失自行车”作为影片“引语”，“找自行车”作为故事主线，本片很容易联想到德西卡的《偷自行车的人》，不同的是本片以“自行车事件”来引出这个家庭内部隐忍的伤痛和冲突，其中又包含无法割裂的亲情之爱，在某些场景和对话中我也看到了是枝裕和影片的影子。 首先在...

                         ( 展开 )",8.0,,2
8,8,30303548,夏夜骑士,c16a7eb9f9779ca090d52b7bb0fd4452,0ac4f9e800fd86ed2915433068c7d291,5.0,2021-06-18 16:50:50,"电影院里小朋友很多，现在回过头想，故事拍的还是蛮好的，不管是哥哥、弟弟、舅舅、爷爷、奶奶、老师，所有角色身上都有戏，对川渝的人物挖的也很深。 小时候基本每家每户都丢过自行车，故事从这个角度出发做故事，给了大家一个和常人不同的选择，小朋友遇到这个情况毅然踏上不...

                         ( 展开 )",,,0
9,9,30303548,夏夜骑士,220fe8ff4d44f59457a7f3bdcac18213,25560879f9637dc464f25fdc608e29a8,4.0,2021-06-18 10:49:27,"这篇影评可能有剧透 

                        激怒一位诗人，最简单的办法就是去解读他的诗。但我还是忍不住瞎分析了这部电影，今天在二环路的峨影厂逛街然后看了这部电影。 第一印象是光影是很明显的，很多画面中强烈的对比色彩，没有计算有多少次是平分了取景的面。97年的成都，印象中没有现在这么大，而且如果质疑要找到...

                         ( 展开 )",,1.0,1
