,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,34875261,忠贞,d28ae57d9ff30102c329c515051cec7a,d0e8dc349ce6b4515ffd9a2c4af4d4e0,3.0,2020-12-25 21:04:04,"十多年前央视播过法国的电视电影《爱与婚姻》，不过这电影当年我看的时候觉得尺度也不小，女主漏了两点。 不过大意相同，夫妻婚后没了激情，因为某些细节妻子怀疑丈夫出轨（也是误会），意外流产，伤心之下和医生（女主后来好像找了医院护士的工作）发生一夜情。 不同的是结局...

                         ( 展开 )",12.0,2.0,5
1,1,34875261,忠贞,cd2cf0a56790037ddeb1ead4683f784b,08d2255075e62a5c5a16600009622d6c,4.0,2020-12-11 16:04:00,"这篇影评可能有剧透 

                        不记得哪位哲人说过，“女人的YD直通灵魂”，看完这部影片后我信了，无性婚姻可以长久吗，俄罗斯电影让人看完后总是要想点什么，加上俄罗斯演员的那种妖艳而阴暗、浓烈而平淡的神秘表达，整部影片导演通过浓墨重彩干爽温暖的色彩和阴暗晦涩欲说还休的情节，出轨、偷情、欢愉的...

                         ( 展开 )",12.0,2.0,8
2,2,34875261,忠贞,42f1d2bae70f3b6427f2bf5c2396e2ee,2de5b543a0428f6605fed05e3a5710c1,2.0,2020-11-12 22:11:51,"老夫老妻后，生活苦闷。平淡的生活让女主无处宣泄，丈夫的漠不关心，让女主越来越怀疑丈夫出轨，一次丈夫将手机留在一处，女主赶紧打开看了看，发现了一条“暧昧”短信，从此对丈夫愈加怀疑。而对丈夫最大的报复就是女主也开始放浪形骸，到处寻找刺激，发泄着心中的不满。一次...

                         ( 展开 )",2.0,2.0,0
3,3,34875261,忠贞,72dc84aa27f49070cf11a41b7323786e,787550653987e736606e470370e2e9ed,4.0,2022-01-11 14:51:06,"这篇影评可能有剧透 

                        本片时间不是很长，内容也比较简单，讲述了一个女医生因为性生活不和谐，误会丈夫出轨，出于报复也出轨了，然而却给自己的婚姻和事业造成了不可挽回的影响。 影片的尺度很大，出轨、室外lu出、che震、ye合，想不到是女导演拍的。女主挺漂亮的，相信海报就能吸引一批人看吧。 这...

                         ( 展开 )",,,0
4,4,34875261,忠贞,f32b9f3df9a65286b3f1af4435c59eea,24b1f774ac09ac0bc8e76bf56605c8ff,5.0,2022-01-04 23:39:07,"这篇影评可能有剧透 

                        忠贞 报复 背叛 随意性关系 失控 反转 反观婚姻 反观婚内性关系 剧情很单薄 也很厚重 单薄到发生的如此之快，这样就发生了 厚重到伤害的如此之深，就这样结束了 我写不出多余的话了 .............。。。。....。。。。..。。。。。。......。。。。.。。。。。。.......。。。...

                         ( 展开 )",,1.0,0
5,5,34875261,忠贞,115b31df9c2c8b8785a39aec818993c6,57f0d669056c8e723fbc446661cefb07,5.0,2021-12-10 18:21:55,"这篇影评可能有剧透 

                        结局她老公原谅了她，和她和好了，这个在前面是有伏笔的啊。他们坐在地上的时候她老公就不停的问她出轨的细节，然后说自己很想听。我觉的原谅女主是有伏笔的，就是在之前演话剧的时候的这句词，就按时了他确实喜欢坏女人。 btw，女主颜值是真的高，剧情也还不错啦，马马虎虎，...

                         ( 展开 )",,1.0,3
6,6,34875261,忠贞,a059a29bd86864e6933ac7d66ce39ff5,47d63799be8b86d2bf465c58ad6bde1e,,2021-11-06 18:23:17,"开头，只聚焦在莉娜身上，表现出莉娜内心的孤独 表达性欲时采用色调的对比，来表示是否忠贞 对镜拍，更有艺术感的对话 莉娜和谢尔盖在海边谈心，大多采用特写镜头和正反打镜头，让观众更加能够身临其境 丈夫发现妻子出轨后，色调变暗变冷 在车内的手持镜头，显示出莉娜的慌乱 ...

                         ( 展开 )",,1.0,0
7,7,34875261,忠贞,6c7a0a9b65e0d83c3b787982261480a4,d891e8bf50cbac1c9d692b10aabf7f0d,4.0,2021-08-29 12:54:01,"影片的主题简单又具体，属于爱情中的性觉醒。身体的渴望得不到回应，通过寻求外界刺激来得到变相的平衡和满足，在越轨的过程中又受到道德的牵引和心灵的启迪，坦诚相待后重新回归正轨。最和谐的X爱永远都是身体和灵魂上的同时契合。 女主很美，尺度不小，冲击很大，一颗石头激...

                         ( 展开 )",2.0,1.0,0
8,8,34875261,忠贞,8b8768a908240046d630add17d4a3ba6,c617586c1f43ac31e678825c78748343,3.0,2021-02-22 09:56:49,"这篇影评可能有剧透 

                        我可能更愿意把本片看成一种婚姻中的性觉醒。 当婚姻生活日趋平淡的时候，因为一系列误会，女主在出轨的过程里打开了自己性欲的闸门，从第一个要求开房的矜持，很轻松就跨越到第二个直接野战的奔放，如果第二个遇到的不是病号的渣男丈夫，仅凭出轨后回家向丈夫求欢而不得，女主...

                         ( 展开 )",4.0,1.0,1
9,9,34875261,忠贞,942ca79ae56febcb4b6255ffffdd3bdc,4b2776bd6915ab0d5326e8e2652a0b3b,5.0,2021-02-14 18:07:39,"这篇影评可能有剧透 

                        一部女性视角的电影，女主美丽智慧，充满柔情，然而几次欲求丈夫滋润而不得，在看到有人给丈夫发来""那一晚改变了一切""短信后，深信丈夫已经出轨，然后这一句似乎也是关于女主的谶言。 本能与理性，自我与社会，意识与潜意识，good girl bad girl的冲突。因为害怕，不敢跟丈夫正...

                         ( 展开 )",3.0,1.0,0
10,10,34875261,忠贞,b04f6eef9c652afc84340639a13c5548,aa1c4ee70228f8a0c40d993cfd063a42,4.0,2021-01-02 20:13:57,"这篇影评可能有剧透 

                        身为妇产科医生的莉娜和身为话剧演员的老公结婚多年却没有自己的孩子。某天无所事事的莉娜不经意间发现了老公同事发来的的短信:那一晚改变了一切。然后莉娜说要去送老公上班，结果声称步行上班的老公心无旁骛，却又在犹豫不决中乘坐另一辆轿车扬长而去。 这个导火索点燃了莉娜...

                         ( 展开 )",8.0,,6
11,11,34875261,忠贞,52e59600e0b1239353eaa29cf5372bbd,a85570978d3cad1a81c9ca74ec4f93dd,4.0,2020-06-10 10:14:27,"这篇影评可能有剧透 

                        我想每个人都有过嫉妒的经历。这种嫉妒可以表现在友谊、工作、家庭，最重要的是，在爱情中。 你越爱一个人，你就越嫉妒他。 在这种情况下，一个人可能会做一些鲁莽的事情，而不是集中精力和建立良好的沟通。在这种情况下，情色电影《忠诚》的主角出现了。 导演描绘了一对年轻夫...

                         ( 展开 )",6.0,2.0,5
12,12,34875261,忠贞,ff3fcf614352bb9e217576229e63f250,e9ee921c2556dc49032bf02d01c56360,4.0,2020-06-09 10:05:01,"故事讲述妇科医生的Lena（Evgeniya Gromova饰）与舞台剧演员Sergey（Aleksandr Pal饰）结婚多年，二人婚后的性欲随时间逐渐下降，昔日激情也不复再，就算Lena多次作出主动调情亦同样被拒。 在某次机缘巧合下看到老公的电话短讯，发现他与一位女演员偷情的行为，让Lena心有不甘...

                         ( 展开 )",8.0,4.0,14
13,13,34875261,忠贞,dd5e281924de923e4375a585b5bb1788,2ed92a97fadcf6455220edff131cdde2,,2020-06-10 05:21:04,"成年人能合法看这种电影 先前曝出的做俄罗斯人真好啊事件为何招致大量负面舆情，就是因为做俄罗斯人真好啊脱离了人们的平常心和世俗认知，过犹不及。老胡从来不反对舆论场上有多元的观点发生各种碰撞，但老胡认为做俄罗斯人真好啊的这次事件堪称是一番露怯的表演。老胡曾经提到...

                         ( 展开 )",1.0,13.0,7
14,14,34875261,忠贞,3b3dc238802a8fb53f91e5074328b09d,fc4ef05bffc7d389b32754718fbdb163,,2020-06-12 22:33:33,"莉娜是一位才华横溢的妇产科医生，她的丈夫谢尔盖是一家省级剧院的演员。他们的关系温柔而亲密，但完全没有性。莉娜怀疑谢尔盖有外遇，但她默默忍受，没有让她的嫉妒表现出来。莉娜开始和一些随机的男人发生外遇，她的不忠行为最终失控并改变了她的真实生活。莉娜是一位才华横...

                         ( 展开 )",,,0
15,15,34875261,忠贞,fa773abfeddcaf19aee15cfccffc052c,9598e65126e37a3b47b93de7715fc777,3.0,2020-06-09 14:26:41,"莉娜是一位才华横溢的妇产科医生，她的丈夫谢尔盖是一家省级剧院的演员。他们的关系温柔而亲密，但完全没有性。莉娜怀疑谢尔盖有外遇，但她默默忍受，没有让她的嫉妒表现出来。莉娜开始和一些随机的男人发生外遇，她的不忠行为最终失控并改变了她的真实生活。     莉娜是一位才...

                         ( 展开 )",1.0,12.0,2
