,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26383898,一锤定音,dea16a5fb977cb5fb103d6362dce1de2,c79553787c9bcaec91d09873f19cb7ca,4,2017-08-05 15:52:32,我是一个金融白领，在银行做着看上去高大上的工作，在事业上顺风顺水，前途无量。我有一个漂亮的妻子，可爱的儿子，一家人相亲相爱，十分幸福。不过，那些都是十年前了，现在的我，成了一个黑帮老大，杀过无数个人，贩卖过枪支，被判处终身监禁。我之所以变成今天这个样子，全都是因为十年前的一起车祸，那起车祸，将我的人生一锤定音。下面是我的自述。 十年前我和妻子，以及朋友和朋友的女友一起聚会，喝了点酒，在车上说说笑笑的时候，悲剧发生了，我开着车，一不小心出车祸了，朋友当场死亡。因为我喝了酒、闯了红灯、朋友死了、对方司机腿瘸了，路口的监控还拍到了一切，证据确凿，只能坐牢了。如果上法庭的话，很可能会判七年，如果私下协议，则最多只能判十几个月。我单纯地以为，十几个月之后，我就可以出狱，和家人重回到以前那样的幸福生活，可是一切，从那起车祸开始，已经回不去了。 因为关押我的监狱，是关押重型犯的牢房，在里面必须要强硬，否则就会被欺负。我一开始以为，最多只是每天被其他人打骂，结果去了才发现，如果你不够硬，那么等待你的只有死亡，就好像第一天哭着来的那个小哥，第一天晚上就被他们无情地蹂躏了。我装作很强硬的样子，和一个黑人打了起来，这引起了监狱一个小头头的注意，他为了考验我，让我把毒品藏在肛门里，帮他偷偷运出来，我可以说不吗？不能！ 一开始我们都是父母的宝贝，都渴望着一份理想的工作，一个圆满的家庭，享受一生的幸福，做一世好人。可是我们却都被逼着，做了很多不得不做的事，看上去我们似乎可以选择，但是根本就没有选择的权利！我可以对那个小头头说，我不运毒吗？那么我可以想象，自己当天晚上就会像那个哭着的黑人，被神不知鬼不觉地摧毁人格和尊严。我不能这么做，我要活着，活着就有希望，还能再看看妻子和儿子，总有一天还能和他们团聚，所以我答应了。 一旦第一次我没有拒绝，那么接下来，我就更没办法拒绝了。从一开始的运毒，到后来的和别人一起杀人，再到后来的和其他人一起结派杀人，一切都不是我愿意的，可是一切却都无法避免。原本我只用坐十几个月的牢房，就可以重新出去和家人一起幸福的生活，现在却要坐十年牢，才能出去，甚至到了最后，要坐一辈子牢，永远也出不去。看似是我傻，为什么要做那些坏事呢，不做不就可以早点出去吗？可是不做，那我就直接死了，不是身死，就是心死。 十年的牢狱生活，我凭借一次又一次的凶残事件，一步步变成了牢房里的第二把手，老大也对我委以重任，得知我即将被放出去，交给我一个重大的任务。我以为我出去了就自由了，就可以奔向妻子和儿子的怀抱了，可是我能吗？老大交给我的任务，我可以不做吗？黑帮的势力遍布各地，每一个能看见的看不见的角落，都布满了他们的人，只要他说一声，我的妻子和儿子当场毙命。我只能按照他说的做。 出狱后，和散弹枪联系，他看上去十分配合，可是他拙劣的演技实在是太差劲了，问他话时，他一副听不见的样子，心不在焉，事后还跑来要一直跟着我，我去参加派对，也被人袭击，不是他告的密是谁？他做了警方的线人，企图破坏老大交给我的任务，我也想破坏这次任务，可是要破坏就要彻底点，他太笨了。如果他提前给警方泄密，那么交易的对方很可能就会察觉，临时取消交易，我只好把他做了。 交易当天，我偷偷给警方泄密，还让那个不想入黑帮的小伙子离开，确保万无一失之后，赶赴交易现场，等待警方将我们一网打尽。我又回到了牢房。警方让我跟他们配合，他们可以保证我所要的一切，我想要和妻子儿子在一起，平静地度过一生，可是他们能保证吗？我一出去，黑帮的爪牙立马就会将我们一家人都杀掉！所以我不能答应他们。我只能重新回到牢房，我有一件事要做。 回到牢房，老大质问我，他知道是我出卖了他们，我也不解释什么，利用提前准备好的刀片，将他杀死，自己做了老大。只有自己做了老大，对妻子和儿子才是最安全的。而且我将军火的事情，全都匿名交代给警方了。虽然我成了黑帮老大，杀了很多人，可是我知道，我不是坏人，我还是以前的我。我所做的一切，无非只是让自己活着，并保证妻子和儿子也能活着。 这世上，谁不想和家人在一起幸福地生活着，谁不想一辈子平平静静地过，可是我有选择吗？那些无数个和我一样待在重型监狱的兄弟们，他们能选择吗？我们的人生，从法院法官手里的法锤敲下去的那一刻开始，就已经一锤定音了，我们都幻想等刑期结束之后，就回到从前的幸福生活，可是现实却并不是这么简单。 不过我走到今天，并不后悔，起码这算是最好的结果了。妻子和儿子还能安全地生活，我还能利用自己的资源，给她们一些帮助。像从前那样幸福的生活，是无论如何都回不去了，但是这样也好，只要她们能开开心心地活着，我就满足了。       一开始我们都是父母的宝贝，以为未来十分美好，有大大的房子，美丽的妻子，听话的孩子，体面的工作，可是后来，我们都成了社会的牺牲品，看上去我们可以有很多种选择，其实我们从来都没有选择，能走的路，只有一条，我们从来都身不由己。    欢迎关注纯原创公众号：鱼纹,272.0,27.0,52
1,1,26383898,一锤定音,a94f551e209324fd387af2869abff861,ce64d9d5c3fc35d38554f58eed36c6fd,5,2017-08-14 18:14:15,"电影原名叫SHOT CALLER，中文译名一锤定音可以说对于剧情的概括非常贴切。     喝了点酒，刚好出现车祸，朋友不幸遇难，剩余三人都相对来说无大碍；    监控录像拍下，人证物证都有，无论自首与否几乎都要坐牢；    没想到会和一群杀人犯关在一起，要想保住性命只能加入黑帮；    监狱内两个势力乱斗时杀人行为被监控全程拍下，从一年变成十年；    出狱后想洗手不干被老大用自己妻儿威胁，只能无奈继续。     好像冥冥之中有一个法锤敲下，判定了money从出车祸的那一刻起就注定了不得再与妻儿相聚，不得脱离黑社会，不得回到以前那种生活。运已经被安排好，都按照着一个轨迹来。     但是命，是可以去努力争取的，包括自己的，和家人的。     如果进监狱的时候，money表现地好欺负一些，可能就像黑人小哥一样被不可描述一番，以男人的尊严来考虑，这很可能会造成很严重心理阴影，因为第一个晚上就那样，肯定还会陆续再来，到时哪怕出狱了也无法过回正常的生活；    如果没有把毒品放进后面等一系列非常艰险而又忍辱负重的经历，以他本来的能力后来也只会成为野兽的扯线公仔，也不一定就能保全妻儿的性命；    如果他没有尽早划清老婆和儿子的关系，制造一连串假象，步步算计，在反抗老大过程中任意一步出错都会全家没命。     在money杀死老大之后对那个买通的狱警说,“reason i can guarantee these terms is ,i am running the show now.”真的超级帅，哪怕只穿着跳短裤，哪怕满脸血很狼狈，就用一种很淡定，很冷漠，很一切都在我掌控之中的感觉的眼神看着狱警。    这个时候，我觉得money内心是释然的，哪怕运已被冥冥安排，一锤定音，这辈子怕是都要在监狱度过，只能背负着黑社会的名声，但命已经被努力争取到，自己的命，妻子儿子的命，能在监狱里面利用自己的能力去尽量保护自己最爱的两个人。       最后的一个镜头是儿子在踢足球，信中跟父亲说已经原谅他了，money看着墙上的照片，眼眶红红，嘴角微微翘起。有时候生活可能逼迫你去渐渐远离曾经所幻想憧憬的那种日子，但是，你还是有机会，去做出一些改变，去战斗，去捍卫你的信仰。",46.0,4.0,2
2,2,26383898,一锤定音,7d50939fab788e574a71bf19956601e0,05cc7d031019d6e2ad54c97639307f5e,3,2017-09-24 17:23:25,"电影《一锤定音》讲诉了雅各布的人生故事，他本是一位前途光明的股票经纪，一次朋友聚会畅饮后，他在开车回家时造成一死多伤的车祸，因此获刑16个月。

描写黑狱的电影因为展现了正常人难以想象、感觉好奇与恐惧并存的世界，而令人印象深刻，比如港片《监狱风云》系列。当雅各布进入大牢，他面临的第一个选择便是，像新人那样哭哭啼啼地被霸凌，还是面对围上来的狼群，露出你体内的兽性？

雅各布审时度势，判断监狱帮派需要具有战斗力的新鲜血液，于是面对其他犯人的找茬，主动出击，赢得了狱中帮派的尊重与保护。为了能生存，雅各布帮助同伙运毒、杀人，参与帮派间的群殴，终于越陷越深。“我们一开始都是父母的宝贝，这种地方迫使我们要么成为斗士，要么成为牺牲品。”

十年后的雅各布已是大哥，他终于熬到了假释，这时的他却接到更高层级的老大野兽的指示，出狱后完成与墨西哥帮的军火交易。他想过回归正常生活，但是黑老大一句“你到死才能脱离组织，想想你的妻儿”的威胁让他万念俱灰。这也是为什么雅各布出狱后面对碰到的新人豪伊，语带双关地说了句“你现在唯一的任务就是干干净净的”。如果可以回到十年前，他一定会选择忍受16个月的艰辛，最后获得与家人团聚的机会。

金融界果然是人才辈出，前有肖申克，今有雅各布。不是所有人都睿智如肖申克，能够做到独善其身于帮派事外，靠自己的能力完成生命的救赎。但精于计算的雅各布很快衡量清楚了野兽的实力，妻儿的安全，自己的人生，这三者之间的关系。他做出的决定是：干掉野兽，夺取他的权力，保护妻儿的安全，代价是毁灭自己的人生。

雅各布表面上力促完成军火交易，干掉组织里的内鬼，暗地里上他却将交易信息潜移默化地透露给警察，让所有交易者被一锅端掉。他终于如愿以偿地回到监狱中，不是法官判决了他终身监禁，而是他主动选择了这条路。他找到了机会和野兽呆在一起，并在打斗中杀死了野兽，永远确保了家人的安全。

成为终极Boss的雅各布像个真正的老大一样，看着关于企业管理和心理学的书籍，读着儿子约书亚的信，热泪盈眶……

本片中得到的生存清单：

1.别做发生后必然不幸的小概率事件，比如酒后驾车，概率虽小，一旦发生却必定导致不幸，可能毁掉一生；

2.选择时，一定要加入时间这个维度，加入时间变量带来的复利效应，影响巨大；

3.人穷就要多读书，当上老大的不是出生入死的小弟，是眼镜男，是劝雅各布多读书的野兽，是桌上放了一堆书的雅各布。没有什么事是不能靠读一本书解决的，如果有，那就再读一本；

4.在狼群中的生存就是靠两样，一要有勇气，二要有实力；

5.非正常的收益一定需要付出非正常的代价，没有十全十美，只有懂得取舍；

6.无法逃离组织，就努力去做组织的更好层级的决策者，十四楼的人可以看到几公里外的公交车，站台上的人却只看得见眼前拥挤在一起的人群。",19.0,1.0,9
3,3,26383898,一锤定音,ed92d161fd76f19589ee73eca45bef26,95aea1eafe3e189dfcd3fd394b3bbd14,5,2017-09-20 22:27:55,作为一个接近30岁尚且无法养活自己，没有组成家庭的观影者，这样的电影依旧给予本人很多的感悟。抛开电影的自身，这里只谈理解与感悟。  电影的暴力与血性将Money的对家庭爱的信仰展现的淋漓尽致。黑帮相斗向来凶险残暴没有太多的牵绊，手起刀落，杀掉的一条命只是自己成长路径中一次加分。游戏的规则来自于顶层的共识，游戏的规则高于一切棋子的命。在这种黑帮的斗争与规矩的夹缝里中，能活到老的才是王。  心狠手辣只是基础学历，真正的内核是头脑，因此黑帮的打怪升级之路也是没有上线的，所以Money的老大也未必做的安全。与我们常人不同的是他们的高风险高回报的人生体验。所以本质上我们的人生路径与他们也许差别不大。但让我感慨的不是男主的高智商，而是他的坚毅与顽强。如此的能力，在哪个行业里都是大才。  另外的一个感悟来源我自己的人生经历。跨学科的人才是未来发展的重要核心力量，以后的黑帮老大也必须具有坚硬的学科背景，因此高学历人才在这里有基础性的竞争优势。但要记住学历只是起步，终身学习和坚毅自律绝对是成才的必须。   前面谈的是理智，后面我们来谈感情。  朋友告诉我可以约炮但不要找炮友，日久生情，无论两人谁先动了感情都基本打破了游戏的平衡局面，谁先动的感情谁就输的最惨。  因此感情是一个人的弱点，不管你是书记领导还是街边小贩亦或是黑帮老大，我们深爱的家人都成了我们最深的羁绊。那么我们为什么还要有感情呢？为何理智不能够带领我们走向幸福美满的未来呢？  感情的本质应该是以生物学为基础的，这里我们可以看看我们的狗和猫咪就能够理解，狗狗的情商更高，而猫咪则更加理性，这源于人与狗的共进化历程越有万年之久，而猫咪仅有几千年。情感的出现应该久远到进化的起始，在那里的某个时间我们的祖先利用这样的机制，更加有效而团结的存活了下来，让我们得以从中受益，要知道大自然的考验也是极为凶残的。   因此，家人的感情是我们对待未知与凶险的力量之源，如果我们有更多力量也许我们就能走的更远。所以回到电影里，Money有什么能力能让他坚持到最后成为老大，除了我说的理智和自律，更多应该是我们所理解的对家人的爱。  然而，在这一个浮躁的时代，久病无孝子，一个马蓉，霍欣欣层出的时代，我们如何找回对家庭的信仰，对爱人的忠贞，让它成为我们无惧的能量之源呢？   我现在找不到这种感觉，也不大相信爱能战胜一切。  但有人告诉，有一天你会的，等你有了孩子。  保护自己的家人与孩子，是一种生物原始的本能。  愿我能时常记得，愿我们找到本能的力量。,13.0,2.0,3
4,4,26383898,一锤定音,1d45a981abaf92a0602820c9d8c9bf16,70b8c83c7572fcb66126728a73e6e7f2,4,2017-08-29 12:12:58,"现实生活中和Jacob遭遇相同经历的人不胜枚举，一步走错，步步错，终至到不可翻身的地步。多少幸福的家庭被黄赌毒毁掉，多少有才华的年轻人因触犯法律底线而失去未来，多少有殷实家境的人被高利贷逼得跳楼，太多太多，有时甚至只是一念之差，让人性中的贪婪、猎奇、松懈和得意忘形占了上风，最终把一副好牌打烂，令人唏嘘不已。

所以漫漫人生路我们还是要走的平稳些，要坚持住自己的原则，时刻保持警醒，遵守法律，不做违反公序良德的事，不要抱有侥幸心理和给自己找借口。要记住没人会为你犯得错而买单，如果铸下大错，你可能会用一辈子来赎罪。如果你运气够好，上帝再给你次重新做人的机会；如果你运气不好，就会像Jacob一样坠入深渊。

影片节奏紧凑不拖沓，很燃，让人看来肾上腺素飙升，或许过于追求连续性，在剧情方面有瑕疵，心理细节刻画薄弱。父子之情戳中泪点，虽然Jacob再也无法洗白，但他对家庭的爱从来没有变过，也保护自己家人到最后一刻。不错的黑帮题材电影，推荐。",4.0,1.0,0
5,5,26383898,一锤定音,a2d3f85eae35d63d7b5612143bdd6111,20c9289f0f250638c12d32d76398dd90,4,2018-07-31 19:40:06,"金融白领 雅各布 平时的爱好是打篮球，因为一次酒驾被送进了监狱，在监狱里边结识了一帮健身达人，疯狂迷恋健身，一发不可收拾，为了把自己打造的更加有型，他给自己做了很有设计感的符号纹身，并且参加了群体健身盛会真人秀，从而成为了更高一级的健身VIP,在这里不仅有自己的单间健身房，而且配备了更高级的陪练，可是好景不长，雅各布即将面临保释，离开他深爱的健身房，于是他出狱之后继续搞事情，甚至不惜跟妻子划清界限，顺利的回到他的vip健身房，现在他是健身房的二把手，他的梦想就是做第一，他认识到书籍是人类进步的阶梯，于是他看了老大给他的所有书籍，在最后的决赛中击败了老大！ 知识点总结 a 开车不饮酒，饮酒不开车 b 人穷就要多读书 c 健身一定要弄个漂亮纹身，这样看上去专业,第二重要的是要留个背头和有型的胡子。",14.0,2.0,3
6,6,26383898,一锤定音,e01833c2452b01a9db6f2ae856b68f0a,ab83bf13a14235efefb924cf852b205c,5,2017-08-04 22:45:57,一个小小的过犯，带来家庭亲情的灭顶之灾，这是最痛苦的，个人离开了家虽生犹死，同样是牢狱自由题材，肖申克的救赎关注爱情，此片是亲情，情节设计同样巧妙，精彩。  能够深深体味男主角的痛苦，无奈，和盼望。  美满幸福的生活背后是筛子一样的漏洞，说不定哪天灾难降临，悉数毁灭，酒驾、过失致人死亡，在中国难以想象的轻罪给一家带来的是彻底坍塌，从制度上或许可以怪罪于美国的狱政，但这只是个符号，不是这事，其他事件一样可以陷家庭于危机，困窘和毁灭，起因可以统称为亏缺，人性的亏缺，人的注意力的亏缺，道德亏缺，信任亏缺，肖申克的救赎祸起萧墙，就是夫妻信任的亏缺。  罪恶当中没有光，监狱当中居然还有希望，轻罪，重罪，释放，再次入狱，跌宕起伏，主线仍然是温暖的家和亲人间的爱，人在枷锁，无论监狱内外，靠着自己获得儿子谅解的主角，活着难以相见相伴，经过千辛万苦，实际上仍是证明爱的美好和人的有限。  没有真正的救赎，除了沉重仍然是沉重，可是，苦难毕竟是被消解了的！  愿上帝的平安归于地上他所喜悦的人！,4.0,3.0,3
7,7,26383898,一锤定音,216f6f013873e97584574aae476b7928,de24f301e9c8ea72a079b84677b74ad6,3,2021-11-09 01:11:11,如果主角真的想保护家人，那么一开始老老实实坐牢啥事没有。 顶多自己被爆菊，但是没有人会因为交通肇事罪而骚扰主角家人的。 自己因为怕事而卷进了黑帮，在黑帮犯事还要连累家人，然后为了不连累家人又让自己犯更大的事。 这不是大傻子么。 而且谁说黑帮老大就能保护家人了？威胁黑帮老大的家人明显收益更高啊。 影片中主角与家人的关系是一条暗线。但是最后的结局也显得较为突兀。突兀点在于儿子的原谅缺乏理由。 从不理解到理解，影片中我们看不到儿子如此转变的原因。唯一的原因是主角当上了黑帮老大，且获得了终身监禁。也许影片想表达主角为了保护家人而化身黑暗守护神，但是很明显影片的实际处理是比较失败的。,,,0
8,8,26383898,一锤定音,8be20767eba00f35d8194ae6191b1260,6b48ec5975043f5477e007b8facfc849,4,2021-01-23 02:55:54,没想到，又是一部为了家庭，为了老婆、孩子，把自己逼到绝境的电影。 每个人一生中，都会遇到各种各样的选择，你不知道你做了这个选择，对今后会有什么影响，在那个当下，你只能用你当下的人生阅历去做出你认为对你以及你的家人利益最大化的决定。 这部电影我觉得还是很棒的，起码我很认真的看完了全篇，而且也被剧情的反转所惊艳到，确实入戏了，没想到的安排非常多，但是一开始认定的一件事情，终究没让我失望，那就是男主终究是个心怀善意的人，即使作为黑帮老大了，依然有自己的行为准则。那么爱妻子，爱儿子的男人，怎么可能是个没有担当的人呢，而最后的剧情安排，也让我理解了，他的选择，即使顺利的完成了这次交易，也没办法摆脱这个帮派的控制，依然没办法安全的陪伴在你们身边，那与其像个傀儡一样被人控制，不如用我自己的办法，陪伴在你们身边，起码我可以远远的看着你们开心欢笑。 所以终究，每个人都应该要承担那份属于他的责任，而我，要好好的思考一下，我该如何承担那份属于我自己的责任。,1.0,,0
9,9,26383898,一锤定音,356cc9eeffb22d4a2c16dc714c177747,a487b001c11b84afa66c9e846e548110,4,2020-05-26 20:35:25,看看海报上的詹姆·兰尼斯特，绝不再是《权游》里一脸帅气的花美男。而是一个身上满是纹身，嘴边蓄起胡须的硬汉。你一定会很好奇，他在这部电影中到底经历了什么？闲言少叙，往下看。 主角雅各布原本是一位文弱的股票经纪人。他有着幸福的家庭，美满的生活。一天，雅各布一家和好哥们汤姆一家一起出来聚餐。酒足饭饱之后，雅各布开车送大家回家。但他却因为一时疏忽而引发车祸，并酿成了无法挽回的后果。 雅各布不仅害死了自己的好哥们汤姆，而且还要面临16个月的牢狱之灾。16个月，这时间说长不长，说短也不算短。为了帮助他度过这段难熬的时期，律师告诉雅各布，所有暴力犯罪者都会被关押在同一个牢房里。换句话说，他会接触到一些黑帮头目。律师告诫他，“要硬气，因为他们一旦觉得你好欺负，你会有吃不完的苦头”。 果不其然，和雅各布同一天进来的一位犯人当晚就被一顿胖揍。第二天放风的时候，一个黑人当众挑衅雅各布。面对此种境况，雅各布决定硬气一回，把这个黑人狠狠打倒在地。雅各布的胆识，自然引起了卡利帮老大Bottle的注意。顺便插一句，监狱中几乎每个人都是以代号相称。比如雅各布，之前因为从事的是金融行业，就被称为Money。Bottle告诉雅各布，监狱的生存之道是一定要参加帮派，否则就无法存活。正所谓，天下没有免费的午餐。帮派能够为你带来了安全的庇护，同时，你也必须为帮派做事，有所付出。从这里开始，雅各布逐渐卷入了一个巨大的漩涡。 他开始为卡利帮做事，用自己的身体藏匿毒品。帮助卡利帮杀死了一名告密者。并且，还参加了卡利帮和其他帮派的火拼。在火拼中，他为了救下一位同伴，而亲身犯险，和敌方帮派的人打作一团。最终，由于雅各布的举动被监视器拍摄了下来，而导致他的刑期加重，由16个月增加至10年。心灰意冷的雅各布，面对着漫长的刑期更加绝望，从此和妻儿断了联系。 但好消息是，雅各布从普通监狱搬到了重刑犯监狱。在这里，他认识了更高一级别的帮派。以及更高一级别的大佬Beast。这位大佬邀请他入伙，并且让雅各布成为了帮派的二号人物。雅各布在大佬的叮嘱下，好好地在监狱里生活，不惹事，不生事。十年的时间过得飞快，他终于就要假释出狱了。可就在他即将出狱，要和家人团聚的时候，大佬打来电话。他安排雅各布出狱后去做一笔军火交易，否则，他的妻儿就会有性命之虞。 雅各布想要脱身，却被大佬呵斥。“你以为加入我们团伙的荣誉，出了监狱就结束了？等你死了才结束。在此之前你都得为你的兄弟做事。”就这样，雅各布开始意识到，自己已经越陷越深，无法回头。他的处境，他即将做的事情，都可能会对妻儿造成威胁。于是，雅各布决定自己一人行动，成为真正的大佬。 本片的一大特点是影片的剧情采取夹叙夹忆的方式展开。故事线总共分为两条。一条是雅各布的回忆，他是如何一步步由股票经纪人转变为黑帮大佬的。而另一条，则围绕着雅各布和军火商的交易展开。 雅各布在出狱后，参加了黑帮的帮派聚会，遭遇了不知从何方势力而来的枪击，差点丧命。而同时，始终紧盯着他的黑人警察，一直希望追随他的马仔散弹枪。一位刚从阿富汗退伍回来的新人马仔，以及要和他进行交易的军火贩赫尔曼。每一个人，都极有可能成为雅各布的敌人。他必须时时谨慎，处处留神。 为了让军火交易安全进行，他只招收以前没有案底的人，以及完完全全听命于他的人。比如那个新人马仔，一开始没有听雅各布的话，把他的位置告诉了散弹枪，就遭到了雅各布十分严厉的教训。“你的一切行为都是有代价的，如果你在牢里这么违背我的命令，我会给你放血。” 为了逃过警方的追踪，他把手机留在酒店，踹开窗户逃走。之后，再用撕开的床单把窗户栏杆安然无恙地装好。总之，他始终在竭尽全力实施自己的计划。 纵观全片，男主尼古拉·科斯特-瓦尔道的演技可圈可点。在《权力的游戏》之外，他近年来还出演过《情敌复仇战》中英俊潇洒的花花公子，《神战·权利之眼》中的天神荷鲁斯等人物。一直以来，他饰演的角色大都是英气十足的美男子。而在本片中，尼古拉的形象颠覆很大。 从开始时十分文弱的精英白领，到后来浑身肌肉的黑帮大佬。光是从身形就能看出，尼古拉为了拍摄本片在增重增肌上面没少下功夫。同时，更令人惊艳的恐怕是尼古拉饰演的雅各布在入狱前后的性格气质上发生了近乎180度的大转变。入狱前的雅各布，是一位脾气好、性格好的好好先生。而入狱之后的雅各布，则因为越来越深陷黑帮世界而逐渐黑化。 本片的导演是名不见经传的里克·罗曼·沃夫。他的前作《监狱生活》是一部完成度相当高的犯罪电影。而导演似乎也对监狱题材十分感兴趣，为了拍摄本片还在监狱当过一段时间的志愿警察。于是，那些扣人心弦的监狱氛围营造，以及酣畅淋漓的囚犯打斗场面，才足以在导演精妙的把控之下，拍出相当高的水准。 从电影剧情来看，本片的主角雅各布通过监狱的“试炼”，走出了一条相当暗黑的道路。 这一点和《绝命毒师》颇为相似，它们都讲了一个普通人在无奈之下逐渐“变坏”，并成为亡命之徒的过程。同时，本片的人物动机也和《绝命毒师》如出一辙：保护家人。这个看似硬汉一条的男人，自始至终都拥有着一颗十分柔软的的心。无论是雅各布开头写给儿子的那封信，还是他在监狱独自欣赏儿子的绘画，又或是在关门送走儿子后他一个人的老泪纵横，都将一个父亲对儿子的关爱展现地淋漓尽致。只是人生无法重头来过，当他踏入监狱的那一刻起，一切就都不同了。 雅各布在片中说道：“事实是，一开始我们都是父母的宝贝。这种地方则迫使我们要么成为斗士，要么成为牺牲品。没任何折衷的办法。” 无法选择是人生的绝境。或许在某些时候，我们都需要像雅各布一样成为一个真正的斗士，去拼，去闯，去与生命做殊死的搏斗。如此，才不辜负此生。,,,0
