,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,24299053,老人和枪,75f2d534801b6f8e88d9838286c4cfd0,a44a5f1d94a694984a5009ec7233802d,5.0,2019-01-16 10:44:32,"这篇影评可能有剧透 

                        本文首发于微信公众号“酸梅电影”，未经允许不得转发。 经常会在网上看到这类问题—— 30岁考研来得及吗？ 40岁想去欧美留学，有意义吗？ 50岁还能开始环球旅行吗？ 不可否认，年龄确实会限制我们去做一些事情。 但成就自己，什么时候开始都不晚，这也是人生最有意义的事。 有...

                         ( 展开 )",33.0,3.0,0
1,1,24299053,老人和枪,ba4fa94fef8edaa4ba557b056e43d628,39586396786ecdfa84ac1ed7031ad29e,4.0,2018-12-10 04:21:26,"今年看了两部老人做主角的犯罪片。之前的伦敦劫案是一群傻fufu的老人家们抢劫珠宝店最后全部被抓的故事。这群老罪犯实际上都形容粗鄙语言粗俗，就算最后搞了一个光鲜亮丽的收场也不能改变他们完全不绅士的品格。 而这部片，同样是建立在真实事件基础上。一个风度翩翩绅士幽默的...

                         ( 展开 )",6.0,,5
2,2,24299053,老人和枪,75074b53e324010e3c8f11d3cd1d7daf,637d27524a8594f233495fa92df1dbc1,5.0,2018-10-06 14:53:29,"这篇影评可能有剧透 

                        关注微信电影  【剧影看客】   获取电影资源和更多资源 十月四号上映的影片，在国外只有CAM和TS两种版本。 雷德福老爷子在去年和简·方达出演《夜晚的灵魂》之后，让世人惊讶两位的敬业和不老之心。也是在去年的74届威尼斯电影节上，两人被授予终身成就将。 而令人惊讶的是，今...

                         ( 展开 )",6.0,2.0,4
3,3,24299053,老人和枪,8c188a87b0f1d3b8ecdd2e04b72a068a,c7e776ae2a0e9075e4d43f23c328a4a1,2.0,2019-01-03 16:39:06,"在观看大卫洛维新片之前，我曾提醒自己，要避免过度解读。看完《老人和枪》后，我猜想这也是大卫洛维在拍摄此片时对自己的提醒，他告诉自己，要避免过度创作。 这是他拥抱好莱坞的第一步。他开始费尽心思刻画人物，所有机锋反转、箴言金句、尽显魅力的人物设定、谜一样的人物前...

                         ( 展开 )",42.0,35.0,15
4,4,24299053,老人和枪,4e7dbf33b7e3b0d86720a966848ecb38,1ec7c80ffcf81d0510276d67d690c3b0,3.0,2019-01-30 00:17:49,"假如坏人可以坚持一辈子： 贾樟柯有部老电影《小武》，小武是个钟情于偷的惯犯，他坐车进城，不想买票还故意说自己是警察，坐在他身边的人也没有躲过他的贼手，进城后连小贩的苹果都不放过。爱偷的习惯可能也是一种病，以前听一个同事说起他们村里的一个人，习惯了偷东西，父母...

                         ( 展开 )",4.0,,1
5,5,24299053,老人和枪,1c021d9f219b05a876a1acbbeb80602c,38f64b0556a14cff5d88516d7153d770,5.0,2020-02-02 04:10:02,"这篇影评可能有剧透 

                        莫言写过一个人物小黑，小黑生性朴实腼腆，小时候家里穷，有人给过小黑一块糖果，小黑第一次吃糖就被甜味感动的醉醉欲仙，并发誓长大后要挣钱吃很多的糖，从那以后小黑再没吃过糖。长大后小黑成了土匪，有一回小黑与手下劫了一批货，货里有一木桶里装满了糖，手下正欣喜要给大...

                         ( 展开 )",2.0,,2
6,6,24299053,老人和枪,12fceb7181cfab70d0f31aa8b87ab7b4,c4ff07d76baf5b010b0334b0fbe21106,4.0,2019-01-18 17:01:10,"这篇影评可能有剧透 

                        罗伯特·雷德福是真帅啊，他坐在那里，脸上的皱纹并非横纹多或竖纹多，而是横竖贯通，皱的很有立体感。影片体现初福利斯特和警察亨特生活轨迹的强烈对比，到底哪种生活才是真正的生活？在自己内心可以接收的范围内，都可以，选择不同而已。那应该怎么选呢？电影告诉我们：想选...

                         ( 展开 )",17.0,,1
7,7,24299053,老人和枪,9050a318bedb201fa2b60c4766ca52a9,0fcffe395bc58ca862d9d8fc27173f8b,4.0,2019-02-07 17:44:45,"这段时间看一部片子有这几种可能： 1.戏院里刚好有，就去看了。比如最近的《密室逃生》 2.期待已久，盼望着盼望着，终于上画或是有资源了。比如昨天的《流浪地球》 3.在Bt网站上一页页翻着，突然遇见的。比如现在要写的这部《老人和枪》 电影的名字我觉得可以起的更好一点儿，...

                         ( 展开 )",2.0,2.0,1
8,8,24299053,老人和枪,01dddbd178551d6e7a77b64b57f9440d,82e6ec12503fb31d68e138548be4aeaa,4.0,2021-12-10 12:40:04,"他追求的从来都不是如何生存，而是怎样过自己的人生。 茜茜在影片中饰演一名按部就班的妇人珍珠。年纪轻轻就结婚生子，循规蹈矩地过了半辈子。直到老伴儿去世，儿女们有了各自的生活之后，才发现，原来从来没有为自己好好地活一次。这是很大一部分人的真实写照。 看这部片子，...

                         ( 展开 )",,,0
9,9,24299053,老人和枪,5529c76e65c08cb099c88a8b042a4f00,185e99b97356de5997d0ea5934c68280,4.0,2021-04-08 19:34:08,"这篇影评可能有剧透 

                        福雷斯特，优雅的银行抢劫犯，传奇的人生经历，13岁开始小偷小摸，16次越狱。 不紧不慢的抢劫方式，从容不迫地离开，他对即将发生的任何事情都很坦然。 I'm just talking about living. 福雷斯特说，那是他的活着的方式，与金钱无关，他只是无法停手，电影最后，福雷斯特在最开...

                         ( 展开 )",,,0
