,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,10759740,滴答屋,2cc6ea6dd8419d64cd0213cff1202a6d,e9833d7ead880aef5e43435523089875,4.0,2018-11-01 22:03:53,"才看完电影也确实没想到豆瓣上评价这么低…至于吗，一两颗星的？？这不就是一个超级应景的万圣节奇幻魔法电影吗？为啥要用革命史剧的眼光去要求呢？如果你是一个很追求质感的人，那你就不适合看这种奇幻电影，你觉得这个幼稚的话，那胡桃夹子更不用看了… 说面向十岁以下儿童观...

                         ( 展开 )",43.0,12.0,18
1,1,10759740,滴答屋,944090205eefd3aa96e4eabacd96a738,dc5ac19e2bf1b8f14d3bcb953e949bab,3.0,2018-09-24 17:17:45,"本来以为大魔王来演这类电影实在是在大材小用，看完了才意识到凯特驾驭的住女人戏，却撑不了一场儿童戏。可能是Cate把这类电影想得太过轻浮，导致完全没有进入角色，没有演出那种高冷女巫师兼顾奶斯温柔好妈妈的feel，而更感觉像是按照剧本，一幕一幕的应付台词和该有的动作表...

                         ( 展开 )",20.0,6.0,5
2,2,10759740,滴答屋,7d6bfece69da7b3d8eaf3c738af16664,5030173e64543e7d31aaf55eb198dc1a,2.0,2018-11-01 21:53:17,"文/梦里诗书 拖沓冗长的节奏，以及毫无养分的内容，都使《滴答屋》作为一部儿童魔法电影，即无法让孩子在电影中感受到多少欢乐与惊喜，相反暗黑恐怖的画面其实是并不适合孩子的。而对于大人言，电影低幼至极，难见波澜的剧情，更难让人对这样一部电影产生多少兴致。 《滴答屋》...

                         ( 展开 )",10.0,4.0,1
3,3,10759740,滴答屋,a1cd5e98d077f771653b6f5842ba7cf3,4c61e0b9ca352fb5b42782f46726703d,2.0,2018-10-03 16:02:38,"先下结论：我个人觉得这部电影是个烂片，不推荐花钱去电影院看。如果你实在是喜欢主演，那在打发时间的时候看看就好。不过小心，你很可能会失望为什么他们要花时间拍这个片子。 当然，作为一个儿童向的电影，小孩子们可能会喜欢它。我没有带孩子看所以对小孩子们的观片体验不作...

                         ( 展开 )",7.0,1.0,1
4,4,10759740,滴答屋,291a74ead077e63ca93584851fc3f446,41f6f695bd19eda2d27a898eab863777,5.0,2019-02-07 01:36:17,"才看了一半就跑来写评论，是因为真的很喜欢这部电影，情节是典型的魔幻类，特效更是不用说，花园里的星空真的是既新颖又唯美，迫不及待地来发表观点，非常不理解为什么评分不高还有一群自以为很懂电影的人在那跟风喷，说幼稚还有什么的，有些人品味不够欣赏不起就去说电影有问...

                         ( 展开 )",1.0,,2
5,5,10759740,滴答屋,e800e94f0b131916da61e2c29a79d1f6,2ffe4e77325d9a7152f7086ea7aa5114,2.0,2018-12-31 18:09:31,"这篇影评可能有剧透 

                        ...连平庸都不及，然而不合格的剧本才是本片失败的罪魁祸首。 剧情虽可勉强说圆，不过编剧究竟偏爱戏剧性还是合理性，答案无疑显而易见，末日钟表除了让Jonathan和Florence焦头烂额外，缺了钥匙实际啥用没有，至于为什么一定需要钥匙显然不可深究，唯有勾起观众好奇心的戏剧性...

                         ( 展开 )",1.0,1.0,0
6,6,10759740,滴答屋,5e48f4833eabbfdb282576aa68bb05c3,be1f3d52aeae52aa753af1f618845342,3.0,2020-03-22 08:50:39,"这篇影评可能有剧透 

                        #电光幻影# 《滴答屋》，藏着深邃的内涵，露出一丝笑意，却没有人体能那其中的孤独。 1、孩子 孩子可以没有未来，但是他们不会没有梦想。每个人都会带着自己的一点希望去生存和生活，但是这点梦想能够成为什么，是未知的。人生的走向更是无法估测，在一场生命的努力里，孩子时...

                         ( 展开 )",1.0,,0
7,7,10759740,滴答屋,7d4cd4ad0f39a45087cb9d52cf1028ee,f5ea2a57c15149c54dcc54a09082434f,3.0,2018-10-24 01:42:13,"这篇影评可能有剧透 

                        I'm Louis, I lost my parents. I figure I can go to my uncle's, he seems like a nice guy. Ok, this house is kind of creepy, why so many clocks. There is a cool lady, dress like elegant eggplant, must like purple a lot. First day in school, kids look at me li...

                         ( 展开 )",6.0,1.0,2
8,8,10759740,滴答屋,1047267a02eaf5bc01c0a3b470d6b2d6,016cc5fb2c2104bbf2b41e566a4595a5,2.0,2020-03-13 15:06:56,"看一部片子适合什么样的年龄段观看，不是单单看情节是不是吓人，而是要看主线逻辑是几岁的逻辑。例如熊出没和海贼王，都是动画片，显然主线逻辑的年龄并不相同。 舅舅住在一个有邪恶念头的已故巫师的家里，家里几乎所有的东西都会动，然后他把刚变成孤儿的外甥接了过来。外甥顺...

                         ( 展开 )",,,0
9,9,10759740,滴答屋,ba7c77d4984e2a3cf304aaa8139bd5c9,05be616851af1de1787c577c9f29ee68,4.0,2019-03-11 14:28:46,"情节很好，坏叔叔，坏婶婶，破坏好孩子的梦。很多新的想法带给我们启示，玩具木偶活了让我想起了皮嘎丘，，小时候我一直在等小木马活过来，直到我把他弄丢了。而电影里活了好多只。人民总说我们不应该活在梦里，可是只有在梦里我们才知道需要什么，我们爱什么。当一切真相大白...

                         ( 展开 )",,,0
