,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26980859,最差劲,3e13f266d1dded0c9f61cf6f3cdca017,4fb9b2db5c5888ba227969159a1b4338,5.0,2019-05-11 20:00:25,"无意间下载了谷原希美,又让我想起这部电影. 一个7年无性爱的少妇,一个丈夫宁愿看片也不原意碰触地可怜女人. 是什么让谷原走进了温泉的拍摄场地,是存在感吗? 是想让老公在片中发现你的美吗? 你为什么不生气?你为什么不更生气?电影中的质问,夹杂着多少挣扎. 他无意中在片中发现自...

                         ( 展开 )",20.0,2.0,7
1,1,26980859,最差劲,3e13f266d1dded0c9f61cf6f3cdca017,4fb9b2db5c5888ba227969159a1b4338,5.0,2019-05-24 09:32:15,"这篇影评可能有剧透 

                        我想写一写残酷,我的中心思想是残酷. 上文中,提到了相泽南纱仓真菜铃原爱米莉水谷葵羽田爱星奈爱朝美穗香由爱可奈麻美由真松冈千菜桃乃木香奈麻生希辻本杏谷原希美等. 前几天,相泽南获得了AV界奥斯卡的日本女优大赏冠军.所以, 促使我想多写几句, 最佳女主角,里面有多少辛酸.要...

                         ( 展开 )",11.0,,3
2,2,26980859,最差劲,249a0f6206d223017606da15fd9d85cb,4638cbd3f3d98acf1a6c9261a52fe454,4.0,2020-04-19 22:17:19,"♥ 二万五千本“终身阅读长征” | 第 5,445 本书 〖塔罗灵读〗 英子 ○|● 读家 ● 如果家会伤人，那么如何避免踏上痛苦的不归路？ ①影视：《最低》 ↓ ②塔罗：“恋人”THE LOVERS ↓ ③音乐：《Lovers》Timecop1983 ↓ ④书单：《神曲》但丁 ↕ ① ○ 最近喜欢上一部电...

                         ( 展开 )",3.0,,0
3,3,26980859,最差劲,42f1d2bae70f3b6427f2bf5c2396e2ee,2de5b543a0428f6605fed05e3a5710c1,,2020-10-07 21:28:34,"一直不明白日本的AV产业这么蓬勃，那些为了产业牺牲色相的女优要怎么面对戏外的生活，这部影片给出了答案。 三段故事，三个不同的家庭，一开始以为是反映一个连贯的故事，是说一段AV女优的生活史，前世今生的模式。看了一段后，才发现不是这样的，这三个故事是相对独立的。一个...

                         ( 展开 )",1.0,,1
4,4,26980859,最差劲,0bdeb96e903a89fa279a9ee287d75b44,aa046a44c6a511115c369e0a066b650a,3.0,2018-11-03 20:07:14,"和马赛克日本不一样，这部由纱仓真菜写的和编剧，更关注了这种最被社会嘲笑的职业人员的生活。各自都有各自的理由，有因为没能力找工作，有因为没有xsh。但是这种最低职业对社会、配偶和家庭造成的影响才是关注的重点。 男编剧说，前几世的灵魂汇聚成今生的人格，女二说，我可...

                         ( 展开 )",1.0,,2
5,5,26980859,最差劲,979df72b3b05cf1b22b4f4cd392bc26e,d088e65280ddb314e4807b49e0181bf3,4.0,2018-09-03 19:00:54,"这篇影评可能有剧透 

                        看完这部电影我知道，做a v女优不一定是因为被人骗欠了高利贷家人生病急需药费，这可以是出于一个人的精神或肉体的选择！ 彩子画里的三个女人 就想意味着电影里所讲到的三个女友 分别来自不同的年龄背景家庭；年轻的彩乃，中年 人妻美穗，中老年本间孝子。 彩乃：从小就是几姐...

                         ( 展开 )",6.0,,3
6,6,26980859,最差劲,b2f276fdb61a022a65b4ae0d6f890180,206551bcfcdbda7b350995284ae8fa76,3.0,2018-07-22 18:38:46,"试图反映日本av女星生活的电影，我强调的是试图。镜头对准的是四个女性，很显然是想通过四个女性来反映一个女人成为av女星的整个人生阶段。当然，这四个女性中的三个有不同的人生经历，也有不同的进入av圈子的理由。同时也显现出av女星将一个特殊的商业产物，对于社会大众而言...

                         ( 展开 )",1.0,,0
7,7,26980859,最差劲,54e5c58663e1136b1d0a898573a05990,0e54de43ec772ea7b4b9b05151bab710,3.0,2018-05-11 01:13:54,"这篇影评可能有剧透 

                        很好很色情。小时候下载少儿不宜的片子，有两个印象深刻：一个叫什么女优的日记，结果里面拍的纯的跟啥一样。一个叫做《沙漠之花》。长大了下些正常的片子，没想到这么大尺度。但我是欧美党啊！！！江口跟女一分不清，很难受。就大概讲了下每个人都有自己的动力和苦衷去干女优...

                         ( 展开 )",6.0,1.0,4
8,8,26980859,最差劲,378235dde8ff09046ed53f393e38fd92,3f0efa1fb5c0ddae1d22f32833ab0950,3.0,2018-04-24 17:59:57,"千百年来，只有文字是语言和文化的主要载体。庆幸时代的革命，人类有了影像。至少对我而言，这是一种更具魅力的表现形式。因为读书时自己往往沦为故事的旁观者，总是要在字里行间拿捏和揣测作者细腻的情感，以自己的客观现实为素材，构建书中的具象。而电影却更生动一些，真实...

                         ( 展开 )",13.0,,2
9,9,26980859,最差劲,4b350068e77f332f0b8134a58142d51c,c63e594c304c6dc4f2134f0a2cee9e0d,3.0,2018-04-16 03:52:39,"这个片子比《A片现场不NG》好看多了，好看一是剧情，二是有两点半可看。 试图探讨AV女优为什么会入行，入行后要面对的纠结心理。但很显然并未深刻挖掘，流于表面，而且后段努力在往温情回归上靠。对于女性独立、地位、生存现状、家庭困境等都没有深入。基本沦为粉红电影。这实...

                         ( 展开 )",7.0,5.0,3
