,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26975855,钱,e9b43dd19feef524ab3359082ee91951,dc798ac67d8b23db173d2957fff7b10e,5.0,2019-05-03 02:15:02,"这篇影评可能有剧透 

                        我觉得这是一部挺烧脑的电影，有的地方看了不止一遍才看明白是怎么回事。以下是我的理解，本人并不是专业的，所以有不明白或不对的地方，请专业人士讲解下。 赵一贤挣钱靠拿佣金这个不必说，但是号码牌他们怎么挣钱？ 第一笔，我是这样理解的，韩永证券的某人(后跑路)故意下单...

                         ( 展开 )",43.0,7.0,14
1,1,26975855,钱,98ab1d9643d3fe1c477b47f04cbc0366,5e8b552ed1dd1bc2c0668424e20dd2a9,1.0,2020-10-22 03:42:14,"1人性的刻画真的烂大街了 平平平无奇 2主角就一个垃圾交易员 3剧情线 就普普普通通 4完全看不到做庄的细节 我寻思表现出来的就是情报（或者自己搞事情做点利空利好消息🤣）然后瞎几把放量交易 这tm的 一看就知道交易异常的单子 实在不知道庄家的布局思路 拜托你看看财经新闻...

                         ( 展开 )",2.0,,1
2,2,26975855,钱,25d6e732342c3bc804b9a166c33e02ca,eec6db8759214dad47991b7931e8a473,3.0,2019-04-27 10:18:15,"这篇影评可能有剧透 

                        你觉得自己是合格的股票经纪人吗？基本的操作都搞不明，客户的指令都听不懂，难怪你工作十个月还没什么业务。 这个时候，你就应该清晰地认识到，这个工作不适合你，胆小、木讷、容易焦虑的你应该回去种覆盆子的。 都说傻人有傻福，是，你被同事介绍给号码牌，靠暗箱操作迅速成...

                         ( 展开 )",21.0,3.0,15
3,3,26975855,钱,dbbba4388013b36c5a39d35d954a9a2a,148f3dacfd69bdc93aab36acc3319f69,4.0,2019-05-17 15:16:48,"这篇影评可能有剧透 

                        去年，一部名为《国家破产之日》的电影在韩国上映，影片在试图探讨席卷亚洲的金融风暴的同时，也极其有勇气的将矛头直指当下的韩国社会。当过去的投机者成为了如今金融界的大亨，当年靠撮合韩美深度贸易合作和经济支援的官员成为了如今的掌权者，看似如今的一切风平浪静，但实...

                         ( 展开 )",26.0,1.0,13
4,4,26975855,钱,e2bc315a7bb0c0f3e8693085714e9e5b,586c2b39465951a4baf62e5f6a2e5c9f,4.0,2019-02-18 13:16:16,"这篇影评可能有剧透 

                        原文： 영화 ‘돈’이 예측불가 스토리와 빈틈없는 재미를 예고해 예비관객들의 관심을 사로잡고 있다. 영화 '돈'은 부자가 되고 싶었던 신입 주식 브로커 ...

                         ( 展开 )",1.0,1.0,2
5,5,26975855,钱,ff32e5257450258d4ebfefe325d045cb,2f7569e00c4d97aef5f2c2b3a4d2213f,2.0,2019-04-10 17:35:47,"这篇影评可能有剧透 

                        版权归作者所有，任何形式转载请联系作者。 作者：Lizard（来自豆瓣） 来源：https://www.douban.com/note/713754009/ [影院好读版] 號稱韓國版《華爾街之狼》的《錢力遊戲》同樣是在展演金融世界的瘋狂與刺激，然而《錢力遊戲》卻收斂許多，沒有對於財富豐滿的想像，反而是多...

                         ( 展开 )",10.0,9.0,5
6,6,26975855,钱,acdb950ebff616643e792e8911f5dfa9,cf102469c252e4d14d6de580d7e67366,3.0,2021-04-09 16:27:40,"我的评分：7.2 影评： 有些人赚了一辈子也花不完的钱，但是还是不放手，其实他不是想挣钱，只是想要这种掌控一切的感觉。掌控权力也是这种感觉，权利使人年轻、使人兴奋，那种掌控的感觉，只有真正拥有权力的人才能够感受得到。 一个底层的小股票交易员，因为参与幕后交易一夜...

                         ( 展开 )",,,0
7,7,26975855,钱,142c2efccf5e19e31ed9ea97f6185ace,995e13a567f8ac5d1842563efe00e367,4.0,2020-06-06 21:33:54,"内容真实性太过差了，  因为作为金融这种皮条客生意， 往往中间人太多了。 电影里面虽然通过制造了很多接近真实的场景模仿， 比如狗焕通过电话不断向上级联系， 最后找到了大boss（刘智泰饰演），但是我想说大佬这也太不值钱了吧， 一个初出茅庐的小喽喽就能这么“轻而易举”地...

                         ( 展开 )",1.0,1.0,0
8,8,26975855,钱,1b6333333502fb097cb1b3de371a4cf6,95b99aeb255a680c267fcdbac0b537a4,4.0,2020-02-08 19:01:11,"把这部电影当成金融科普看的，很多内容不是太懂，特别是最后一局，镒贤和号码牌较量的那场交易。镒贤用自己的钱买下了雨盛贸易，而且买在高点，所以他其实并没有赚到钱，只是让号码牌的计划落空了。如果号码牌是融券的，那他必须用同样的价格买回，所以亏了300亿韩币，是这样的...

                         ( 展开 )",,,3
9,9,26975855,钱,83422e1a811f59d674f2e2ac5b5f1dbb,5d9df5fee96b9afe9ed59ae893687b7e,3.0,2019-11-13 00:17:40,"因为柳俊烈看的，怎么说呢，有点点失望。可能是因为是一部电影，时长有限，所以只能讲这么多，别的也没什么了。既想有亲情，又想写爱情，还要分点给友情，还有一点给社会新人一点关注，还要抨击一下甲方乙方，，最重要的“钱”好像是从头到尾都点了点题，就这样感觉人物不是很...

                         ( 展开 )",1.0,,1
