,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30163500,鬼影特攻：以暴制暴,b74ce1d332effcd20afda0c02318205c,cdda068af5e829be7a5aff2b76f4857c,3.0,2019-12-14 14:01:20,兄弟夺权的故事，非要把所谓的西方民主搭进来。 大哥夺权成功，代表了独裁；弟弟所谓主张民主，被哥哥软禁在香港一高档酒店的顶楼，带花园、游泳池的那种，各种服务都齐全，你懂的。虽然弟弟反对哥哥，但哥哥还是比较人性化的把弟弟安排看惯好。 然后，我们的贱贱带着一帮Loser硬是把哥哥治理的国家弄乱，还把弟弟接出来煽动老百姓暴动，不是和平抗议，是打砸抢，那场面就一个字“爆”。最后弟弟面无表情的把哥哥从直升机上推下去，跌落到暴动的老百姓中……丝毫不念亲情。 然后，又一个披着民主外衣的独裁者上台了……他不是主张民主的么？怎么就堂而皇之的接替了他哥哥当起总统呢？不应该搞个民选么？,111.0,55.0,61
1,1,30163500,鬼影特攻：以暴制暴,f8e659ec8c995fda10f0954d1c511eb3,17ba29c67e077ca85293e868b1e10612,4.0,2019-12-16 08:23:09,“一个外国人，毫无利己的动机，把土耳其斯坦人民的解放事业当作他自己的事业，这是什么精神？这是国际主义的精神，这是共产主义的精神”  主角团是国际主义战士，不是美国特工 主角团是国际主义战士，不是美国特工 主角团是国际主义战士，不是美国特工 中要的事说三遍，很多人看电影没看懂这点在那儿吐槽，这部电影很多地方都在打美国的脸 大反派Rovach是美国扶持起来的，在2号的闪回里面已经明说了（此时2号还没有加入鬼影） （2号真名叫卡米尔，加入鬼影前是CIA，这里说的让坏人坐上王位就是让反派Rovach上位） 2号在乌兹别克斯坦抓捕弟弟Murat送给反派 （美国国务院明面支持弟弟，但是CIA暗地里抓捕弟弟送给哥哥，扶植的是反派哥哥） 弟弟向2号说明了反派的本质，但是命令就是命令，2号不得不照办（或许这就是2号退出CIA加入鬼影的原因） （2号于心不忍，但是命令就是命令） 4号也吐槽过这个  后来反派和弟弟的对话也赤裸裸的说明了是美国扶持了他 （美国造就了我，俄罗斯卖武器给我） 反派作恶太多，用毒气弹攻击难民营  甚至打算用毒气攻击国民  美国扶植一个这样的独裁者，然后主角团去推翻他，这难道不是国际主义战士么 主角的动机影片也明说了  重点是最后一句，翻译过来就是，主角钱多开始想学蝙蝠侠拯救世界了  选择在世界抹去自己团队的存在，以数字来作为类似于蝙蝠侠面具般隐匿身份,61.0,13.0,95
2,2,30163500,鬼影特攻：以暴制暴,d7f3349d68bb6418be65d6cc41696831,e34f3a0a52964cc5e8d75a60062b9660,5.0,2020-06-08 01:03:38,我真的很喜欢这部电影。我承认这部电影确实商业爽片，但是我就是喜欢这种类型（所以我打满分）。我尤其喜欢贱贱主演的，全程都是爆笑。看完之后很开心也很有动力，因为这个电影恰好刺激到了我的爽点。里面的各种幽默基本上也都能get到，同时也契合了我内心某些方面对于以暴制暴和快意恩仇的认同。 说实话，故事片和文艺片我也是很喜欢的，不过对于大众评分很高的某些文艺片我实在欣赏不了，可能是我本身思维深度不够，或者我也是当代娱乐致死的一个普罗大众吧。 众口难调，不用纠结别人喜欢什么，自己喜欢就是最好的电影。,10.0,1.0,3
3,3,30163500,鬼影特攻：以暴制暴,63b8f171c99a10101d90a9b83943db44,b9ae3e3839c1391f8e61f63cfc4efa61,5.0,2020-04-06 11:35:04,论场面创意，设计，效果，画面，音乐，都是近期少有佳作，有些打斗场面直超各大佳作，跑酷，飙车，爆破，高档酒店，长腿模特，感官过瘾就行了，强烈建议去大屏幕观看，配合音响，很震撼，反正我是看上头了。 简单说下车，罗密欧与朱丽叶绝对是充钱了，奥迪就是配角，路虎车队每次出来就是挨子弹的，当然还有法拉利，秀了一下下，没舍得撞。,5.0,,1
4,4,30163500,鬼影特攻：以暴制暴,41bbc0a0e4f154d5b4fc86fd840b5ed9,33875919a5edbeb58f6b595623f4ff43,,2019-12-16 06:01:36,这分着实有点低，7.5分往上这是我的看法。无论是从特效格局人物刻画创意上都是很成功的一部商业片，那些给一星的我就想问问你看过的动作片里有几部超越他的？每一个人物性格都很鲜明的群戏电影做到这样已经很不容易了，设想一下这要是大牌更多一点会不会是一部经典？跑酷题材的也很难有跟他媲美的。看完这一部我已经很期待第二部了,48.0,36.0,107
5,5,30163500,鬼影特攻：以暴制暴,cc98e59187136a56df64748f973dc11c,cc98e59187136a56df64748f973dc11c,3.0,2019-12-18 04:22:10,这个片子看了一半就觉得针对性很强，爽片元素齐全，年轻人最喜欢的、市面上流行过的要素齐全，快节奏剪辑，传统爆炸追车也不少，可以说是良好的消遣对象。 ps：评论里看到有人说什么不理解为什么这部片子低分，换一班大牌来是不是会好点，我觉得这位同学是不是真的有什么误解，这部片子里全是大牌啊！只不过是各国自己的大牌，就好像你拉个汤唯景甜啥的去演也只有我们中国人认识。。。这个对每个国家都有了号召力，其实是很聪明的一件事了。 但是我为什么给三星呢，因为这片子的爽感一般，正因为什么都有，才精力分散，什么都没做到突出，至于故事线就别提了，一般来说如果爽片的爽做到位了，我完全不追究故事线，这个大家心知肚明，爽片的故事线能做到深刻、富有戏剧冲突简直是神片的档次，一般大家都不难为导演对吧，但是当你爽片元素没有发挥好，那就难逃低分了，因为你都没有故事线去撑。 就事论事，本片最大的一个技术上的失误就是“闪回和现在”的分割标记做成了一个在画面左下角的小字幕，且一闪而过。可能导演自己觉得我都打了几号那么大的黑屏了，肯定是讲这个人的过去啊，对，对导演来说很自然，但是对观众来说，如此快的来回闪回剪辑，如果不彻底分清楚，就会造成观众一脸懵逼。 我也有点怀疑导演是为了显示自己的剪辑牛逼，讲故事水平高强而这样快闪，继而引发讨论，增加热度，更何况千禧一代都喜欢速度越快越好。但是爆炸贝就是给我一种“由于不熟悉这个剪法而刻意用到过度掩饰自己不熟悉”这样的感觉。也不看看这是个什么故事：就非常简单，每个人都因为对过去失望而在千万富翁的撮合下放弃旧生活，拯救一方百姓于水火并在团队中找到真爱的故事。讲真，这行字真的把故事内容讲完了真，没别的了。。。。里面的人物都是简单的脸谱化的“好人”、“坏人”。所以好人组就是要去杀坏人组，且越残暴越解恨。这一看就是个爽片设定对吧，那么接下去就应该好好发挥“爽”这个特点吧？ 可是爆炸贝非不信邪，一定要展示自己故事讲得如何高级，你本来就是空洞故事，再剪也剪不出什么呀，更何况是强行混剪，导致连这个简单的故事都没讲顺，到处产生阻滞感，快节奏的目的是为了让我爽，不是为了让我不爽吧！ 我说的难听点，把一个简单故事剪得混乱到有碍观瞻乍一看其实和花了大心思安排多层次剪辑的故事表面上很像，区别就是静下心来看，后者看的时候会有流畅感，逐层抽丝剥茧，逻辑清晰。诺兰的致命记忆就是一个例子。 那么故事线扔到一边，爽片元素为什么我还是不满意呢？还是因为贪多嚼不烂，我承认每个镜头都很爆炸贝了，甚至用磁铁啥的都是亮点，可是每个人物的特征都立不大起来啊，本来出场还一个个都冷若冰霜，后面就自然组了n对情侣，跳跃性也实在有点大，就好比男主在吧台遇见女主一夜情，居然就把女主照片贴表盘上了，然后连娃都有了！中间就是空洞的，导演觉得反正你自己想象好了，我没时间整这个。。。人物性格立不起来也就算了，为什么连每个人的设置都不怎么清晰的呢？你说你死了个车手，为什么补了个狙击手？谁开车？是不需要开车了？医生为什么除了开头全篇都在外包别的业务？法国女和杀手不都是肉搏型的吗？这就是为什么他们一定要组队见家长的原因？跑酷小哥的功能就是组团建和被拯救？（因为最后一战我就没看出他除了被救以外还有啥功能）。 总之爽的元素表层表达是到位的，可没有系统性，疾速特攻让人爽到就是因为爽得有体系，鹤立鸡群，这个就是感觉整个爽元素的edge都被摊平，文戏差，武戏一般（以2019年标准而言），整个看完就像看了一个大型MV，人人慢动作大光圈什么的。。。幽默感有些地方还是有笑到我，比如杀手要打晕弟弟却死活晕不了什么的。。。算是有些反套路的点，所以给个三分及格。,6.0,,0
6,6,30163500,鬼影特攻：以暴制暴,cca13ae8847543a270fc014f1ffa4e99,39a552fe0116376d109cdc9e949f8dfa,4.0,2019-12-23 19:29:30,"文章首发微信公众号：分派电影，更多推荐欢迎关注。   今天推荐一部网飞2019压轴商业巨制「鬼影特攻：以暴制暴」（Six Underground），影片的制作成本高达1.5亿美元，几乎与「爱尔兰人」不相上下，号称Netflix 史上第二贵电影！由迈克尔·贝执导、“死侍”瑞恩·雷诺兹主演，当“爆炸贝”遇上不差钱的网飞，会擦出怎样的火花？    这是一部大制作B级片，秉持着迈克尔·贝导演过往的风格，大动作、大场面不断的爆炸、爆炸、再爆炸，导演还刻意加入性与血的元素，大胆的呈现了各种爆头、喷血、炸烂四肢等血腥画面。  





   影片每一场动作戏都会血浆喷溅的画面，过程非常刺激过瘾。整部电影基本是以连续不断的动作场面串联起了令人啼笑皆非的文戏，全程下来炸裂恶心又搞笑。  





   以下内容含剧透 瑞恩·雷诺兹饰演的亿万富翁“1号”将另外五位能力各异的人士集合到了“鬼屋”，他们的目标是要实现很多正规机构和国家组织无法实现的私刑正义，而这几个成员在行动之前也已经被经过了“假死”处理，成员之间以数字代号相称。 他们第一项任务是独裁者洛瓦克。  





   影片一开场便是一段长达20分钟的意大利佛罗伦萨追车戏。特工们此次任务的目标是律师,通过律师可以找到洛瓦克的“四骑士”，并杀掉他们。  





   与律师谈判过程中2号（梅拉尼·罗兰饰）中弹受伤，于是他们挖走律师眼珠（利用眼珠解锁“四骑士”资料信息）撤退。  





   撤退时全靠6号（戴夫·弗兰科 饰）超厉害的飙车技术，经过血肉模糊的街道追逐，成员成功撤离，不幸的是6号撞车意外领了盒饭。  





   失去6号后，1号另外找了科里·霍金斯 饰演的特种部队狙击手的布莱恩，布莱恩在一次任务中由于上头命令的阻止，导致战友严重伤亡而自责，1号说服他加入并制造跳船自杀事故，自此布莱恩也变成鬼影成员，代号“7号”。     剧情是以各段闪回叙事，穿插补充各个成员的过往故事。这里就留给大家自己找答案不过多讲解了。  





   就此鬼影6个成员集结完成     1号发明家巨有钱的亿万富翁     2号前中情局间谍特工     3号职业杀手     4号跑酷高手     5号医生    
 7号前特种部队狙击手     通过律师眼珠获取到“四骑士”所在位置，他们接下来要做的就是“全杀光”。  





   “四骑士”在拉斯维加斯会见完军火商，正当四人与辣妹开派对欢乐时。  





   被伪装进来的2号与3号分别以不同方式爆头。  





   此次任务不单是清除洛瓦克的“四骑士”，也是为了找到洛瓦克弟弟穆拉特。任务完成2号与3号顺便在尸体旁打了一炮。  





   推翻残暴的洛瓦克再把文明理智的穆拉特拉上位作为首脑，特工们接下来则要去香港霓海大厦将被囚禁的穆拉特解救出来。  





   潜入摩天大楼守卫森严的豪华顶层救人的任务一波三折，每个成员都发生了不同小麻烦，过程中7号为了使队友脱困，使出了下策，将顶楼的大水池击碎，水宣泄而出将敌人冲走。  





   同时也差点淹死队友。  





   惊险的任务中还穿插了成员之间因性格差异引起的嘴炮互怼以及彩蛋梗。
  





   任务过程中7号违抗了1号放弃营救的命令，开枪救了没能跟上撤退的4号。并公开了自己的名字，表达交心的诚意，成员之间更近了一步。  





   救出穆拉特之后，接下来就是说服穆拉特回土耳吉斯坦夺取政权。先是潜入土耳吉斯坦黑进国家电台，在元首对大众发表谈话的节目切换成穆拉特呼吁人民站出来革命，推翻洛瓦克暴政。  





   另一方面，鬼影全员是要混入洛瓦克以为最安全的豪华游艇，抓住洛瓦克。此次行动1号也启动了他神奇的磁铁装置。  





    





   经过惨烈厮杀，最终穆拉特取得军方支持，夺得政权。同时也抓到了独裁者洛瓦克，并把他丢到满是难民的人群中，交由他们处置。  





   值得一提的是游艇行动中4号落难，1号最终选择返回救援队友，展现1号心理的转变。就此鬼影成员们精彩的完成了任务。  





   影片最后1号的帅气自白以及片头“鬼屋”九个盒子，都预示着故事还未结束，有出续集的可能。  





   抛开被诟病剧情，眼花缭乱的快节奏、特意加强的各种意外死状满屏的限制级的恶趣味，加上成员们鲜明的个性冲突飙粗互怼，最为大制作的爆米花爽片看的刺激就可以了。你们觉得呢？",4.0,2.0,0
7,7,30163500,鬼影特攻：以暴制暴,8e581946f5dad870ae5a04897240179f,038f2ea6ac609bed5b333649bc410857,,2021-10-04 19:43:27,看的过程中，我在想以下几点： 1，如果其他一个国家的领袖是个暴君，那么我们是否可以以个人或者团体等单位去介入他们国家的内政，我们有没有这个权利？ 2，以什么判断为基础，自己是正义的，而对方是坏的？（可以看到这个特工团体他们自己做事的时候也杀害了很多无辜的人，这又扯到了电车难题上了） 3.就如片名一样，“以暴制暴”，当我们踏上比他们更暴力的道路上，那么我们和他们也没有区别，因为我们都是暴力的。 （当然，这个其实不能由看完这个电影这么想，看电影不就是乐呵呵的，但也要在看后拿出来去思考。） 4，在本剧中这个暴君没有一点优点，独权专政，残杀人民。这些都只是片面的信息，一个人不可能全部都是缺点，而我们看到的东西，都是有意为之让大家知道的。然后我们一群外人就可以站在正义和道德的立场去把这个领导绑架搞死吗？ 这种手段反而更像现代媒体片面的宣传手段，某些大国的新闻不就喜欢这么干吗？有时候还刻意曲解，扭曲事实。所以说白了，整个故事还是以强大欺负弱小的故事，这并不是什么成功，也不是什么可喜可贺的故事，这只不过是必然的，强大会胜过弱小用你给我讲故事吗？ 所以就不由细思极恐，这就是一个洗脑的过程，假设：我们只要以后有资源了，我就可以在世界上各个平台发布你们国家领袖怎么怎么不好，然后我们几个强大的国家可以想让你怎么样就怎么样。（这是电影中隐藏的潜台词） ～还是和以前一样，说下优点缺点和总评。 缺点： 1，这个电影主要话题比较敏感。 2，把好几级集电视剧压缩成了一部电影的感觉，导致节奏特别快，最后的成品的节奏并没有把控好，估计有人看的会觉得很乱，一会回忆，一会又回到现代，一会又一直放BGM，一会又莫名其妙谈恋爱，反正很乱。 3，主线故事其实很简单。有个国家领导人特别坏，我看不惯，找了找了几个各有所长的人，把这国家领导人干掉，扶持了个新的领导人。反正就是这么一个过程。 4，三号杀手感觉和四号重复了，医生后面也没有作用了。 优点： 1，里面故事内容相当丰富。 2，因为投资大，所以有很多精彩的画面，飙车，跑酷，枪战，打斗，做……哎？ 总评：如果只是当爆米花电影看看没问题，但故事真的很一般。,,,0
8,8,30163500,鬼影特攻：以暴制暴,5b21b785dd30b206abb210e1ab6583a5,ee853de11f3d867ae4f1c060944db6d8,2.0,2021-08-17 02:23:17,要说车戏，已经很多了，打戏却不足。 =============== 队员，说实在的，没看出太多必要性，我觉得组一队杀手突突突干脆。 5~6个杀手，带上几十发子弹，各自行动互相支援，足以灭掉任何场景人数不超过100的目标。 更别说这种偷袭的，你甚至可以干掉所有人，完成“暗”杀——By 刺客信条。 =============== 一直在放小故事，一个接一个。 大概是导演也知道，主剧情太单薄了，撑不住电影，所以玩起了小剧场。 =============== 绝对是一部不及格的片子。 如果你追星，当我没说。,,,0
9,9,30163500,鬼影特攻：以暴制暴,cfe0641825c6e529060141b29f7fff77,68f9f97656ab304485068627443cea81,3.0,2021-05-12 01:24:25,要说这个月最期待的上线电影，迈克尔贝和死侍的在Netflix12月13号上线的《鬼影特攻：以暴制暴》必须提名。  迈克尔贝自从17年的《变形金刚5》让派拉蒙赔了不少钱后，派拉蒙直接宣布把迈克尔贝系列的《变形金刚6》砍了重启。 可是迈克尔贝这次又有个新老板，就是最近几年花费巨资拍摄自己网站电影的Netflix。  几年前，可能真的没人会想到一个看视频软件能自己拍剧，而且还花费上亿美元拍摄一部根本不在院线上映的电影。 最重要的是，它有好莱坞6大电影制片厂没有的优势，就是开放“导演的创作自由”。 这个条件就连马丁斯科塞斯这样的老牌导演也心怀感激地为Netflix拍电影《爱尔兰人》。 而今年网飞制作的其他电影《婚姻故事》《我叫多麦特》《教宗的继承》更是2020年奥斯卡热门。成为下一届提名奥斯卡最多的制片公司。  《鬼影特工：以暴制暴》的剧情就是一个亿万富翁假死召集其他六个拥有特殊本领的“死人”，在全世界充当蝙蝠侠，拯救于人民水深火热之间。 贱贱饰演的1号是一个亿万富翁，团队所有的开销和计划由他负责。 其余队员有开车、医生、间谍、狙击手、跑酷 还有一个是来搞笑的。 帮助一个国家发动政变来推翻暴政，没毛病，美国现实中也喜欢干涉别人内政。 这次的《鬼影特工：以暴制暴》包含了迈克尔贝的一贯套路：剧情空洞，视觉爆炸，把网飞给1.5亿美元花的一点都不剩。 再加上“死侍贱贱”瑞安·雷诺兹的嘴炮功能，能确保这部电影是一部最基本不会无聊的爆米花娱乐片。 脱离了大制片厂之后，这次的迈克尔贝玩的更嗨，完全不用在乎分级，眼球特写和砍头直接血腥地展示在观众，暴血、飙车、枪战、翘臀美女等等动作片元素应有尽有。      不过对于剧情爱好者来说，这个电影的剧情可是说到处都是BUG。 作为动作片来说，最容易短板的也就是剧本，开头说这个人是鬼魂一样的存在，可是他们所做的事全都很张扬。 完全不知道这个设定是有何用处，你甚至可以把六个主角说是IMF伊森亨特以外的小组，最主要的一点可能就是涉及到这群欧美人在帮助其他国家政变这种剧情有点怪异以外。 其他设置从头到尾照样可以按照这个电影里的剧情走下去完全没有任何问题。  就连近几年很火的《疾速追杀》系列来说也是一样，剧情基本可以就是可以用一句话来概括。 但是《疾速》靠出色的动作设计和背后装满逼格的杀手世界让观众眼前一亮。 这也是为什么《疾速》系列为什么这么简单的剧情也能拍的出这么好看的原因。 而以拍动作片出名的爆炸贝还是想靠十几年前的那套标准来拍摄这部电影，很明显现在的观众品味也早已提高，这种标准在《勇闯夺命岛》那个时期可以，但现在不行。    而且还有一个点就是，这部电影没有在电影院上映。 我们只是在手机和平板以及电脑上看这部电影，即使我们移动设备分辨率再高，肯定也比不上电影院的音效和大银幕。 更何况是在拥有众多爆炸场面的迈克尔贝电影，在手机上是体现不出那种导演为观众精心设计的音效与爆炸结合的画面。 哪怕是你让我在Iphone11Pro上看《阿凡达》，观影效果肯定也是大打折扣。 前段时间马丁也说过，即使《爱尔兰人》是在网飞上线，但如果各位观众有条件的话，建议在平板上观看效果更佳，仅仅因为平板比手机屏幕大一些。 由此可见，一个电影的观看设备对一部电影的观影效果有多重要。  配乐方面，爆炸贝这次用了很多流行歌曲来装饰六个主角的炫酷。 基本上从头到尾没几分钟就出现一次，刚开始还感觉音乐配上动作画面很酷。 但是过多使用导致最后真正需要最酷的流行歌曲来配上酷炫的爆炸时，却显得没那么让人觉得惊艳。“好剑就得藏着，露的太多反而失去了神秘感。”  总的来说：《鬼影特工：以暴制暴》是一部合格的爆米花电影，但是剧情上有瑕疵。 豆瓣6.1和IMDb 6.2 是对这部电影最合适的评分，它不算烂片。 毕竟最近院线好像真的没什么电影可看，我目前可能就只期待12月20号的《星球大战：天行者崛起》。对迈克尔贝动作片感兴趣的朋友们可以去看看。 更多电影影评可以关注我个人公众号  安利最新好电影，尽享个人观点！ 只有个人想法，没有专业点评！ End,,,0
