,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,27180906,乡间小屋,1fd2fd8dada55ec92f8b18365221c313,d0ff37e039e917c2aabf2479c3378450,3.0,2020-04-29 15:26:21,"这篇影评可能有剧透 

                        冰雪系恐怖片，宗教氛围，一间与世隔绝的房间，孤岛之上几个人之间内心的对立与异变。这些元素的组合，让我最初还是很期待《乡间小屋》的，可惜虽然电影在剧本上还是下了功夫，镜头也在有模有样地去营造气氛，奈何故事讲着讲着，似乎就没有了主心骨，悬疑有余，惊悚不足，看罢...

                         ( 展开 )",27.0,10.0,10
1,1,27180906,乡间小屋,e64c20ba35b4e0be80e1ae56cc176a3a,2b5647815c89d80bfe74735218809dea,3.0,2020-09-11 19:01:26,"看了一堆骂小三的，说孩子失去了母亲就应该恨小三，孩子最可怜了，小三这种不值得同情。 我承认现在的9年义务教育没有一门课专门的、系统的讲逻辑的，但是你们这个思维能力差的有点儿盲流的压子。 首先，就出轨这件事情来说，小三和男主肯定一定程度上都是不道德的，但是我看一...

                         ( 展开 )",6.0,5.0,2
2,2,27180906,乡间小屋,a72b4e7a45929a5d515cb724f0b70e29,7079c72c21415131774625ba1d64f4b0,4.0,2020-08-28 23:45:47,"这篇影评可能有剧透 

                        女主的父亲是个“严苛？狂热？”的宗教信仰者，而且从女主在电影中的直接表现可以看出来，女主并不是一个惯于拆散他人家庭或者以逼死原配为乐的妖艳贱货，而是一个有点闷闷的，不善于交际同时有点“脑子不太清楚”的人。 当在小屋里，妹妹给女主看准备送给父亲的录像时，女主忽...

                         ( 展开 )",7.0,,0
3,3,27180906,乡间小屋,7b7837c7ce31ab4adc4967054a961ca2,10a2f9cee07455291b9a202fb7bef563,2.0,2020-05-11 23:04:07,"这篇影评可能有剧透 

                        当年《焦头烂额》的美女主角艾丽西亚居然在这片子了只客串了开头，实在遗憾；小萝莉莉亚·麦克休(Lia McHugh)很萌很可爱，影界新起之秀……这是熊孩子捉弄小三儿酿成了悲剧的故事…… 劳拉(Alicia Silverstone饰演)带着女儿米娅、儿子艾登去见分居多年的丈夫理查德……理查德告...

                         ( 展开 )",1.0,4.0,0
4,4,27180906,乡间小屋,e56190592dba9cfa9f3ede362e26bc7b,2ce8eda8ae05b4a9cc3b165d8978551f,3.0,2020-06-27 23:49:07,"这篇影评可能有剧透 

                        整部片子看下来还是有一些压抑的，从一开始孩子的妈妈自杀开始，到爸爸自己离开将小三和孩子单独留在小屋，再到孩子恶作剧弄疯小三，最后爸爸发现苗头不对，回家后被击杀……表面上看似是一部熊孩子搞事早报应的故事，我觉得实则还是在讲罪与惩罚或忏悔的宗教寓意更多一些........

                         ( 展开 )",,,0
5,5,27180906,乡间小屋,d8b920889893791f60f4eb2268fd8129,9c19f0437acb48a76b2f0908a27b919b,,2020-05-16 21:41:51,"怀疑剧本是边拍边写的，导演先跑了，剧务被战场提拔，于是狠狠的报复了一把。你弄死前妻，我就弄死你，逼疯你的未婚妻，让他披个麻袋片子，在暴风雪里打转，走投无路来到一座鬼影重重的坟墓前，狠命的砸门，就是进不去。然后还不解气，壁炉前面凤凰涅槃一般的聚柴自焚！烧的外...

                         ( 展开 )",4.0,,0
6,6,27180906,乡间小屋,977029f807ec00cd89d8625c74fa7e21,c16738a7a13f34cfbdf2ef7ec31a6d3a,2.0,2020-05-04 13:18:52,"题材不错， 一个关于家庭积怨成仇，酿成悲剧的故事。 人相互折磨起来，可比鬼唬人厉害多了，疯子神经病就是这么逼出来的。 这片子有教育意义，即使分开也别聚在一起相互折磨，一个本身精神有问题的人，没了药，死了爱狗，再加点惊吓，能有好结果那就怪了。影片逻辑在线。，缺点...

                         ( 展开 )",1.0,1.0,0
7,7,27180906,乡间小屋,29b5df7b345ba450ee6918f8f4fdfbe6,29b5df7b345ba450ee6918f8f4fdfbe6,4.0,2020-04-30 00:54:51,"当爹的既然找了女主，知道她的情况，还这么放心把三个人搁在一起？俩熊孩子这年纪，自己亲妈刚死，正怨恨呢，当爹的就这么急不可耐？不知道他这脑回路是怎么想的！ 熊孩子玩的有点大，再怎么作弄，别往死里整啊，尤其是人家的药，药啊，药啊！ 很喜欢下雪的片子，尤其还是惊悚...

                         ( 展开 )",1.0,,3
8,8,27180906,乡间小屋,9a412ba691b5832515d3e59e2370b275,13ad25cfba69bc60efe71747e1037832,3.0,2020-01-17 16:04:29,"看完我也不敢在大雪天住这种荒郊野外的小木屋了 事实上我从来没去住过这种度假小屋，因为断电、断水、被暴风雪围堵、里面木头地板嘎嘎响、隔音不好、雪天路上开车充满危险等各种因素导致我一直没敢住过。现在更没兴趣了。虽然本片制造恐惧的内容与这个屋子关系不是很大，但最终...

                         ( 展开 )",2.0,1.0,6
9,9,27180906,乡间小屋,5510760d3c3fa1209d88f50e96b85578,515b63506fc5bbae44177ba757e7fdbf,2.0,2020-05-30 16:36:10,"参考美国12岁的小孩性发育的进程，还整天抱个布娃娃？编的有点过分了吧。 爸爸的离开，是突发，临时的。可是兄妹俩怎么就知道要编一个没有爸爸的讣告新闻？ 小三的手机电池恰巧就在需要和外界沟通时没电了？ 而且三个人的手机电池同时都没电了？也没有ipad 电脑，充电宝？这得...

                         ( 展开 )",1.0,1.0,0
