,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,27601006,翠丝,e02eabd62b687c3d9419d5566d89a9a7,1afd4ed9b77597246651c26635fdbd82,3.0,2019-03-17 13:01:49,"佟大雄跟店里的伙计道了声歉，说“今天有点迟到了”，又嘱咐说，他老婆的外甥等下过来配眼镜，到时候打个折。之后才攀着梯子走进办公室。 说是办公室，其实不过一间阁楼。他每天都会在这里为自己换上一条女士内裤，回家前再换回来。 有时也会穿女人的胸罩。 玫红色，蕾丝边，罩...

                         ( 展开 )",342.0,3.0,21
1,1,27601006,翠丝,793744085d7c3765d8905f84bf89421c,a68dfae9a77805e27cf1100177647dbf,4.0,2018-11-14 19:22:47,"这篇影评可能有剧透 

                        《翠丝》是中国第一部跨性别题材电影， 入围了今年东京电影节主竞赛单元， 并获金马奖最佳男、女配角提名。 这是一部中国版《丹麦女孩》， 主角是一个50岁的中年男子，有妻有子， 突然有一天跟家里人说自己要变性， 掀起轩然大波。 《翠丝》的导演李骏硕是初出茅庐的新人， 演...

                         ( 展开 )",68.0,3.0,4
2,2,27601006,翠丝,1fc5f926bf510d33fd76b6e979b19145,f3ce000f721d48abb71ea3a9ecb559e4,,2020-06-20 20:12:55,"这篇影评可能有剧透 

                        香港电影《翠丝》于2018年上映，当时号称“港版丹麦女孩”，算是港片第一部直接涉及跨性别者题材的作品。影片质量不错，饰演老乾旦的袁富华斩获金马和金像两边的最佳男配角，惠英红也获金像最佳女配角。姜皓文潜心多年后挑战这个有极高难度的角色，虽只有金像奖影帝提名，但也...

                         ( 展开 )",20.0,,1
3,3,27601006,翠丝,41baf0f0c0aa8a81fe46975d0bf9593d,290aec7c1b88aca5babffd57b1ed9d3c,2.0,2019-03-18 22:56:45,"这篇影评可能有剧透 

                        2018年的华语酷儿电影也算是两岸三地齐开花，波折五年被删改审查不知多少遍的《寻找麦罗》终于与观众在大陆影院相见，《谁先爱上他的》成为了台湾电影年度话题之作，香港的跨性别题材电影《翠丝》也在最后时刻姗姗来迟。但是观赏完全片，《翠丝》和以上两部作品相比，既无法让...

                         ( 展开 )",34.0,7.0,16
4,4,27601006,翠丝,f68c81eb594786620be3d0550badbca6,fb51d86f9592df30f70335242898ee29,3.0,2018-11-17 12:48:59,"这篇影评可能有剧透 

                        跟约好了似的，在11月24日台湾数项返乡公投举行前，华语LGBT题材电影在台湾院线和金马影展上扎堆出现。 还在档期末尾的《红楼梦》，拍的就是西门红楼同志圈的“环肥燕瘦”。 一举拿下包括最佳影片在内、共8项金马提名的的《谁先爱上他的》，对准的则是因保险赔偿金而起的同志老...

                         ( 展开 )",5.0,,4
5,5,27601006,翠丝,911cafd30d1445b1d1e7391065ebd74e,9bcec723a8f0184d9708e73c142c68cf,3.0,2018-11-06 17:45:27,"这篇影评可能有剧透 

                        1. 整體而言太多不必要的交代。雄哥蘭桂坊易服前最大的問題是過度使用flashback，但還是有三星的水準，角色間的chemistry夠，演員表現都很好，第一場爆發戲是律師女婿外遇一事，惠英紅和吳肇軒表現不凡。 2. 接下來是全片拍的最好的部分，由蘭桂坊易服的自我釋放，到一代名花的...

                         ( 展开 )",13.0,1.0,1
6,6,27601006,翠丝,7842af9776ff61f13ccf0ab4eb78b828,d9c502c7be6f04bd924b01966806d4bd,3.0,2019-09-13 10:38:25,"因为工作性质得原因，我大部分时间都在跟各个剧团打交道。 确实在剧团中，尤其想要花旦这类角色演的越好，越是需要投入。 包括同性或者异装癖都是比较正常得，这个问题我也考虑过， 后来发现也许是表演者本身这个职业，一是需要体验不同角色，二是当他们通过表演别人生活拓展 ...

                         ( 展开 )",2.0,,0
7,7,27601006,翠丝,7d9c116125a1f4692bfce2c197200978,8ff744f2fe5610ef18d4c74d1022c3a1,3.0,2019-03-13 17:15:30,"这篇影评可能有剧透 

                        【翠絲】：5.5分 發現最近香港電影開始喜歡以邊緣人為主，從《踏血尋梅》到《一念無明》再到如今的《翠絲》，我當然是非常認同這樣的創作方向的，這都是通過邊緣人物來展現創作者的人文關懷。 《翠絲》這個題材在港產片裡是少見的，電影的立意都非常好，還有一班優秀的演員，本...

                         ( 展开 )",4.0,1.0,0
8,8,27601006,翠丝,8b3af5ce8485c1151baf3f6d1f9e23ee,3e7e122bf08f48432c961ba491089dc9,4.0,2019-04-17 17:07:59,"这篇影评可能有剧透 

                        说一下情节上的小问题，其实是可以在剧本阶段规避的。 首先是男主的自戕。在与妻子声嘶力竭地爆发之后，接下来的一场戏就是男主在卫生间哗哗的水声中，割伤下体。我不知道是否有情节规律这一说，我个人感受是很难在一个情节高潮时不带喘息的马上进入下一个高潮。或者将自戕放在...

                         ( 展开 )",2.0,,0
9,9,27601006,翠丝,3f38554faf01bcdf4d4c6d8e58686832,78f7d18dfa84157bc9052a7ef726ed71,3.0,2021-07-23 09:11:06,"这篇影评可能有剧透 

                        这部和《叔叔》不同。拓宽了认识。有人是接受自己是男人/并喜欢男的GAY。这部里面是男人身/女人心/不接受自己身体/喜欢男人 TRANSEXUAL。 +1 姜皓文太强男人气质。扮女人。带来视觉违和感太强烈。一种荒诞  矛盾。一个努力做好社会认同的【理想男性】。51年的痛苦和自己斗争。...

                         ( 展开 )",,,0
