,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30320057,新灰姑娘,b18d1cfa225c8edb7bceeda4c98eeb28,204dafc006cd085f41d3980d6359a682,1.0,2018-10-01 10:57:44,"宣传有意误导观众，我还以为是迪士尼动画电影。全是马甲，基本就是欺诈，把迪士尼的动物人物抄了一遍，还不像，大头儿子3d动画水平。建议不要带3d电影眼镜。连字都不是3d的。我不是崇洋媚外，国产的动画水平用心做不只为圈钱的动画电影都值得尊重，而，这是什么鬼？就只是为了...

                         ( 展开 )",25.0,6.0,10
1,1,30320057,新灰姑娘,cbc33e9d90f7b4d9044e6a7790a923b2,8f743c2c688f153105c795acba557f80,3.0,2018-10-03 11:59:17,"这篇影评可能有剧透 

                        灰姑娘的故事耳熟能详，如何做新是个问题！但是我们看到了其中的新！重新诠释，丰富情节，更像是青蛙王子，白雪公主.....这是在故事情节上！除此之外还有不同的东西可以挖掘...原著中有善恶，但在主题上的爱情太过梦幻！而这部王子不是看客！既有王子救美女，又有美女救王子！...

                         ( 展开 )",3.0,1.0,2
2,2,30320057,新灰姑娘,dc810cedf700fc8dcf1fa017135e1798,1a6deb4a7ce654b1265f498f23e346a3,5.0,2021-06-25 17:15:32,"这篇影评可能有剧透 

                        灰姑娘的故事相信大家都听说过了，有的人或许会说，灰姑娘的故事还有必要拍成电影吗，也太家喻户晓了吧？事实的确如此，但是这部电影讲述的是一个脑洞大开的新灰姑娘的故事。 小时候看童话书，灰姑娘的故事是灰姑娘乘坐南瓜马车，穿着水晶鞋去皇宫跳舞，遇见王子后来过上幸福生...

                         ( 展开 )",,,0
3,3,30320057,新灰姑娘,2422a3d2520529d2153ea9ca5c20e292,d3d3b6c0a696c41c36bf083db67bfc41,3.0,2020-08-31 22:28:30,"基本信息 《新灰姑娘》是由林恩·萨瑟兰执导，Kirsten Day、Stephanie Sanditz等联袂配音的动画电影，于2018年10月1日全球上映。 该片讲述了灰姑娘在皇宫发现舞会上的王子是假冒的，在魔法师学徒莉莉的帮助下，逃离这个阴谋陷阱，前往拯救这位落难王子的故事。 剧情简介 灰姑娘...

                         ( 展开 )",,,0
4,4,30320057,新灰姑娘,a6376d5d765c47a55afbbb709187dabd,b291054fa32373fecca1d206c13f260a,3.0,2019-12-18 20:43:07,"这篇影评可能有剧透 

                        表示并没有引诱出老阿姨隐藏的少女心。动画制作还是很精美的。神仙教母是终极大Boss， 在舞会上和灰姑娘跳舞的王子是个假王子，真王子居然是只老鼠，没有水晶鞋，没有零点魔咒。 原版有着原版的梦幻天真，灰姑娘平日被继母和两个姐姐欺负，但善良的她遇到了神仙教母，换上了华...

                         ( 展开 )",,,0
5,5,30320057,新灰姑娘,6430f395dcc84796acfe27682da14fb3,f5645799d3493854cb4f73406682022b,1.0,2019-01-26 20:21:05,"其实只要细细观察就能发现它就是一圈钱动画，拍的烂，不要紧，有灰姑娘的名字就能有票房，赚钱就行，他太让人失望了，其实他有很多可以升华一下的地方，比如找戒指的时候可以用一下光的反射，但编剧放弃了，还有人说:这不就是给小孩子看的吗差不多得了。拜托就是给小孩子看的也...

                         ( 展开 )",,,0
6,6,30320057,新灰姑娘,781745a4ba68f1159d1547ae72fbc2fb,afdd53dff24df9c062939e0ce29ae677,1.0,2018-11-26 11:50:10,"看完一查不是迪斯尼出产确实有一丝遗憾，但是在看之前并不知道制作公司，反而带着一个观影人的理性态度在看。 先是3D特效确实不行，透着一股子浓浓的未成熟国产3D动画feel（电影一完结马上搜索，果然不是迪斯尼），常见的人物表情、动作僵硬、阴影与背景不融合导致人物虚浮、还...

                         ( 展开 )",1.0,,0
7,7,30320057,新灰姑娘,fd65d5dbc2ff84cebd930a73f657a7c9,8fcada4079b8467c142d41d43adc3e3a,1.0,2018-11-18 22:20:19,"没有仔细看的还以为是光头强呢这画风真是笑死人了 给1星真是太多了。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。...

                         ( 展开 )",,,0
8,8,30320057,新灰姑娘,7c75b803af53dfe133860fa5596691a4,39bfa05c5350eb7ecd0a18a918747a2e,3.0,2018-11-16 21:30:59,"这部电影是一个特别机缘下看到的，满分五颗星，我给它打三颗星。 在往日的灰姑娘故事中，情节大家都明白，灰姑娘家道中落，却因为心善人美得到神仙的帮助，得了一身华衣美服，南瓜车辆，午夜的钟声响起后，丢下的鞋子，使得她顺利得到王子的爱，从此幸福的过了一生。 这个故事...

                         ( 展开 )",3.0,2.0,3
9,9,30320057,新灰姑娘,01dc277a70ed617105d757a01a62fba4,499138a515800cd95d78d181f6560a80,1.0,2018-10-11 16:06:24,"[星星]，只给一颗星，因为居然欺骗消费者，明明是个国产动画电影，偏偏挂个迪士尼的名头。过于简单的人物形象设计，中国农村风格的浓郁色彩搭配，僵硬的动作，熊出没大电影的即视感，美女与野兽的情节抄袭，甚至连镜头视角都一样照搬，这部山寨电影还能说什么呢，这一颗星用来...

                         ( 展开 )",2.0,1.0,0
