,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30257991,六欲天,6cad86d982e5ee33ee4330fcdccdf868,e9a8c407e8d2085ef667f291edae2e16,,2019-11-01 16:40:59,"在当前的中国，在所有资源还不错的演员里，祖峰是转型做导演中最微妙的一个。 他，起初就不想转型。 在平遥见到他，从一进酒店房门，就感受到他在导演这件事上，少了别人喜形于色的快乐。 他说自己不喜欢人际上的事务，不爱指挥人，一开始也对做导演这事很是抗拒，剧本是好，但...

                         ( 展开 )",29.0,,4
1,1,30257991,六欲天,c4e316b96f7dd1adfb7c18a76824ab07,473d3644145afd5b11d33905146f31fa,2.0,2019-11-03 10:17:17,"01 演员祖峰的导演处女作《六欲天》，入围了今年戛纳的“一种关注”单元，不久后，又因“技术原因”被召回。 时隔数月，这部影片终于上映。 不用说，我们也知道它必然会经受的命运。 是的，删减。 只看影片本身，你都能看到明显的删减痕迹。 细节不说，最关键是片中的几场情欲...

                         ( 展开 )",27.0,2.0,1
2,2,30257991,六欲天,b00003ee46734e79e1e72bf432ab7e73,b817d2c3c2ee5486ee0e3772cbfe1b23,5.0,2019-10-21 14:32:35,"这篇影评可能有剧透 

                        “我拍了部电影通过审查了，11月1号要上映，制片人给我安排了很多活动让我参加。” 来平遥的前一天，祖峰在诺奖高峰论坛上读完莫言的作品后这样说。 第二天，祖峰带着作品《六欲天》来到了平遥电影展。发布会的最后，他礼貌的起身对全场媒体说：“对于票房，我没那么大野心，希...

                         ( 展开 )",18.0,3.0,3
3,3,30257991,六欲天,e81a76c50c16820320de121334b8a298,293cd2b8eb4d1943e005100828bba16a,3.0,2019-09-30 11:15:04,"这篇影评可能有剧透 

                        跟很多人一样，戛纳这个名字第一次进入我的视线自然也是因为那个举世无双的国际电影节。每年五月，这个法国海滨小城都出奇的热闹，世界各国杰出的电影人在此共襄盛举，试图让电影这门已经足够年轻的艺术（虽然仅有100余年历史）重新焕发新的活力。 主导这一切的自然是戛纳“活...

                         ( 展开 )",11.0,1.0,2
4,4,30257991,六欲天,e695cae7d3782dc7fe002f025d7f76d3,753dea13d6e37814d002027ae17f8366,4.0,2019-11-06 01:53:28,"这篇影评可能有剧透 

                        在首映式上见到祖峰老师的一周之后, 我决定二刷「六欲天」。 电影的评价两极分化严重。首映式场看下来, 即便结合观众提问及祖峰老师的回答, 也还是有些不清楚的地方。这是也电影的主要问题所在——「六欲天」毕竟不是林奇那种「用感觉玩儿死你」的电影。因此, 如果电影所讲述的...

                         ( 展开 )",6.0,1.0,0
5,5,30257991,六欲天,b879adfeff6f164f8e5049f78ef271d1,20486042ef38260b0e8d46b169381e2d,2.0,2019-11-03 15:06:35,"这篇影评可能有剧透 

                        说《六欲天》平庸，好像并不是很贴切。 不论是关怀抑郁症群体的角度，人物框架的构设，还是反高潮的破案路数。祖峰的导演处女作，都是用了心，有他的个人想法。作为初哥导演，他的问题在于叙事太过笨拙，影片氛围从一开始就落在谷底，而后居然一跌再跌，连塌带陷，实在平淡无味...

                         ( 展开 )",13.0,2.0,0
6,6,30257991,六欲天,cc254a521a8572a6c93805611ceb49c7,582a063ebbd752a7da6462585cd6f8db,5.0,2019-10-28 10:05:36,"《六欲天》。 英文名是《长沙夏天》，中文起这个名字多了很多宿命意义。 选择关注不同的抑郁人群，聚焦心理变化，这样的题材是大胆的。 导演、编剧和演员都用了心，在沉闷与对撞中寻找着一丝哪怕是决绝的平静。 所有的归结到一起，是一个主题。 凡是接触，必有孽缘。 李雪为了...

                         ( 展开 )",2.0,1.0,0
7,7,30257991,六欲天,85692bfbd5aed3625481bcc14efe1d84,a77cbc2e7eb2157c4c0fba6159a941ec,5.0,2019-08-30 12:37:56,"三个月前在戛纳看了《六欲天》，一直想要写点感想，但是忙着忙着就忘了。突然想起来要写因为今天看到了两个新闻，一个是《六欲天》的“技术问题”解决了，一个是之前一直关注的北大弑母案的凶手改口作案动机。其实这两件事看似没什么关系，但是却都让我想到了一个话题，就是我...

                         ( 展开 )",8.0,4.0,1
8,8,30257991,六欲天,fc9b0174f1c85ceae275fcf63d85fd72,f254a6edc992e53bbe75ef147923a71d,3.0,2019-05-24 00:30:02,"这篇影评可能有剧透 

                        六欲天是一部让人看后，迷惑大过其它任何情绪的电影。 论演技，从一开始，众人都在用一种无欲无求的表情摆弄着自己和他人的命运。李雪从推开医院房间的门，到发现弟弟的骸骨，表情都是一副“你是什么货色老娘就是什么脸色”，“我李璎珞脾气大不好惹”模样。何斌像一只郁郁寡欢...

                         ( 展开 )",7.0,1.0,3
9,9,30257991,六欲天,5b3fd545804d5e557ea3e6a68a7cd33e,2f4aaddde33c9b93c36fd2503f3d122b,3.0,2021-12-28 10:06:14,"[六欲天] [视频] [视频] [视频] 忽明忽暗的卧铺车厢里，何斌坐起来，拧开保温杯的盖子，吃药，窗帘外的光影斑驳闪烁，影片就在如此的情节中开场。 不如当下抑郁症已经成了新的身份名片，甚至斜杠人群也会在自己的介绍中加上身患抑郁症|罹患双向情感障碍，彼时抑郁症在中国方兴...

                         ( 展开 )",,,0
