,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,34842217,白云之下,496db5b7aea3939ea526d8701685adbe,e69a5cc3a0db7715324c0959e420f9d5,4.0,2019-11-13 10:02:35,"在第32届东京电影节上，唯一一部入围主竞赛单元的中国电影《白云之下》获得了最佳艺术贡献奖。这部电影由王瑞导演，塔娜、吉日木图、艾丽娅、涂们等出演，讲的是蒙古草原上一对夫妻的故事。 打动评委的不仅仅是原汁原味的蒙古民族风情与美丽的草原，如广木隆一颁奖时所说，更在...

                         ( 展开 )",12.0,2.0,1
1,1,34842217,白云之下,a9256f2b805978d03ee25acae7e024b9,67cf8bb9e5334814a5bebaee7c1db62f,4.0,2020-08-29 06:56:12,"在《三联中读》APP上听到王瑞导演的“《白云之下》走和留的问题其实并没有答案”。 说实话一看到电影名，并无吸睛之处，但看到导演王瑞两字，却拽住了我；因为和王瑞导演22年前有过交集，当时他在我所在的部队导演《冲天飞豹》，从前期剧本设计到后期拍摄剪辑及首映式，向共和...

                         ( 展开 )",2.0,1.0,0
2,2,34842217,白云之下,80bfbf1d35f970b2fead44d2798df438,17470afbdb675d2a107359216ecb4072,4.0,2020-08-05 00:08:22,"这篇影评可能有剧透 

                        首先，这是一部很真实的片子，里面的每一个情节你都相信它是从生活中生长出来的，而不是用纸笔编造出来的。演员们的表演非常真实，内蒙古民族血液中的彪悍和随性，诗意和单纯，都很让人喜欢，他们有人类所具有的很多美德，而这些东西正在城市的灵魂里慢慢消减。男主是个不折不...

                         ( 展开 )",3.0,1.0,4
3,3,34842217,白云之下,eda3e69875648343c6fc000dcd18a5e9,c5c70390111366848094ddec8bae7141,4.0,2022-01-09 17:08:24,"这篇影评可能有剧透 

                        无意中看了《白云之下》，一对普通的蒙古族夫妻的故事。 丈夫朝克图一次次远走；而妻子萨如拉却只愿意留守。丈夫拼命想说服妻子跟他一起走；妻子也拼命想说服丈夫陪她留下来。 丈夫曾经尝试忍耐着不走，但最终还是走了，因为那是他的天性；妻子曾经一直在等待，最终却不得不承...

                         ( 展开 )",,,0
4,4,34842217,白云之下,7d2cc71a5f48da2f1cd2d7e3abc730ba,0e888691843f6cb93384543f765c4c05,5.0,2021-02-28 18:52:00,"这篇影评可能有剧透 

                        被电影海报吸引看的电影。 有年秋天坐车去过呼伦贝尔，在车上好像船飘荡在无边的海上，好几天都走不出草的海洋。但都是停顿的景点游，我对公路边边界1米内的牧民生活都不曾了解过，除了偶尔手机上刷到草场退化，矿采等生态问题。 所以看到夏天绿色草原天边的雷暴云海报时，我顿...

                         ( 展开 )",,,0
5,5,34842217,白云之下,f272f46196ebce055e2d1c2c9fa567de,35d0848d25ad8af9b0784a5caf5b52c4,4.0,2021-01-10 17:33:34,"美丽的草原，我的家乡。。。。。。 喜欢这首歌的人，多半已经离开家乡。随着时代和社会的发展，美丽的草原渐渐失去了原有的魅力，美丽的景色比不上绚烂多姿的世界，当草原上的人被涌入的信息所淹没时，迷失便成了一个必然，蓝蓝的天，漂浮的云，绵延的草，蜿蜒的河，不再是唯一...

                         ( 展开 )",2.0,,0
6,6,34842217,白云之下,0380bc1553dce48d204b91a77a6c456b,69fcd48cb3e92122867fe139c60ced8f,,2021-01-02 00:33:34,"非专业人士的观后感，望大家多多包涵。 我很庆幸这部没有口号的电影。这部电影很现实，现实的让我们这些身在其中的人束手无策。进城亦或留在草原的主题被很多作家描述过也批评过对与错，算是一个大众话题。但是让我眼前一亮的是电影的言外之意。男主角朝克图在多次镜头中望着天...

                         ( 展开 )",,,0
7,7,34842217,白云之下,afc6d159b71876e55bcf8ee18c63a2cd,1ea58a2f1e6fc606dd77a8cab836f2ca,4.0,2020-12-20 22:43:08,"电影作品发布到网上，就属于网络的了，它作为文化产品盈利的期间已经过去了，片子上所有的署名在没有实际的关于电影价值的行业考评的情况下是空洞的，所谓附加于上的感情也是千人千面了啊，赌博上有买定离手，写作上有脱稿扔进故纸堆，都是些九霄云外的身外之物了，创作者也是...

                         ( 展开 )",,,0
8,8,34842217,白云之下,2de7e40aba16b23a454e84d113149550,05cf2cdca877b500132ea5e1c39e5fe5,3.0,2020-09-22 20:54:48,"在疫情后电影院重新开放不久，我就在电影院看了这部自己2020年第一部院线电影。实际上早在看它之前就听到很多北影的朋友夸奖和透露电影的幕后，例如纯蒙古语、演员都是当地演员、在东京获奖云云。虽然对这些东西打心底不太感兴趣，但也在潜意识里拔高了我对白云之下的期待。当...

                         ( 展开 )",3.0,1.0,0
9,9,34842217,白云之下,983da686dd740144dcd3ecc6a86fbfa2,0f5388784aa06794dda09be65fecc8fc,,2020-08-18 09:06:24,"新冠疫情尚在美巴印等国肆虐，一些国家也已迎来了第二波疫情，国内形势也不容小觑！然忙完工作上的余事，天天守在家里看看闲书读读新闻，日子久了也有些倦怠。去剧院看电影倒是我的最爱！疫情之下，热门新映的大片又不敢去凑热度，遂在德基影院挑选了一部反映蒙古牧民生活的小...

                         ( 展开 )",,1.0,0
10,10,34842217,白云之下,57d9cf1852b06110dbd3d17e3fbb5b3b,12c73b3d1966ee432b3210c8e09c6b10,1.0,2020-08-10 16:17:59,"电影应该叫做白云之下一个男人的无脑无能与自私。 座我旁边的妹纸，看完流产部分后迈着沉重而生气的脚步离场。我也想离场，然后想了下，我得看看这个男人到底有多渣，然后让大家避雷。 8月7号8号各大公众号疯狂推文说片子这好那好，然后我从淘票票上看全北京只有9家电影院排片...

                         ( 展开 )",13.0,3.0,0
11,11,34842217,白云之下,f6b2053229c34589ba85a24114dbec71,bd955b9705f392b087b1d1df2d52046a,4.0,2020-08-07 09:02:20,"这篇影评可能有剧透 

                        对于《白云之下》真的是打心眼儿里喜欢，看完挺久了现在还沉浸在回味中难以自拔。上次对一部国产电影有这种感觉，还是十年前看钢的琴的时候。倒不是说这部电影的故事上有多惊艳，艺术上有多成功，但就觉得拍的每一帧每一格都惹人疼惹人爱。 一对生活在内蒙草原以放牧为生的小夫...

                         ( 展开 )",2.0,1.0,0
12,12,34842217,白云之下,534408b13eebab6f372ba2af02232e32,534408b13eebab6f372ba2af02232e32,,2020-08-05 10:21:03,"温馨提示：文章涉及剧透。 作者 |咬咬小姐今天喝水了吗 何以解忧 唯有撸猫 作为本届上海国际电影“一带一路”电影周的开幕影片，《白云之下》（2020）已经完成了其在上海国际电影节的全部放映。 漫长的制作 十五年后终上大银幕 说起这部《白云之下》的制作，可谓是历经磨难。这...

                         ( 展开 )",1.0,1.0,0
13,13,34842217,白云之下,70ca6a5803a3d862477d808355d5f389,a9fe2b9c36af107fa9f7a462794907f7,4.0,2020-08-05 08:36:51,"关于，走出去与留守，片子夫妻代表着这两种价值观或者说选择。我们这种小地方的人总想着走出去。 可能我们并不清楚走出去能得到什么，但总会有这种冲动，凭着一腔热血。但出走也会丢失故乡，丢失对亲人的陪伴，看看古往今来多少关于归乡情结，所以像片子舅舅那样最后还是想回到...

                         ( 展开 )",,1.0,0
14,14,34842217,白云之下,5c6c8fd1440be5d70c03d7e61c43f88f,8d4630466825e60d6f4548cc6ceafece,,2020-08-04 21:25:12,"夏季望悬崖，冬季尽风雪。人总是期冀着破局的可行性：高居庙堂，渴望田园；身处草原，总想撒野。全片就是一个心灵飘忽远方的丈夫和软硬兼施企图挽留丈夫在家的妻子间的猫鼠游戏。比起展示冲突营造高潮，着墨多诉诸冲突后的无可奈何。 对于野不知何起的丈夫而言，走出去是唯一的...

                         ( 展开 )",,1.0,0
15,15,34842217,白云之下,e01eed037765cec88f88e8f199acd0e2,214a29ca966f32127b48b3e6f612ec22,,2020-08-04 21:12:45,"生活在草原的蒙古人，他们的家乡风景优美，是今天的城市居民花钱才能去的地方。《白云之下》从一户牧民夫妻切入，向我们展示了草原人民在时代变迁下的生活追求。在影片中着重展现了内蒙古草原人民的日常生活。辽阔的大草原上，奔腾的骏马和绵延的羊群，仿佛一个梦境一般就这样...

                         ( 展开 )",,1.0,0
16,16,34842217,白云之下,efbe0c87a2dae65f069329f3be417f70,2e0c22549de62eb3332d68c2b99ebbc0,5.0,2020-08-01 17:41:22,"草原——多少人魂牵梦萦的地方，却成为了一些人的桎梏。就像电影《白云之下》中男主朝克图说的那样，“你看那些围畜牲的栏杆 却把人都给围的死死的。” 我有幸曾经去过美丽的呼伦贝尔大草原，这里也是《白云之下》的取景地。我对于这片土地，有着对于往常人更加深刻的认识与了...

                         ( 展开 )",,1.0,0
17,17,34842217,白云之下,956de44e95a383505a8673e8cb5127e2,27ca68fa473e542ead798726b75a84ca,,2020-07-31 16:37:36,"在第32届东京电影节上，唯一一部入围主竞赛单元的中国电影《白云之下》获得了最佳艺术贡献奖。这部电影由王瑞导演，塔娜、吉日木图、艾丽娅、涂们等出演，讲的是蒙古草原上一对夫妻的故事。 打动评委的不仅仅是原汁原味的蒙古民族风情与美丽的草原，如广木隆一颁奖时所说，更在...

                         ( 展开 )",,1.0,0
18,18,34842217,白云之下,37bbecd1adfdd020090c0cb1de94e61e,dc2336728798043903bd2b73e8a45cd8,,2020-07-28 11:22:14,"《白云之下》是一部让人瞬生伤感又蕴藏无限美好的影片，干净且纯粹，充满时代印记与人文精神。呼伦贝尔的美，在镜头中静静流淌，不经意间，画面里也会出现矿坑，出现网围栏，出现现代工业文明对草原的吞噬，但这些历史进程中的瑕疵，都被不动声色地融进了贯穿影片始末的大爱之...

                         ( 展开 )",1.0,1.0,0
19,19,34842217,白云之下,5147cac566c3c2969ee0eb3406823f44,50b160b59e1fc0854f79b8bf805ca1f4,5.0,2020-07-26 08:06:57,"这篇影评可能有剧透 

                        《白云之下》围绕着一对草原夫妻来展开故事，丈夫朝克图是个闲不住的人，卖羊、买车、卖车，他的心里只有对外面世界探寻的渴望；而妻子萨如拉则喜欢这种简单的生活，放羊、给奶牛挤奶、给心上人做饭，仿佛这样的生活就是她的全部。由于生活理念的不同，原本恩爱的夫妻心生间隙...

                         ( 展开 )",,1.0,0
20,20,34842217,白云之下,bbd2034cc74afb4b848386817ce50263,ac1a370ec28cfb7fcab6b8021e501cc2,4.0,2020-07-24 21:44:26,"经过长达半年时间的等待，电影院终于复工了，虽然新片不多，还有上座率的限制，毕竟可以重新走进影院，有了一个好的开始，更开心的是，在上映的第一拔电影里面，有一部值得静下心来认真刷上几遍的国产好片，它就是由王瑞执导，吉日木图、塔娜主演，影帝涂们和影后艾丽娅助阵，...

                         ( 展开 )",,1.0,0
21,21,34842217,白云之下,9111dfed0f6f8ee60f7a562a8a5cf368,9fe69826b777d4034aa1eb7cdf726969,4.0,2020-07-24 19:40:29,"“蓝蓝的天上白云飘，白云下面马儿跑，挥动鞭儿响四方，百鸟齐飞翔……”伴随着优美的歌声、熟悉的曲调，思绪瞬间飞到了内蒙古的大草原上，跟着牧民一起放牧，体验宁静的生活，多么令人心驰神往，而在这片广袤草原的背后，还隐藏着一系列不为人知的故事。正在全国影院点映的影...

                         ( 展开 )",,2.0,0
22,22,34842217,白云之下,58a68bd64ba45f9759ec8ae5ea6c6107,339a65e93299ad8d72c42b263aa23117,5.0,2020-08-06 14:02:00,"“男人是辆破车，是需要修理的”、“你要找一个你能驾驭他的人结婚”这些话是不是从上幼儿园起听阿姨们聊八卦时就已经磨起耳茧了呢？是的！虽然已经听了这么多关于男人的“传说”但是，未经世事的少女们像想当“灰姑娘”般对爱情充满幻想！ 近些年有关爱情，渣男，渣女的故事情...

                         ( 展开 )",,2.0,0
23,23,34842217,白云之下,8a9e84001122d8aa45e1d94c2bcf1f4b,8227b1ca08f1b5e9053db947dce6986d,5.0,2020-08-10 23:26:58,"收到朋友送的一份礼物，上面附有一张纸条，写道：“朋友，这虽不算是如何珍贵的礼物，但也够你你用一年的了。” 满怀欣喜地打开一看，尼玛。。。日历。 ———— 小孩子生下来的时候完全新鲜和年轻，没有过去，也没有自我，那就是为什么小孩子会那么美。他们没有任何过去，他们...

                         ( 展开 )",1.0,1.0,0
