,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,33464312,八月处子,e87e4a18a11c714bf260185ac9f23218,b311a3fe13ac9b0ee02985f4759a2e46,5,2021-04-19 16:38:17,"这篇影评可能有剧透 

                        这个电影里，女主角伊娃的饰演者有三处我很喜欢的表演。 第一处是房东告诉她，在写的“讣告”主角曾经写过的文章，他提到那些“出色的女演员们”的前卫，这一点引起了伊娃的兴趣，她放下了手中的水杯，更为关注的去倾听； 第二处是她巧遇自己的邻居奥尔卡，谈及昨晚在路边看过...

                         ( 展开 )",54.0,,18
1,1,33464312,八月处子,5254aafbd4df8c12bcf0cda78365e7f6,39cf2eb05a8892f92fc3cf69b3ed29cc,5,2021-08-30 18:11:46,"这部电影摄于那些日夜，环绕在一名即将年满33岁的女子身上。她决定留在自己所属的城市，并将这视为信仰之举。而她试着活出一种存在于世界的新方式，抑或什么也不是…… 鲜红底色上映出一段乳白色序言。接着，是西班牙当代思想家奥古斯丁·加西亚·卡尔沃的诗句，随后出现日期：...

                         ( 展开 )",7.0,,0
2,2,33464312,八月处子,21bb7be8261ffc9d23a5b70e55631758,d59940d50fbce2ad3678fd4d08a6e1f4,4,2021-04-12 21:54:41,"这篇影评可能有剧透 

                        很开心，在夏天来临之际看到了这个电影，我很喜欢这种好像没讲什么故事但又感觉说了很多东西的故事，在胡言乱语间说一些想说的话，可能是这类导演的私心。 室友问我说了什么，我说是讲一个33岁的女人（伊娃）留在马德里度过炎热的八月的前十五天的生活。 故事开始于八月的第一...

                         ( 展开 )",13.0,,0
3,3,33464312,八月处子,5c9c4b82bfa462ff3f6d153526db26d1,7cc7de91ce782cd38510a2c63ca87df3,4,2021-08-28 22:57:59,"这篇影评可能有剧透 

                        西班牙导演感觉很会拍城市，多年前的一部《寻找希薇亚》让我对斯特拉斯堡这座法国小城念念不忘，而这部城市漫游题材的西班牙电影同样很容易让人爱上马德里。《八月处子》出自一位默默无闻的西班牙导演霍纳斯·特鲁埃瓦（Jonás Trueba）之手，不得不说法国《电影手册》编辑们的...

                         ( 展开 )",1.0,,0
4,4,33464312,八月处子,d2d2339fe49a091bbb7acd2e8ae0c627,b081dbe887a4e8683edc321e3132abb7,2,2021-04-23 16:07:45,"这篇影评可能有剧透 

                        《关于女性的觉醒》 这部片子我断断续续看了四次，或是五次才把它看完，这并不是那种有着很抓人故事情节的电影，我猜用不了多久我就会把它全部忘掉，但它，怎么说呢，是那种散漫的，你可以说它是日记形式的，或纪录形式的。反正，我是把它当做纪录片来看的，有人说，那干嘛不直...

                         ( 展开 )",3.0,,0
5,5,33464312,八月处子,e07ccc8ba3d669aed09c9d124a7e8c32,b509909bf51f11936b02416046134a22,4,2021-08-25 11:36:23,"如果没有白天偶遇路易斯这一段，伊娃大概也不会在深夜打电话给苏菲求助吧。事实上，一个人找间旅馆住一夜反而是比较省事的选择。找人帮忙很麻烦的。 这通电话传递出一种余温。与好久不见的旧相识重逢，重逢后的尴尬、拘束渐渐消释，两人甚至一起度过了不错的时光，友好、快乐，...

                         ( 展开 )",,,0
6,6,33464312,八月处子,72986afee24383cb20adb7b57ec23198,d265a8d08a19c072eb3f49f1d2de9d4c,5,2021-08-11 06:10:31,"这部电影仍然是我今年最佳，所以很主观的感受。 前一个小时，倒像是作者一直在耐心的介绍着女主或者说从女主望向屏幕开始，照面就完成了。热情的散发着自己的思维、真诚的眼神、仔细的聆听是源自“宽松”，并且不会有类似太过着急的情况使观者产生不适。 从河滩开始的对话，是...

                         ( 展开 )",,,0
7,7,33464312,八月处子,df24396f4741c3f8247372a19da8918e,9c7265edac847412e1128aa1a313f82c,4,2021-05-31 23:00:52,"电影的前半部分围绕着的话题中有一个明确的“工作”，房东应邀为一家杂志写一篇文章，路易斯在写一篇关于巴伦西亚的修道院，索菲亚一直带小孩，奥尔卡是一名演员，且认为这是“天职”，乔是一个烂学校的英语老师，而女主角伊娃无所事事，她在放弃她的职业，她曾经是一名演员。 ...

                         ( 展开 )",,,0
8,8,33464312,八月处子,3cde309da74819c428f1d8c9548de6d4,79fd5031739a060d5d909021b25c39bd,4,2021-04-16 21:59:02,"这篇影评可能有剧透 

                        Eva漫无目的在八月闲逛，自由地遇见各种各样的人，有以前的老朋友也有未曾谋面的陌生人，有的只是默默跟随，但要是下次再遇见可能就会一起喝一杯了，直到当她找到她想要的-怀孕，至此停下脚步，电影到此为止。 前面的一些人物对话有的太密太快，可能还要结合一些背景，所以不是...

                         ( 展开 )",2.0,,4
9,9,33464312,八月处子,e0deec7d86c42a984d6fa7f8daa89969,4cb8603ca26b446ea4abf7c0e77cc600,5,2021-04-14 00:17:28,"隔着两个凌晨，在这一百二十分钟里，我的思绪跟随伊娃来到她的世界，仿佛也度过了半个月之久。 她很迷茫，她像是在寻找什么？她诉说着她的态度，游走于街道让思绪漫想，无论是抬头仰望黑夜等待奇迹，还是在狂欢的舞台中独自感动流泪，或是被神秘的人所吸引，这所有的一点一滴就...

                         ( 展开 )",,,0
