,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,34869362,温暖的抱抱,d84f735896c95deb8ca233ff1a5ecff3,f269842771bc5c894b253298af93385a,1.0,2020-12-31 23:11:28,"补充：
虽然我很久之前就知道豆瓣是一个评分的地方，但是也不代表着每个人都需要有豆瓣账号吧？因为一部电影/电视剧看不下去来注册账号不是很正常的嘛
总要有一个契机吧
难道大家都是生来就是豆瓣人？搞不懂为什么还有人在这种事情上抬杠
还有说我显摆知识的。。你不知道地球是圆的，然后我告诉你了，这不叫显摆，这叫科普
还有人说我学习不到位的。。对啊，我也没说自己就是世界第一心理学家呀，有知识上的错误欢迎大家指正，就当我白嫖各位大佬的指导了 分割线 ———————————————— 很难想象，我竟然为了一部电影而注册了豆瓣 首先我真的没有对喜剧和心理疾病结合的题材抱有什么偏见

但是这个电影真的是完全踩在心理学专业和精神医学专业工作者的底线上跳舞。。。

电影里男主人公鲍抱在一开始就表现出强迫障碍，伴有一些强迫行为（手表计时，早起打扫卫生，出门戴手套等等），到这里一切还算正常的
自从他和女主角相遇，他的强迫行为就一会儿消失一会儿出现，我简称为“功能性出现症状”，女主角给他递手机，他不消毒，带他去别的地方，他不抵触，带他回家，他不难受。。你和我说这是强迫障碍？？？
而为了让观众想起来他还是一个病人，他有时候又开始打扫卫生，把瓶子摆正，弹钢琴前擦琴键

真正的强迫症，是以强迫行为或强迫思维为主要表现的精神障碍！！！什么叫精神障碍？！这代表着病理性的痛苦！！！就拿主人公的表现来说，如果他在准备自杀的时候超过时间，他应该是非常的焦虑痛苦怀疑！！因为计划被打破了！！他会感到强烈的不适！！而且这种患者一般对周围的人也有很强的支配和烦扰，如果他看到女主角邋遢不干净的样子，应该是强烈的支配状态，让其改正的，而不是默默的打扫卫生，像个清洁工一样。。而且女主角摘走了他的手表，他竟然没有反应？？窒息

这部电影对于精神疾病的治疗态度，也让我觉得非常非常的不适。就算你是一部喜剧片，你也不能开这种玩笑，心理医生被患者逼疯？沈腾扮演的心理医生治疗患者的方式是大乱炖？？你就算为了电影效果也不用以这种方式吧？更别说最后这些患者还全部出了医院陪同主人公去参加最后的比赛？你当精神病院想进就进想出就出？？他们如果突然发病伤到普通人怎么办？？迷惑行为

强迫障碍的正常治疗方法也是以药物治疗配合心理治疗，心理治疗里面有精神分析流派和认知和行为流派。这部电影展现的就是用行为流派来治疗主角的病症，比如挑战他不适应的信念，或者让它暴露在一个比较杂乱的环境里。

但是！但是！！这种疗法对患者是非常非常痛苦的！！！你每一次让他做不符合他强迫行为的事情都是在增加他的痛苦！！很多患者就是过于痛苦而因为接受不了这种疗法。而主人公除了不能踩水坑和吃大肠之外，竟然也慢慢接受了！Excuse me?Are you kidding me?? 你当这是过家家吗？用爱治疗病症？？

好家伙。。我在观影结束和我的家人说了我的观点，他们竟然说的是“估计这整个一个播放厅里，也就你一个学心理学的”。意思就是他们觉得看着开心就好，这些东西不必较真。我有时候也觉得干嘛这么较真？但是电影是会传播一些东西的。如果今天一个普通观众以后遇到一个有着强迫行为的人，他会怎么想？

只要把强迫症患者带到一个完全暴露的环境里，就能慢慢治愈他们？让他们谈一个恋爱？？高谈爱与和平吗？？

此外，这部电影的逻辑也非常非常的混乱。。所有人物的动机感觉都一团遭，但这方面我不专业，也就不说了

最后，希望电影工作者们真的真的不要消费这些有心理疾病的人了！！你们每一次不实混乱的剧情，都是对他们的二次伤害 



",874.0,158.0,685
1,1,34869362,温暖的抱抱,1b9cc3ab61643448beb1ba578a015fc9,a4f310609078492a74f7f674402fff6f,1.0,2020-12-31 19:25:28,Ps:各位觉得电影好看的，可以和而不同，但是请不用打开，没有必要争论，给彼此添堵，保留自己的意见。另外，欢迎觉得巨尴尬的进来吐槽👻🤣 ---------------分割线----------- 这绝逼是我今年看过的最最最难看的电影，没有一个笑点，真的很尬。烂俗的谐音梗，情节尴尬，情绪过渡生硬，还有强行煽情，又吵又难看。宣发垃圾，太狗了，看预告片以为是沈腾和马丽主演的，结果是李沁和一个不知名男演员，真的太尴尬了，我都快看睡着了。还有父母这个设定，真的太太太没有科学依据了，手上身上有细菌，所以不能抱抱，那就别呼吸啊，空气里也有细菌呢？？？？？真的太太太难看了，浪费我的三十块钱！！！！！垃圾电影，想要在影院里看一部爆米花电影获得短暂的快乐的兄弟们，劝你们别进来了，你们一定会大失所望！！因为你们将会浪费你们人生中宝贵的两个小时！！,244.0,105.0,482
2,2,34869362,温暖的抱抱,09f7f93b4455bb1b61fbf03738da637e,e3f6fed0c0988397df6ca665ef4f6734,,2021-01-02 16:25:39,昨天我刚和我的弟弟妹妹一起去电影院看了《温暖的抱抱》。首先声明我不是专业的影评人士，我只是站在一个普通人的视角来看待这部电影。 我看到那场观影率大概是80%，大家基本是在一起笑，不管怎么样，作为喜剧让大家开心地笑出声这个点它达到了。这部剧不管是从演员演技还是从电影的剪辑角度来看都是不错的作品。可能唯一存在的问题就是专业人士所提到的关于心理学上的问题还没有那么专业。这也许就是当前中国电影存在的普遍问题。这让我想到了去年国庆档《中国机长》当时也是有许多专业人士站出来评价说《中国机长》没有那么专业。也许从专业人士的角度来说这个是非常大的问题，而目前中国电影的受众大多数是为了剧情为了演员为了开心或者纯粹就是想看电影了。对我来说，我没有那么专业的知识水平去体会专业人士口中的问题，我想大多数人是和我一样的，看喜剧就是为了笑，就是为了让不开心抛到九霄云外去。 从剧情的角度来看，故事线索非常清晰明了。看喜剧本就是个放松的过程。如果喜剧还要让观众去揣摩去推测那还不如叫悬疑剧。不可否认当代电影受众大多数是青年人。当青年人位于这个时代的中流砥柱里，他们身上就有着来自各个方面的压力。比如说我，想去看喜剧最初的原因就是我被批评了，我觉得我没错，我很生气很不开心，我想暂时忘记这件事情，所以我选择了喜剧。当然确实也没有让我失望，至少在看电影期间我忘记了。 从情感表达角度来看，毋庸置疑它达到了它要的效果。或许成年人不能和小时候的鲍抱共情，但是我的弟弟他是个小学生，开始他也和大家一起开开心心地笑，到后来他被打动了，不停地流眼泪。看完电影我问他怎么哭了，他开始还不承认自己哭了，他觉得男孩子哭泣是个很丢人的事情，后来他说电影里的那个小朋友真的太可怜了。我想这部电影确实会让小朋友哭泣吧，爸爸妈妈的拥抱真的传递很多东西。 当我看完电影再去查看影评时，我是震惊的，仿佛我们看的不是同一部片子。喜剧的初心不就是让大家开心吗？它达到了啊！ 这是我头一回在公开平台上写影评，仅仅是因为我觉得《温暖的抱抱》这部电影真的没有传闻中的那么差劲。,492.0,53.0,234
3,3,34869362,温暖的抱抱,c6362d092958e13c9f7d4470d762963a,4c5c3955d669b3c1c2793ec106f3551b,,2021-01-02 22:48:02,电影里机关枪杀人你知道是假的 男女一个被窝睡觉你知道是假的 看哈利波特伏地魔你知道是假的 到常远这怎么都是真的呢？ ——以上为讲道理 ——以下内容含有大量脏话等引起不适内容请选择阅读* 看了好多影评，给我的感觉就是矫情又挑剔，还挑不对地方多少沾点低能 没看内容的观众来着看影评，不看题目估计tm认为这部电影是关于洁癖、精神病的纪录片呢？ 看一个喜剧片最直观的要求不是搞不搞笑吗？ 有些人说要求患者医生病人真实？ 真nmlgb真， 拍一个人自杀目击者尖叫就真实了？ 拍一个妹子搞低空跳伞死亡率四五十摔得血肉模糊就真实了？ 这是喜剧电影，所谓的真实是要为观众服务的！ 纪录片的真实是为观众服务的，观众买票看的就是这玩意，同样喜剧也是如此。 要是真按照你们的逻辑来拍，你要是能笑出来你那个病多少个沈腾也治不好。 对于常远我没有过高的期待，我之前先入为主的觉得这个人可能只能演好娘娘腔类似的角色，至于作为导演的问题我个人觉得节奏过快也有可能是剪辑的原因。 但是这部电影是及格的。 它青涩但是温暖，像一个小姑娘。 很抱歉我无法像你们一样刻薄😊 最后——,153.0,18.0,58
4,4,34869362,温暖的抱抱,89b6d2737a2d8e951bebf9446b8c6f3f,f20e9de658d6cb823a4f4ab365c56fb9,1.0,2021-01-17 21:42:55,老规矩，如果要写差评，先把票根摆在这里，证明我确实是看了的，不是无脑黑哦。 ——《温暖的抱抱》票根 大体来说，这部电影给我的感觉，和当初《李茶的姑妈》一样，看的时候，无法被吸引，一直在走神，甚至一度很困。（《李茶的姑妈》应该是第一部给我看睡着了的电影……）类似的还有《跳舞吧！大象》，都是开心麻花团队的某个演员主演的，然后拉上沈腾和马丽演配角，来做噱头，吸引更多的观众。 但到最后，即使观众走进了电影院也于事无补。因为影片本身质量有硬伤，无法挽救，所以豆瓣评分才会这么低。这片子拍的，根本就不值我30块钱的票价啊…… 1/  讽刺或反应了社会现实的电影，就一定是好电影吗？ 很明显，不然。 《跳舞吧！大象》讲述了一个胖女孩的舞蹈梦，通过整个圆梦的过程，让观众看到：即使胖，也能在跳舞这条路上成功，只要你愿意努力，只要你对梦想够执着，那么再多的困难也无法阻挡你成功。 这个题材本身就已经被拍烂了……因为太极端，太刻意。 我们生活中也有许多很漂亮、学舞蹈十几年，但依旧没有成功的女孩啊，导演为什么不选她们做主角呢？答案很简单——因为不容易制造戏剧冲突。 “胖女孩”显然比“漂亮女孩”更容易让观众产生同情，也更容易塑造电影中的搞笑桥段。导演和编剧自以为很聪明，但其实他们作弊了，他们选的故事本身，就是在作弊。 单从题材来看，“强迫症式洁癖”的男主人公，貌似还挺新颖的，反正以这种人设做电影主角，我是第一次见。可明明是这么好的题材，这部电影却拍了个啥？？？你告诉我你拍了个啥？？？ 搞笑不尽兴，上价值也高度不够，可以说是什么也没有达到极致，想要面面俱到，最后反而什么也没做好。 2/  音乐剧式表演——冗长乏味，让人想要离场 不是说不让你弄音乐剧的形式，你看《爱情公寓5》不就是穿插了大量的音乐剧吗？观众不照样是从一开始的不买账到最后的接受并习以为常，甚至能够理解这是一种有效的表现形式。 可是这部电影的所有音乐剧部分，给我的感觉就一个字——尬。 我甚至以为电影中音乐剧的存在，只是为了凑时长而已……就硬接，很尴尬和生硬。 我一直认为，电影中出现的的新奇的表现手法，都是为了辅助电影更好地表达它的内核。可这部电影中的所谓“音乐剧”的手法，并没有让我感到它对电影所要表达的内涵有任何帮助，甚至大量的音乐剧的穿插，令我跳戏、走神。 如果是因为我没有接触过这种形式，所以感到抵触，那情有可原。可是我明明不是第一次看到这种表现形式，所以这就不是我的问题了，而是电影本身有问题。 就好像是为了穿插音乐剧而穿插音乐剧，而并不是因为电影本身的内容需要而去借助音乐剧的手法去表达，这因果关系如果没有弄对，那自然的，效果也就大打折扣了。 3/  我不知道这部电影究竟要表达什么？ 其实很多东西，这部电影都没有解释清楚。 鲍抱为什么会变成这样的极端强迫症加洁癖？难道仅仅是因为父母吗？那他的父母又为什么会变成这样？（如果我没记错的话，电影中并没有解释这一点） 原创之王的比赛给我的感觉也只有荒谬……尤其是最后一刻，那个女主持人跳伞下去的时候，我并没有意料之中的感动，只觉得尴尬。 我能理解所有这样的“被拯救”、“被救赎”的题材的电影，无论过程多么曲折，最后的结局都一定是圆满的，无一例外。可是这样的结局，真的是我们观众想要的吗？ 我们看过那么多的电影，见过那么多的人和事，不是我们不愿意去相信美好，而是这样格式化的、假大空式的“圆满”结局，我们真的已经无法说服自己再去相信了…… 看到这样的结局，我们非但不会为之感动，反而只会感到虚假和无力。 -END- 我不知道是我太挑剔了还是怎么样，我就是单纯的感到愤怒，为市场上充斥着这样的电影而感到愤怒。 打着开心麻花的称号，请来了李沁这样有演技又有流量的演员来做女主，以沈腾出演来吸引观众……一系列操作，都是为了让电影更卖座罢了……我并没有看到制作方在电影本身的剧本和台词上的打磨，你们的诚意呢？ 什么时候我们的电影市场变成这样了？只顾票房，不顾口碑？又或者，这个市场从来都是这样——它不尊重观众，它在乎的，只是他们手里的钱。 我看到类似的电影越来越多地涌现，同质化的题材：一个悲情的主人公，遇到了生命里的贵人，他们互相救赎，最后一起成功。我不知道这样的电影究竟有什么意义？难道我们就只能把改变命运的希望寄托在那个所谓的“贵人”身上吗？当然不是的啊…… 只希望这样的电影能越来越少吧。 还有，不是谁都能当导演的，我真的奉劝所有演员，咱还是先安安稳稳地专注提升演技吧，真求求了，别跨界了行吗……再跨，就是在污染整个电影市场了，放过你自己，也放过我们观众吧，我们真的承受不住啊……,9.0,17.0,4
5,5,34869362,温暖的抱抱,e7c4a1441490155475f2fb3ef05ccd3e,87a4e7856c8c4e1fc63839468fa4c24a,2.0,2021-01-01 08:14:11,"优点：
1.有几首歌还算能听。  2.灵车和崩屁爆炸那两段有点好笑。

缺点：
1.我理解的高级喜剧是自带喜感的演员在最平凡的生活里因为偶尔异于常人的言行引人爆笑，这样的设计不留痕迹，所以你被代入情境后因为那种意外的刺激会更抑制不住笑意，但也因为要不留痕迹，这样的设计更考验编剧和演员功力，更需要时间琢磨。
但本片完全相反，常远实在缺少天然喜感，而他作为导演和主演又迫切希望影片处处有笑点，所以就设计了特别多不真实的细节让自己和演员们异于常人，希望以此让观众笑起来，但有没有认真打磨，仔细取舍。
比如撞车后像个超级英雄一般辗转腾挪，顺带梳梳头发（片子里已经记不清他总共梳了多少次头发，一次还有点搞笑，那么多次还特写是想干嘛）后干净落地，比如精神病院那三个病人，一个怕死得要命、一个随时可能变成李逵哇呀呀、一个每时每刻控制不住地摆不同造型，我实在看不出来这三种特质有什么搞笑的地方，而且一看就现实生活里不会有，让人感觉特别出戏，还有李沁第一次参加比赛和常远的边唱边说，瞬间变成歌舞片，问题是歌还不好听，结果片子里硬说这样的对唱在网上就爆火了，歌舞片一出本来就显得突兀，剧情这样硬往下走，实在劝退。 
2.开心麻花这个招牌其实主要还是沈腾和马丽的光芒撑起来的，其他人也许只适合给他们当配角衬托一下，《李茶的姑妈》刻意到让人不能看，本片也设计感重到让沈腾和马丽都不那么搞笑了，如果继续这么砸招牌，真是得不偿失。",7.0,,2
6,6,34869362,温暖的抱抱,2f6f9e4bf1c0e409b337d5071a605b56,972ec4208b2eddf547f5018588a5e48d,2.0,2021-02-10 01:20:40,作为烂片专业户的我专门跑去看了电影。    先说点优点吧，毕竟没多少。其实一开始的设定包括剧情节奏都还不错，不过设定这个东西反而和煽情部分有些冲突，这个后面再说。    然后就是电影里歌不知道为啥居然还挺好听的，这里稍微吐槽下，故事主线就是去参加原创比赛，但这部电影非原创的歌曲用的还不少，像《好运来》这种就不多说了，甚至可以算得上暗线的钢琴曲《洋娃娃和小熊跳舞》都不是原创，还有一些基础钢琴曲，而且我没听错的话街头演唱会那儿好像是《卡农》吧，不过用了很多种乐器演奏，不知道是不是PTSD了，后面几个地方鼓点有点像《查拉图斯特拉如是说》，甚至于男主坐在阳台前那一个多次出现的布景很像韩国恐怖电影《公寓》。给爷整麻了。 公寓 (2006)6.32006 / 韩国 / 恐怖 / 安兵基 / 高素荣 姜声振    接下来就开喷了，整个故事给我断层感的地方就在男主苦大仇深的背景揭露，之后的观影体验相当糟糕，导演尬煽情，而且不是一个地方，完全可以说后半段不是在煽情，就是在准备煽情。    对于一般的煽情模式来说，基本上是两种，其一是利用代入感，比如说是具有时代性的特点，这样对于特定的群众很有效果。其二就是熟悉感，通过一系列的铺垫，让你认识了电影中的主角，并且产生好感，当主角受苦或是走出困境的时候，自然而然会有感动。    对于优秀的感人的作品一般会有很长的铺垫，举个列子《忠犬八公的故事》，先是教授捡到了一条狗，然后力排众议养狗，又是长篇描写了教授与八公的日常生活和他们之前的友谊，最后高潮部分教授病发去世，再也回不来，八公则一直在守候。 忠犬八公的故事 (2009)9.42009 / 美国 英国 / 剧情 / 拉斯·霍尔斯道姆 / 理查·基尔 萨拉·罗默尔    好，来看看反面教材，男主爸妈，出场一共十来分钟，吧唧，人没了。看得我一脸雾水，真没夸张，他爸好好的被一辆不知道哪来的车一撞，人没了。铺垫约等于无，看了笑都笑不出来。再来说下代入感的问题，我不知道在一部基调本就是夸张的喜剧上哪来的代入感，就这还强行煽情，导演咋不扇我两嘴巴子，可能还能把我泪腺打爆。    然后是笑点问题，不要再玩snp的笑话了，低级不说，还突出编剧的垃圾功底。    现在喜剧似乎真的很固化，加点赶上时代潮流的元素，直播，弹幕，短视频之类的，再加点snp的低级笑话，最好来点外国人，打打擦边球，再来个喜头悲尾煽煽情，一部电影就拍好了。    看喜剧谁想看你们哭啊！基本所有喜剧都会有夸张的基调，一点代入感都没有，煽个锤子情。别一天都拿着什么喜剧的内核是悲剧忽悠人，这句话没错，像卓别林这些大师级大师级的人物，你见过煽情了吗？悲剧应该由喜剧的方式演出，让观众在大笑之余感觉到意犹未尽，而不是尬煽情。这种现象甚至小品也是，春晚收视率低迷不仅仅是流媒体的问题，内容的同质化，奇怪的审核机制都是导致这些问题的出现。    艺术有了标准就不再是艺术了，导演们在喜剧中寻求煽情是否搞错了什么。,6.0,3.0,1
7,7,34869362,温暖的抱抱,bf4200743ae535f21b1d8de4b6bec2c9,309bcafff7ed817bfe41bfdb4b2736b8,1.0,2021-01-09 02:32:45,翻译翻译，什么TM的叫惊喜?        惊喜就是在武汉零下七度夜晚骑电瓶车去看了一场映后仅回忆就想用拳头猛锤电线杆同时呕吐于此的夺命货色。        本就不抱期望，苦于没有粤语原声《拆弹专家2》而做的无措选择，结果万没想到老天爷竟然给埋了一个这么大的彩蛋。2021年仅过去的八天，192小时，11520分钟，就让我遇见这么一部烂的骨骼惊奇比乌干达密林里猩猩扇巴掌还能让人保持清醒的电影。悟了，真的悟了，如果换我西天取经，这定是八十一难中的殒命劫。 我向佛说杜绝烂片，佛说我他娘也想。        电影开场就搬出个丝尘不染的别样世界，佐以常远吃了烂咸鱼还要假装有洁癖的黑白声线，还有与遗像无二至的面瘫表情，让人物从开始就没有立住。一个极端的强迫症患者丝毫不让人同情也没有一刻想让人发笑。作为喜剧，冰冷开头就已奠定全片上限，却没想到后面剧情设计，让它的下限跌到马里亚纳海沟。 把生活过成遗像你是怎么做到的?       第一颗惊雷炸裂于男女主误打误撞的即兴演出，果然是做小品出身，一顿闹腾的乱炖举止都像去某卫视参加新年联欢会。但电影不是小品，观众也不在台下，当所有的即兴都是被设计出来而台词表演调度都不过关的时候，留下的只有满屏窘态。求求编剧有些常人逻辑，这么拙劣的词作还赢得满堂彩你当围观群众都是眉毛以下截肢丧失话语权的特级病患吗? 李沁真的漂亮，似乎摄影师的相机也被勾了过去，三五秒出现一次半身镜头，你当抓拍荷叶上的蜻蜓呢? 群演真很卖力，一切为了盒饭。          要是嫌第一颗雷劈得不够响，那灵车奏响《好日子》绝对如沙皇炸弹里灌满鲍抱下午两点钟的屁般一骑绝尘。这种视觉反差陈朽且烂俗，导演不仅没抓住观众心理，反让整段都在观众内心失位，实属火上浇油。        中段感情戏大都在女主家升温，鲍抱第一次去女主家用了一组贴片人物般的长镜头调度，除了炫技别无它用。抹掉性暗示的低劣桥段，以排练为藉口的火花倒中规中矩，坏人亲口道出自己劣迹斑斑，闪回记忆用死亡埋下炸弹。喜剧的糟粕导演一个没落，几位谐星的客串打破第四堵墙，用不如啤酒瓶子多的出场镜头提醒观众这是一部喜剧，你们都特么给爷笑。 如不是众多演员卖脸熟，相信没人愿意买票遭罪       三段式结构里结尾是全片的最高潮，这部以鲍抱脸接洗脚水始，宋温暖回眸终。毕竟算半个音乐剧，最后的唱作总算没太掉链子，只是有个疑问:一把吉他一台琴，如何能奏出七八种乐器合音。京中有善口技者，这个视觉漏洞让最没有诟病的高潮戏也与观众脱节。这真是每个电影从业者应该警醒的顽疾，想要避免沦为笑话，就要用严谨的态度去对待每一个细节。 小王力宏什么时候学的口技?        窃以为《温暖的抱抱》是对《新喜剧之王》内核的最好注解。倘若实在没天赋，就不要打着励志的戏码去吃这碗饭。有些成功不仅是努力就能获得，一番奋发最后只能如梦了事。梦醒时分遗留的只有恍惚，诚如星爷拍了烂片都没人捧臭脚，更何况胸无点墨的新晋导演呢?还是留些自知之明吧。 如梦幻，如泡影，如露亦如电        其实一部片子想做到有口皆碑很难，烂倒无所谓，坦诚相待即可。但本就一罐鲱鱼罐头，还非要在外包上精美礼盒。电影宣发之初沈腾与马丽占的比重有主演之错觉，观众欢天喜地买了电影票却发现是俩替补，这种用谐星光环作为营销手段的行为昧地瞒天，令人不齿。当红谐星消费人气，导演消费声誉，这波钱是赚到了，下次呢?劣币不可能永远驱逐良币，浸淫在资本的铜臭里，迟早有作茧自缚的一天。,22.0,5.0,15
8,8,34869362,温暖的抱抱,9873e31b8eac57ec192146fea0a87a6e,7c417e6560a96e804a5528d5b9c1949e,2.0,2020-12-31 18:45:25,长评同于短评。依旧是二分。 想多bb点什么就是想真实的作为一个观众立场浅谈什么才是合格的喜剧。 首先我对导演常远演员常远没有任何的偏见，反而同于沈腾马丽艾伦乔杉魏翔王宁等等等等一样，我是抱有很大好感的。因为我一直认为作为演员并不应该全是只为了在镜头前或舞台上展示肤浅的美丽。而以上的这些人笼统的讲作为演员来说分内的演技全员合格，这点观众应是毋庸置疑。包括王智和田雨。 麻花的戏看过不少，夏洛特也好牢友记也罢。不得不佩服专业编剧对节奏的把控以及包袱抖落的时机。这些演员于好的导演与好的戏中无一不是光彩夺目分外挠人。只是作为第一次导演电影的常远导演戏中的角色，一个个却像是极力的想去抓挠观众笑肌的鸡毛… 整部电影也确实一地鸡毛。 喜剧与恐怖悬疑一样，一眼便能猜到下一秒的剧情确实会让观众尴尬疲惫。又何况多处打着低俗的擦边球去营造一种恶劣的趣味…再加上不知是导演的个人喜爱还是剧情的故意设置，那接近全片四分之一的郭氏MV…人郭氏MV至少很美… 一部优秀的喜剧无疑是每处节奏把控严谨。每处笑果绝不是故意为之。每一帧镜头语言尽量不是浪费。就像某些导演的剧中一坨即便是打了马赛克的米田共依旧是让人反复琢磨包笑不厌的道具，而某位导演的戏中大便，只是真的大便。 不知道说什么了。 哦对了，请问鱼缸里的那只尖叫鸡去哪里了。莫非是我没看的仔细？？请看到的网友解答… 希望不再有已具备自身实力的演员继续消费自己。希望各位可以对得起观众的电影票钱。,30.0,11.0,20
9,9,34869362,温暖的抱抱,aafe4c717e81ca7a566867210b3d169d,d98293b3ec6c0050f759e9492b2ba24d,4.0,2021-03-19 21:49:46,"好不容易休息一下  看电影是冲着喜剧以及音乐去的 
  整体一般，有一定笑点，泪点还好，“爱情是互相拯救”但我还是要说，我被触动了。
  喜剧外壳下的治愈主题，抛开烦恼，去拥抱温暖。
一个洁癖+强迫症患者，生活每一件事都有时间安排，甚至是放屁哈哈哈，不禁让我羡慕，自己的计划几乎都没有按时完成过，但这样的生活似乎失去了灵性。  鲍抱最讨厌的就是意外，可就是温暖这个意外，改变了他的生活，宋温暖活泼，随性真实，是杰出的音乐人，说实话，我想成为温暖内样的人，无论是性格还是音乐方面，我正在努力，也会继续努力。   
这一路上，他们彼此治愈，可能这就是所谓“爱情是互相拯救”……电影剧情真的还挺平常的，没有那么出彩，而且我认为逻辑有问题，比如，鲍抱这人毛病这么多，为啥还不开除……  
其实，以小见大，人这辈子活着是为了什么，其实就是快乐，和爱的人一起，向着奋斗目标，不顾一切去追逐。也说这是喜剧外壳下的治愈，在如今社会上，每一个人或多或少都会有一些心理问题，这是不要想着会有宋温暖这样的人，如果有真的的幸运，没有就真的必须靠自己，问题的关键在于自己，更可以叫“心理暗示” 积极的心理暗示带来积极的生活态度，会让自己的世界充满快乐！",1.0,,0
