,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,27131198,赛马女孩,c17ff2282b5df4284ec521e1b864d948,070af601154f3c52a4a914b4046b0c0b,4.0,2019-10-10 15:54:37,"这篇影评可能有剧透 

                        骑得像娘们一样——这部片子的英文片名。 和汉语的博大精深一样，大家一看就知道这是句骂人的话。但是也立刻能get到本片的中心思想，是讲一个女性骑师的故事，以及她恐怕比别人骑得都好。 片子里很多赛马的相关内容，我给大家科普一下。 Michelle Payne是2015墨尔本杯赛的夺冠...

                         ( 展开 )",47.0,1.0,11
1,1,27131198,赛马女孩,70de48fc7ed67faa97206a674dc77972,f1a996bf5f924d1ddfe19e7f6da931ec,4.0,2020-07-07 08:59:32,"英文名《Ride Like A Girl》，意思是：“骑得像个娘们似的”, 这是句骂人的话。本片由真人真事改编, 女主角是2015墨尔本杯赛的夺冠骑师,是杯赛155年历史上唯一夺冠的女骑师。从1861年有Melbourne Cup后，一直到2015年才有第一位女性骑手获得冠军，在她之前别说夺冠了，参赛的女...

                         ( 展开 )",5.0,,1
2,2,27131198,赛马女孩,eb5cba2d91b6c6047f17951aa2a3ea54,19c550188c76a3b5599621418933f245,3.0,2021-03-27 03:54:42,"体育运动多种多样，比如今年7月将举行的东京奥运会设了33个大项，其中绝大多数项目是我们终其一生都可能不会接触的。但无可否认每项运动都有其魅力，虽没亲身参与，但不妨碍欣赏。 今天看了部运动传记电影《赛马女孩》。 赛马是又一个我没玩过甚至没亲眼观赛过的运动项目。 知...

                         ( 展开 )",,,1
3,3,27131198,赛马女孩,15c345c490647378c48c21c1f5b84425,d31ef811301c6b4111380dda959d6125,,2021-02-23 12:37:32,"赛马起源于英国，是一项贵族运动，赛马业能发展到现在的地步，和英国皇室以及欧洲贵族的推广是分不开的。现代的英国女王以及迪拜酋长，都是大马主，拥有很多匹赛马。既然是一项贵族运动，就必须要有很多约定俗成的礼仪。以澳大利亚的墨尔本杯赛马节为例，澳洲作为英联邦国家，...

                         ( 展开 )",,,0
4,4,27131198,赛马女孩,48487ad0b0dd435a335e6542f5faa605,60745a175c5cdad9a6d5f5f614f27985,3.0,2021-02-08 19:32:02,"女主角的原型，是澳大利亚女骑师米歇尔·佩恩，她因夺得“赛马界圣杯”墨尔本杯闻名于世影片的剧情就围绕她的夺冠之路展开。 其实像这样的夺冠故事，在传记片里已经屡见不鲜，比如之前我给大家聊过的《飞鹰艾迪》讲述的是跳台滑雪运动员迈克尔·爱德华兹的励志故事。 再比如《...

                         ( 展开 )",,,0
5,5,27131198,赛马女孩,260b453d0e4fd3e0063913a033653950,4a71b202778bf304ae5d1fd06d9fba10,4.0,2020-10-21 13:03:16,"这篇影评可能有剧透 

                        终于成为了自己想成为的人，在这成长过程中一如既往的 成功的一次次的自强，自我争取中开始的 没有人雇自己，那就骗马上赛道 就这样，终于有了机会真正的走入赛道比赛 在这些比赛中一次次的证明了自己 假如没有看到父亲为她做的事，我们都会相信，这一切都是自己争取来的 总有...

                         ( 展开 )",,,0
6,6,27131198,赛马女孩,9c2e564f41251e13634d2a5e6a5bc948,eb0439f04e4c3cdbc2080ff5caeed8b2,3.0,2020-02-10 09:21:11,"这篇影评可能有剧透 

                        深秋小屋 | 影视 文：Enjolras 修改/整理：深秋小屋Dongdong 配图：豆瓣视频截图 punters.com *注：文中“☞”手指符号可点击到另一篇深秋小屋推文，了解更多相关内容。 俗称“美国春晚”的超级碗秀在2月3日上演。 当晚，☞[Shakira]和☞[Jennifer Lopez]两位天后激情四...

                         ( 展开 )",11.0,2.0,2
7,7,27131198,赛马女孩,76626df1ea02ef08a8b1893f25f8b4f7,7c595c4ea2befbd6f9d0658506207438,5.0,2019-10-06 20:14:10,"这篇影评可能有剧透 

                        Ride like a girl 太好看了！电影结束以后全场久久没有人起身离场，所有人一边拭泪一边向女主Michelle示以最崇高的敬意。讲述的是在墨尔本赛马的故事，取景地都在墨尔本，非常有代入感，感觉这件事就发生在自己身边。自从有赛马活动115年以来，Michelle成为了第一位夺得Melbour...

                         ( 展开 )",4.0,2.0,1
8,8,27131198,赛马女孩,981420c630d7cbe746af535341b6ac2c,28fe9b600d2ab0df7c1f9bbe8b0d0955,4.0,2019-09-04 20:51:48,"这篇影评可能有剧透 

                        公司作为赞助之一邀请我们看了preview，画面很好故事很棒，根据真实故事改编，赛马在国内不是那么流行但是在澳洲算是和足球一样popular的运动但是危险系数很高，特别是对于女性来说，更是难上加难。因为基本都是男骑手，女骑手所受到的歧视和性骚扰以及各种不便都使得难度增加...

                         ( 展开 )",4.0,1.0,2
9,9,27131198,赛马女孩,8350ee5f5e0dca98d3a963549ad2f40e,27083ffd480366aa6fe615d17fe14359,3.0,2021-06-03 12:30:33,"讲述米歇尔·佩恩被警告她永远不可能成为世界级的赛马骑手，只因为她不够强硬，她也不是一个男人。而米歇尔势必要让人们知道自己的能力。根据真人真事改编，电影本身还算不错，不过前不久澳大利亚广播公司发布《赛马业的黑暗一面》深度报道，纪录片中，赛马惨遭虐待屠杀。而这...

                         ( 展开 )",,,0
10,10,27131198,赛马女孩,dca14dc17691688b0a3f8ac6c950a7ea,8d33970527da534a9c7fbe9d1bee93e5,4.0,2020-10-01 22:36:27,"这篇影评可能有剧透 

                        讲述米歇尔·佩恩(泰莉莎·帕尔墨饰)被警告她永远不可能成为世界级的赛马骑手，只因为她不够强硬，她也不是一个男人。而米歇尔势必要让人们知道自己的能力[1] 。讲述米歇尔·佩恩(泰莉莎·帕尔墨饰)被警告她永远不可能成为世界级的赛马骑手，只因为她不够强硬，她也不是一个男...

                         ( 展开 )",,,0
11,11,27131198,赛马女孩,6f48f6bf68398cd751708971a8549c7a,eaebeda290ade71fb61fc745d2710f21,3.0,2020-08-31 08:32:20,"这篇影评可能有剧透 

                        今天P4女掌门被扒得一干二净，又一个靠男人上位的学术圈败类，网友骂得难听至极，什么“牛逼的女人不是X她的人牛逼，就是X她妈的人牛逼”云云。听着很难受，明明有这么多靠自己努力有所成就的女性，明明我也认识好多独立优秀的女性，但偏偏几个反例，马上又加深了人们的偏见。...

                         ( 展开 )",,,0
12,12,27131198,赛马女孩,fa773abfeddcaf19aee15cfccffc052c,9598e65126e37a3b47b93de7715fc777,3.0,2020-06-06 23:01:33,"女主角经历了自己姐姐因为骑马摔下而去世，自己也经历了重伤之后仍然没有放弃对赛马的热情和执着，最后取得了melbourne cup的冠军。拍摄的很棒，音效画面都真实，个人觉得比较接近纪录片但是不枯燥。  女主角经历了自己姐姐因为骑马摔下而去世，自己也经历了重伤之后仍然没有放...

                         ( 展开 )",,,0
13,13,27131198,赛马女孩,a81ba359900ed7fbb8c250298ff9b9d2,2d89aa75f9e3e49274fb81fba1d90cc8,,2020-04-11 19:49:37,"女主角的爸爸不支持女主角，因为担心再失去一个女儿。女主角就去找其他人借马，但是那个人却对她不怀好意。女主角和父亲的关系闹僵了，所以女主角不好跟父亲借。随便找来的马太不给力差一点在比赛里把女主角给摔死。女主角的家人都劝女主角放弃，因为女主角的爸爸生病了感觉活...

                         ( 展开 )",,,0
14,14,27131198,赛马女孩,1c99c26be34ab2793efe6165caed9cb6,910e9e3effaac9b1c85f56a8dc6c8699,5.0,2020-03-11 14:03:06,"这篇影评可能有剧透 

                        女主角还在吃奶的年纪她的妈妈就出车祸离世了。她兄妹10个，她应该是最小的那个。她的家人都是喜欢赛马运动的，但是哥哥姐姐们都没有取得好的名次。有一个姐姐也因为这项运动丧命了。还有一个姐姐选择放弃去结婚了。曾经一个哥哥去参加大赛，结果倒数第一。女主角已经成了全村...

                         ( 展开 )",,,0
15,15,27131198,赛马女孩,3b3dc238802a8fb53f91e5074328b09d,fc4ef05bffc7d389b32754718fbdb163,,2020-01-28 18:26:09,"讲述米歇尔·佩恩(泰莉莎·帕尔墨饰)被警告她永远不可能成为世界级的赛马骑手，只因为她不够强硬，她也不是一个男人。而米歇尔势必要让人们知道自己的能力。讲述米歇尔·佩恩(泰莉莎·帕尔墨饰)被警告她永远不可能成为世界级的赛马骑手，只因为她不够强硬，她也不是一个男人。...

                         ( 展开 )",,1.0,0
