,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,25727544,寻找罗麦,d8d62ea97a034c30f20cd413c627e941,8ca1395e31fa96b47eb07cd0dbe8abb5,2.0,2018-04-14 10:25:31,"这篇影评可能有剧透 

                        今年3月，沉寂5年的《寻找罗麦》正式宣布定档，这也是号称“内地第一部过审可以公映的”同性片。 因此，也有人称之为“破冰之作”。 然而，成片却相当令人失望。 豆瓣评分低开低走，从4.9一直跌到了4.6，还将继续下跌。 电影片长只有83分钟，据说是被删减了9分钟，也有消息称删...

                         ( 展开 )",212.0,32.0,35
1,1,25727544,寻找罗麦,e62e6c801c5ff041f3e29e75728bdab7,f3ce000f721d48abb71ea3a9ecb559e4,3.0,2018-04-13 14:20:05,"这篇影评可能有剧透 

                        号称首部过审的院线同志电影《寻找罗麦》，在两三年的磨难后终于上映了。抢先看了早场，完全理解为何会有人大呼上当，甚至认为又是一次对同志的消费。总局不出所料，基本没有留下任何关乎同志的预示镜头。然而除却这些不可控因素，电影本身并非一无是处，某种意义上而言我还颇...

                         ( 展开 )",55.0,16.0,9
2,2,25727544,寻找罗麦,467ff4385e40b782c9f93ae40a1196dd,467ff4385e40b782c9f93ae40a1196dd,5.0,2018-04-30 22:12:27,"这篇影评可能有剧透 

                        看完已经快过去20天了，但是我还记得那句“即使不忘，即使怀念，即使爱是永恒的，我也曾背叛过你”。 （我认为看完电影仍然理解为兄弟情的人，可能是阅读理解都做得不太好，所以写了下面的文字。杠精除外，不接受一切杠精的批评，杠精最优秀。） 我本来不想写什么，我觉得我写...

                         ( 展开 )",18.0,4.0,5
3,3,25727544,寻找罗麦,d1fdb73df1476c11330c5391f86d8886,0ecc7812f8906526b60dc0dbb558de03,1.0,2018-04-13 17:52:40,"今天和我的一个同学逃课来看这部期待已久的电影，全程尴尬得要死，风景宣传做得比人物表演还到位，故事一点铺垫都没有，大概是我阅读水平和欣赏能力都有所欠缺，交叉蒙太奇的拍摄手法让我感觉剪辑师全程掉线。（ps：应该是广电删减了很多，应该不能怪导演和演员，一切罪魁祸首...

                         ( 展开 )",20.0,10.0,3
4,4,25727544,寻找罗麦,c20650ae5b406b3cbab6a0040b0bd11a,e8a472c2294b0fed778fdf8d56d5c3ef,4.0,2018-04-14 22:40:38,"影片的整体风格写实与诗意并行。罗麦和捷在各自有女友的情况下暗生情愫，性取向的转变需要自我理解和自我接受的过程，有的人很快就能接受，而有的人需要很长时间。罗麦和捷应该都属于后者，互相试探着靠近的接触期本该让人有恋爱的甜蜜感，但遭遇车祸成为肇事者的身份可能比同...

                         ( 展开 )",9.0,2.0,1
5,5,25727544,寻找罗麦,6bbc8621b00608a1996b5e412bea7f10,f699f3c73b45dcf147afb5d50cb6f5db,5.0,2018-04-13 14:50:04,"这篇影评可能有剧透 

                        把自己看哭了还挺意外的，而且是不知不觉的流泪。 如果有人说看不出同性的感情真的太有失偏颇了,你不能指望现在在院线看到耽美剧和gv吧......罗麦对赵捷的求不得表现的已经很明显，赵捷被罗麦女友问的那一句“你真的不知道他为什么去中国”还有罗麦法国好友的“他经常在信中提...

                         ( 展开 )",36.0,11.0,2
6,6,25727544,寻找罗麦,36cae04a5c18ba9f4a40d617f8e2883f,11047944f0c8c8aa4ec9fa55b9355468,,2018-04-14 17:52:45,"这篇影评可能有剧透 

                        首先，我觉得导演和张杨应该挺有话聊。 其次，某人在片里的演技始终处在一个微妙的我能感受到他想表达什么情绪但又总觉得差点什么的程度，就不多评价了。 最后，还是说电影本身吧。这种几乎没有故事线的片子，就好好承认自己是个意识流的公路文艺片吧……反正剧情会被嘲。两条...

                         ( 展开 )",5.0,2.0,2
7,7,25727544,寻找罗麦,17d8149106e088ee667030f24b6e7d28,6dfdd35eaaf85f1b37835260bd3d06e5,5.0,2018-04-14 00:07:37,"妻取了《寻找罗麦》的票后对我说： “有点小激动呢！你都多久没请我看电影了……” 是呀，多久了？！就两个人去看一场电影，已经多久没有这样了！ 来电影院的路上，心中泛起二十多年前的记忆，两个人一起看电影的记忆。看的什么电影记不得了，记得的是学校的露天电影院，看电影...

                         ( 展开 )",11.0,4.0,2
8,8,25727544,寻找罗麦,2396396a6a9b1493e3c91099d5aa96a4,628586138574f1b886dcdaf2d8d87bdd,4.0,2015-09-01 11:15:37,"这篇影评可能有剧透 

                        Li Yi (Han Geng) put the ashes of Mc Cartney (JÉRÉMIE ELKAÏM) in his travel bag, he is leaving for France on tonight’s plane. He has two tasks: to look for Mc Cartney’s ex-girlfriend in Paris and visit Mc Cartney’s mother in Provence and bury hi...

                         ( 展开 )",16.0,13.0,6
9,9,25727544,寻找罗麦,352e2c42d5322ba96f9359c3f3465b0d,ec52f6b6c78509dcc4c71c55e218663b,2.0,2020-12-01 09:06:32,"你们听说过一部叫谎言西西里的电影么？肯定没听过是吧！同样的导演说自己非常有诚意花了很久时间筹备；同样的要到欧洲取景；同样的要找外国演员在电影里说外语交流；同样的两个主演丝毫不来电；同样的故事都没编好就急着要拍成电影；同样的只要看到主演的对手戏就尴尬得要死；...

                         ( 展开 )",,,0
10,10,25727544,寻找罗麦,644af7a48e63bc5e328d3b1994812c66,cc4f89052682880e9f3d1d8511f707ab,2.0,2020-04-22 22:37:14,"『寻找罗麦』 作为一部院线影片最后剪的只剩83分钟片长， 可想而知原本同志题材的卖点几乎连擦边球都不剩， 剧情七零八碎全靠脑补， 如果不去看下影片宣传中原本想要拍的题材， 可能极度煎熬的看完后， 也不会明白到底拍的什么。 【4分】 『寻找罗麦』作为一部院线影片最后剪的...

                         ( 展开 )",1.0,,0
11,11,25727544,寻找罗麦,3b10eb1b9cacc1f301bf62815170752c,ae015deab5ee0840d86c84901840ce43,5.0,2019-09-14 13:17:05,"这篇影评可能有剧透 

                        好多人说看不懂这部电影，留下了许多荒唐的评论。 说故事的叙述凌乱，因为故事的线索是赵捷的心理变化。 留学法国的赵捷在法国有两个很好的朋友，回国之后其中的一个朋友罗麦，也来了中国 ，并在中国生活了六年。两个人经常聚会见面。赵捷是一个编舞师，和女朋友在同一个舞团。...

                         ( 展开 )",,,0
12,12,25727544,寻找罗麦,9cd6ea491d1641dcfedf6b54eee00178,04ba320d3741dfe890df33fa769862ee,4.0,2019-05-08 12:38:16,"寻找罗麦，在豆瓣也打出了极低的分数，其实在我看来这无关乎是不是同志的元素，也无关乎韩庚的演技能不能撑起这部片子，没有跌宕起伏的剧情，没有能引起公众窥探欲的情节，它只是在很安静叙述一个事件或者一个画面一个情节，很多人在唾骂四处晕染去西藏洗涤心灵的梗，在物质极...

                         ( 展开 )",,,0
13,13,25727544,寻找罗麦,6da62a5a49ccd67ce4dfbb5b19ae313e,675d5c2a0a2704aecb0cad98298524ef,3.0,2019-04-15 09:03:35,"这篇影评可能有剧透 

                        故事结尾的两人带着藏戏的戏服面具，好似忘我的跳舞，最后面具掉了，两人看着对方，眼中的感情是否一样。 我寻你，寻到哪里都不能在遇见，在回忆里，你留下的，只是那看似上心的很的眼神，还有送我那条围巾时，那属于我俩的开心。 与马修一起回忆着你，站在那匹与你合影的白马...

                         ( 展开 )",,,0
