,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26935281,郊区的鸟,419b1fc900300fbacd6b956112e8f776,ab6e918b167537ac94f88a75f768861d,,2021-03-02 14:08:49,"理由一：片子快两个小时，太长了。 影片113分钟。足够看小半台春晚，半部《美国往事》，三分之二部《教父》，一部《三峡好人》，一场足球赛（连中场休息），三集《赘婿》，100多个短视频。甚至比《逐梦演艺圈》还长15分钟。 理由二：到底是什么类型？儿童片？青春片？悬疑片？ ...

                         ( 展开 )",214.0,46.0,151
1,1,26935281,郊区的鸟,d6fc5d7b24b0177ed5e30e27022b372f,662ad7beb16af68e6e6a90123640b736,5.0,2018-07-25 22:03:17,"这篇影评可能有剧透 

                        1. 长久以来，影像都难以表现城市。城市好像总是在阻挠我们找到影像真实，无论如何，在影片中一旦城市空间介入进来，并最终作为一种“印象”而存在之时，总是无可避免地与虚假紧紧联系在一起。这也是理所当然的——这些浮华之城、幻梦之城，城市是对自然世界的逃避与遗忘，对于...

                         ( 展开 )",98.0,13.0,7
2,2,26935281,郊区的鸟,ee3b8e16093af37973a893f57ff958f3,f2e49ff528b91ea389b71d078d90b574,5.0,2021-02-26 19:35:29,"这篇影评可能有剧透 

                        本文首发于「中国美术学院美术馆」公众号：[用一场童年时空推演，为杭州城市记忆“描边”] *本篇部分问题基于先前多篇采访提出，可参看豆瓣长评区其他访谈。 *除了一些被反复问到的基础问题，本篇采访还有较多细节问题，可先马观影之后再看。 *第一次做这种创作者访谈，许多问...

                         ( 展开 )",56.0,4.0,12
3,3,26935281,郊区的鸟,2833bd04a3bc158ff9cdcb19ae71bd98,0c48ebe6ecc7118047f9da73b179a5af,4.0,2018-08-08 11:49:14,"FIRST影记： 对于今年的这届FIRST影展，很多人都评论说大部分参赛的剧情片基本都是三星的品质，远没有出现那种带有黑马气势的影片。其实，我倒觉得，指望一个影展每年都能出现爆款这绝对不现实，是否能一直维持平均水准不掉线这才是它难能可贵的地方。 在西宁的一周时间里，我...

                         ( 展开 )",50.0,6.0,7
4,4,26935281,郊区的鸟,9ccc1aafb6f10d42ff6ed90b61a0258d,f61f60dd8c4e536ceb0a30ea6404a0f5,4.0,2018-07-28 10:56:01,"这篇影评可能有剧透 

                        电影叙述的故事其实很简单，一个时空以夏昊（李淳饰）为中心的一队工程师正在调查一起地面沉降的事件，另一个时空是一群小学生正在寻找他们失去的同伴。两个时空里的夏昊仿佛一个青年一个少年，像成年夏昊做了一个长梦，也像他们在某个河边的重逢。 《路边野餐》暴热的那个七月...

                         ( 展开 )",33.0,3.0,5
5,5,26935281,郊区的鸟,c2aee557ef9de88b1b5010c7232bc380,8866a5ce1a931766c41db66ee4eea342,4.0,2021-01-10 04:03:51,"几日前看完电影之后，一颗刺便在心底扎到现在。首先我们当然承认它是一部杰作，在诗意的高台重造一座属乎地景，而不属于功能和场所的城市。但问题恰恰出现在这里，即便瞥见那一只隧道中的黑鸟，仇晟也不能掩饰电影的悲观主义。这种悲观是如此的肯定，以至于他从一开始就对世界...

                         ( 展开 )",34.0,5.0,8
6,6,26935281,郊区的鸟,f03fc79f17253feb702102e328e097f3,f442141fcf4c2a06babd66227ef7dc3f,,2018-07-31 23:57:35,"这篇影评可能有剧透 

                        第12届FIRST青年电影展 导筒系列专访 郊区某处突发地面沉降，一队工程师前往调查原因。队员夏昊每天背着沉重的测量设备，在已经撤空的郊区里游荡。一日，他进入一间无人的小学，读到一本日记，里面记载了少年隐秘的成长和一个团队的破裂。随着调查的进行，夏昊发现，日记语言了...

                         ( 展开 )",21.0,7.0,3
7,7,26935281,郊区的鸟,6cad86d982e5ee33ee4330fcdccdf868,e9a8c407e8d2085ef667f291edae2e16,,2021-03-03 11:56:09,"采访、撰文/法兰西胶片 《郊区的鸟》第一天上映是在元宵节，那天，这部电影的全国排片不到0.1%，最终票房4.7万（数据来源：猫眼）。 我的朋友戏谑地说，《郊区的鸟》，排片都在郊区。 按道理，基本上任何争取都无济于事。 但在当天晚上，还差42分钟就到24点的时候，导演仇晟在...

                         ( 展开 )",33.0,1.0,4
8,8,26935281,郊区的鸟,d6fc5d7b24b0177ed5e30e27022b372f,662ad7beb16af68e6e6a90123640b736,5.0,2020-01-13 22:02:58,"（18年的影评补发） 长久以来，城市空间在大陆本土影像中至今还尚未找到一个恰适的位置。纵观近年的影片，有志于承袭某种印象派或是新现实主义传统、并且观照当下环境的电影创作者，总是更多地将镜头聚焦在乡村之上，而一旦城市空间作为一种总体的“印象”介入影片时，却总是呈...

                         ( 展开 )",14.0,4.0,0
9,9,26935281,郊区的鸟,08cd802bb6fe01f68d21f32631df30f6,a57b8491d1d8fc1014dd54bcf83b130a,2.0,2021-02-28 14:21:07,"这篇影评可能有剧透 

                        演员请得起黄璐，音乐请得起小河，那我推断这个生拉硬拽的固定镜头拍摄手法并非资金短缺的妥协之举，而是导演为了追求复古风格刻意为之。然而，反常规的镜头语言并没有搭配反常规的叙事和主题，让这种并不熟练的镜头设计成为败笔。 本片在叙述回忆时用了“日记体”的结构，还有...

                         ( 展开 )",29.0,2.0,6
