,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30200427,福冈,28e0a0b8837876420dcf3cef65c541dd,548902edb13642cbdec414736cf56c8b,4,2020-09-22 16:51:16,"这篇影评可能有剧透 

                        观看的过程无疑是充满疑惑的，我们在影片中看到许多奇妙的剪辑点，一段对话并没有结束，一件事情并没有被交代清楚，便切到下一个镜头，新的场景中去。呈现一种脱节，与无序感。一个“跳–切”镜头，我们从两个男人的对话场景来到一个户外空间/一个有素丹加入的情景。一些情绪与...

                         ( 展开 )",44.0,6.0,2
1,1,30200427,福冈,af9060680e9043d57a611e2107c2d40b,d0059866ae3bd53325a7a2234fb2bf30,5,2019-10-05 10:07:44,"电影《福冈》讲述了三个各有缺失和对过往的遗憾的人相聚、一起旅行，希望化解心结、弥补缺憾的故事。 [福冈] 海骁和宰文大学时本是极要好的师兄弟，均是戏剧社的骨干成员，但二人却因为喜欢上同一个女生而分道扬镳，再也未曾相见。随着时间的流逝，在首尔经营着一家二手书店的...

                         ( 展开 )",14.0,4.0,2
2,2,30200427,福冈,1b073133357acf4fc92cabc01c48e311,4aa39cc25107c8dc48f58c5d1b678ee5,4,2019-04-19 10:49:19,"这篇影评可能有剧透 

                        1. BJIFF第四次观影，其中外国电影均出现过字幕延迟的情况。 《福冈》除了字幕延迟之外还附赠了字幕大幅提前和字幕闪烁。 像被鬼附身了一样。 2. 两位男主角喜欢上了同一个女生，她的名字应该是순희/Soon-yi/顺姬。 中文字幕为“宋宜”，应该是以英文名""Soon-yi""音译而...

                         ( 展开 )",9.0,4.0,9
3,3,30200427,福冈,1f1f1afc80eff101881001479b81796d,a0790a3f660b79d58bcefd3497076f5c,4,2020-09-22 12:52:40,"还是那些熟悉的张律元素：梦；三（多）人行（《春梦》亦如此）；在陌生又熟悉的城镇里梦游一般地闲逛（《庆州》《春梦》《咏鹅》都是如此），似乎漫无目的，又似乎在执着地寻找什么（《庆州》里是找一幅春画，一而再再而三地回去找；《福冈》里是找铁塔，四个懒散至极的人居然...

                         ( 展开 )",19.0,2.0,0
4,4,30200427,福冈,52d9209b9e46a779133fea9ad3da9f73,95acf6cf46ed1a7d1e1291b4737bc4ae,5,2021-01-16 15:17:58,"2019年北京国际电影节《福冈》在中国电影资料馆放映，当时导演本人也在观众席中。因为中文字幕翻译得惨不忍睹，导演看完电影后坐不住了，自己顺了一遍字幕，交给电影资料馆的人重新制作。所以，2021年1月10日，我们有幸在资料馆看到了一版导演本人亲自校正中文字幕的《福冈》。...

                         ( 展开 )",6.0,,10
5,5,30200427,福冈,496db5b7aea3939ea526d8701685adbe,e69a5cc3a0db7715324c0959e420f9d5,4,2020-10-07 15:38:51,"文/合鸟 公众号：抛开书本 继《重庆》、《里里》、《图们江》、《庆州》之后，《福冈》是张律以地名命名的第五部长片。一如既往的，张律以寻找过去的回忆为线索，促使主角们前往记忆之地，而那片土地却因浸满了缠绕的情绪与回忆，而变得迷幻暧昧。 ￼ 往作中的目的地都是中朝...

                         ( 展开 )",5.0,1.0,0
6,6,30200427,福冈,66b98d8b5b4ef0079f3a68334fba7c9d,f9f4cb9b2f0777af6c58063c7d181358,3,2019-04-18 20:50:56,"这篇影评可能有剧透 

                        北影节第二部电影《福冈》，一个年轻女孩和两个大叔的日常，有趣，神神叨叨脑回路清奇，笑点奇特，观众居然也都笑了。很多手持晃动镜头和长镜头，摄影师的存在也像是一个角色。 开场书店的调度很好，女主可以和任何一个国家的人自由沟通这个设定有点强行，但是正是这种设定带来...

                         ( 展开 )",3.0,,0
7,7,30200427,福冈,5c9c4b82bfa462ff3f6d153526db26d1,7cc7de91ce782cd38510a2c63ca87df3,4,2021-01-15 13:11:28,"首先要强调，这个“幽灵视角”不是用来分析惊悚恐怖类型片的，而是影评人从几位亚洲作者导演作品中提炼出来的视听语言风格。尽管这只是一个自创的概念，却很有效地让观众对阿彼察邦、河濑直美、黑泽清等人的作品有更感性的理解。现在又多了一位亚洲导演加入这个行列，那就是张...

                         ( 展开 )",2.0,,1
8,8,30200427,福冈,df40de85e452a6986ae43eb0e7a9e970,8062d7a71483914f81a2ed1dc5b6de78,4,2020-10-03 23:51:47,"语言的狂欢 上帝为了惩罚人类的自傲，下令让巴别塔倒下，语言差异导致的无法沟通让人类无法随心所欲交换信息。而《福冈》中，中、日、韩三语的糅合和交杂是如此自然得不该被质疑，以至于张律带我们穿梭回了古早的完美理想世界。交流的无障碍让语言之间的隔膜变得清晰而透明，形...

                         ( 展开 )",4.0,1.0,0
9,9,30200427,福冈,ee6dec615e84dbc125f9897e99a3d57a,01866e494eca76ee318d68802ea0f7c1,4,2019-07-06 14:44:42,"这篇影评可能有剧透 

                        放映當天，可能因為複習進度，早上起就莫名心氣不順，中午出門便有種不太妙的預感，ibon前的同學連著買了三張台鐵票，好不容易取了票、搭上公車，又偏偏一路擁堵，下了內江街便開始往西門町狂奔，還是沒趕上電影開場...對後排的觀眾可以說是十分抱歉，導演首爾書店內搖搖晃晃的...

                         ( 展开 )",2.0,,3
10,10,30200427,福冈,d8993428f998518a841caf9c2a35f61f,92109e2189cd79072b7df39317d94fa1,5,2022-01-07 14:44:51,"这篇影评可能有剧透 

                        太好了。通常对于我觉得特别好或者特别喜爱的作品，我是觉得没有任何语言可以去描述、去具象化的，但我还是留下些此刻的感受记录一下（嘿嘿）。因为停电点上蜡烛，有了排演戏剧的氛围，（此时的即兴感又很像《偶然与想象》中我最喜欢的第三个故事），于是开始了表演，中途又突...

                         ( 展开 )",,,0
11,11,30200427,福冈,681685c2b018fb7c896ea7d60660d63f,681685c2b018fb7c896ea7d60660d63f,4,2021-01-31 12:53:28,"一开始，电影从一个窥视者的镜头，从书堆组成的一个方形小孔，展开了故事。而男主躺在椅子上闭着眼睛，似乎暗示这是一个梦。 一个穿着校服，却又自称年满21岁的女孩要跟他去福冈。 故事可能有些莫名其妙，看到后面才知道福冈与其说是女孩想去，不如说是大叔有情节于此。那是年...

                         ( 展开 )",1.0,,1
12,12,30200427,福冈,3b60752674fb9151feae80df98f22361,9081cc1b9150174ee47a8bd8d2c30e50,5,2021-01-21 01:02:58,"张律带着新作《福冈》展映，并举办了映后交流会。整个问答的过程是灾难级别的。之所以这么说，是因为张律导演、徐枫老师始终就一系列偏离中心的问题给予解释回答，气氛紧张，过程尴尬。观众，没有看懂又不能指明其问题所在，于是感到被冒犯，促使了这情绪式提问的产生。看来，...

                         ( 展开 )",,,0
13,13,30200427,福冈,ac6574762d9dd1a18446c089d222c396,85f77167250f97d224fb63f25e543919,4,2021-01-10 23:48:55,"21.01.10 资料馆 三星半 放在致敬侯麦的单元其实有点不太符合，唯一能够和侯麦扯上一点关系的也就只有同样都是在讨论男女关系吧。 很喜欢三个人共同吹蜡烛的那一场戏，灯光亮起，怎么吹都吹不灭的蜡烛让那场在黑暗里的戏有了留白的空间，然后特写火光熄灭，留下余味无穷。 听完...

                         ( 展开 )",2.0,,0
14,14,30200427,福冈,0b2560bd6c512fa03ad7e5709116c0f9,f0adc8838f4bdedde4ec2cfad0515589,4,2020-12-29 18:28:19,"这篇影评可能有剧透 

                        当然这里面有现实的影子，但我还是更愿意把它看成一个爱情故事。 前者出现在片子的很多点上，尤其是演员用不同语言顺畅交流的几场戏，无论把它们看成是对历史的理解，还是对未来的愿景，我们都能感觉到导演在某些特定领域的那种表达欲望。这几乎是张律个人的一条主线，他的电影...

                         ( 展开 )",,,0
15,15,30200427,福冈,aa3ec4f99e523f825e80d891ca8b2712,e61a07ebe1ddb08cfa4920ba517816fc,5,2020-11-29 14:08:47,"第一部张律导演的电影，看着海报上三人笑着在樱树下漫游散步笑着的模样，很吸引我。 吸引我的不仅是海报色调与笑容，还有的就是故事简介。两个中年男人，跟着神秘女生，在另外一个国家陌生的城市里，找着消失二十多年的前女友。 开场手持摄影基本上奠定了全片基调，这不像是平...

                         ( 展开 )",,,0
16,16,30200427,福冈,6cab518b72b84b0c7e9858452f1df71d,6058f470dd1e00fbb18ff628aa227942,5,2020-10-03 22:03:14,"这篇影评可能有剧透 

                        继《重庆》、《里里》、《图们江》、《庆州》之后，《福冈》是张律以地名命名的第五部长片。一如既往的，张律以寻找过去的回忆为线索，促使主角们前往记忆之地，而那片土地却因浸满了缠绕的情绪与回忆，而变得迷幻暧昧。往作中的目的地都是中朝韩，因为这三个国家与作者张律本...

                         ( 展开 )",1.0,1.0,3
17,17,30200427,福冈,ff32e5257450258d4ebfefe325d045cb,2f7569e00c4d97aef5f2c2b3a4d2213f,3,2019-06-13 23:28:37,"[影院好讀版] 一部拍的很迷幻的電影，合理懷疑導演有嗑藥，第一個鏡頭就是一個中年大叔在書店睡覺，被書本簇擁，然後我們從狹縫中看見一個穿著學生服的少女在他旁邊，要他帶她去福岡，這個時候我們不知道這兩個人關係是什麼，電影就這樣突如其來的開始了，在書店裡，一個懶漢大...

                         ( 展开 )",1.0,1.0,1
18,18,30200427,福冈,8350ee5f5e0dca98d3a963549ad2f40e,27083ffd480366aa6fe615d17fe14359,3,2021-09-29 21:26:01,"海骁和宰文大学时本是极要好的师兄弟，均是戏剧社的骨干成员，但二人却因为喜欢上同一个女生而分道扬镳，再也未曾相见。随着时间的流逝，在首尔经营着一家二手书店的宰文已近中年，大学时候的事情不仅没有淡去，反而越来越频繁造访他的记忆。而神秘少女素丹的闯入，更是改变了...

                         ( 展开 )",,,0
19,19,30200427,福冈,8ffbfcc890e47d6d9c95ab18b81e588c,e47d73dfc5b67533b450488c1fc4c6e7,1,2021-09-10 00:11:15,"这他妈如果叫电影，那他妈阿giao吃屎老八随便掏出手机拍两个视频，还是还原了2020年代后现代的疯狂呢？那阿Giao和老八不是甩这导演几十条街。最好不要剪辑，或者随便剪两下，他妈越拖沓越好，有手就行，直接按下相机录制键，然后再按结束键就行了。他妈一部2小时的电影搞定了。...

                         ( 展开 )",,,0
20,20,30200427,福冈,d00d3c8a7ad8077fbdfa42d84bb8214a,f4fa55d6f217d1ef95c96858760e0c94,4,2020-11-22 12:54:21,"《福冈》开片透过书架空隙呈现大叔与少女的镜头，很有《银娇》的窥视感。两位中年大叔与少女的异国之旅，没有一丁点洪尚秀的油腻剧情。刚看张律的作品，大多数人会觉得很像洪尚秀，看过《福冈》之后会发现，张律与洪尚秀是完全不同的作者风格。 《春梦》里三位男主角为共同喜欢...

                         ( 展开 )",,,0
21,21,30200427,福冈,8702680fc6a24198c0e4fab1b3c83669,c147dac6af79f7dd8c5b0ea626636998,4,2020-10-28 08:35:31,"这篇影评可能有剧透 

                        看了""福冈""，是看过的头一部张律电影。自然没有更多的经验，目前看到的没法归入浩瀚的作者宇宙中，从而补充一些看法以及确认一些看法... 这部电影在边界上似乎做足了文章，有关空间的，时间的，语言上的，摄影机的...传统电影也会在这些问题上做文章，不同的是，它们会用中间物...

                         ( 展开 )",,,0
22,22,30200427,福冈,56d5c2178555e96ddf3f862976d9a4e4,6c9e99b08e36bc83b4038054f253d826,4,2019-11-12 23:06:29,"北影节第二部电影《福冈》，一个年轻女孩和两个大叔的日常，有趣，神神叨叨脑回路清奇，笑点奇特，观众居然也都笑了。很多手持晃动镜头和长镜头，摄影师的存在也像是一个角色。 开场书店的调度很好，女主可以和任何一个国家的人自由沟通这个设定有点强行，但是正是这种设定带来...

                         ( 展开 )",,,0
