,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30306436,大蛇,7c1e2a22b1958813282d743114ace264,71a8f6d0c390571485722fcc85253a42,1,2018-12-06 23:13:02,"优酷评分竞然8.7，工服了You!jfjjfjfjfjfjfjcjjcjcjfjdjrucjndjxjdjdncjdncncujffhudenuxhdjxjcjcj字不够jdhfjnfjfifhbrhcbjdicjdjjcjfncjnfcjjcncjcjfuhduhdubdjbrnduheixdndxjdiddhjchbdhdnndjxjdjdjddudhxudnxjdj

                         ( 展开 )",8.0,2.0,8
1,1,30306436,大蛇,bf75f1b9670991cd327d6c709fdbcfd9,810efea6764049dc64085ceda52f88bc,2,2019-06-12 15:53:23,"如今网大的市场，大密度集中在修仙降魔类、盗墓探险类，让观众产生了视觉倦怠感。而这部《大蛇》以国内少有渉略的巨兽灾难片，以原始森林寻宝遇上巨蟒的稍显老套的剧情，凭借着短平快的节奏，也吸引了部分目光。 一部影片是否卖座、是否引起观众的关注，开头的6分钟起到至关重...

                         ( 展开 )",4.0,,0
2,2,30306436,大蛇,4381e3a0bbc940f100c999e848cb851d,7449ae63b4f52985639ad1b89300048e,2,2021-06-24 10:50:01,"这篇影评可能有剧透 

                        《大蛇》是由林珍钊导演执导的网络大电影，由优酷在2018年9月4日推出，上线3周便破3000万分账票房，打破全网记录，相当于一部获得票房过亿的院线影片。 国内冒险惊悚视觉题材的探索 《大蛇》正片以男主林奇为救女儿，加入了以富豪齐藤为首的探险小队，深入原始森林寻找泣血海棠...

                         ( 展开 )",1.0,,0
3,3,30306436,大蛇,42bc08ef55478b88d503e3d42471a9a3,fae3c07bdad7c3df45e4e8f36ea27503,2,2020-02-18 20:51:42,"怎么说呢，像上当了一样！剧情老土，没有创新！男女主的感情来的太突兀！难道男主是看上了女主的美貌吗？这么草率的吗？而且女主又是那种拖后腿类型的。整部剧看下来，心慌慌，槽点不断！要是不手贱弄碎那些蛇蛋，人大蛇还懒得睬你们。人物中唯一比较喜欢的就是那个黑妹，相对...

                         ( 展开 )",,,0
4,4,30306436,大蛇,d4e02956dad58a64b8d4a0e97b4acaea,1ff194f491a030eef770946789229561,4,2019-12-11 19:30:44,"看的时候对女二印象深刻。当时的观感联想起《大白鲨》，出片名后很长时间内没有出现大蛇但是氛围营造得不错。看不到的时候最可怕，哈哈。 这部电影出现之前，基本都是僵尸奇幻武打，中年人很难代入了。现在看它成功突破5000万分账是应得的嘉许。之前在网大领域没见过成功的灾难...

                         ( 展开 )",2.0,2.0,2
5,5,30306436,大蛇,54fe82d0be038fc53cdd9a268ff985a4,602f13b27a4d6208ea8778c80100c389,2,2019-03-28 23:01:10,"一部与云南虫谷有相似之处的“大片”，蛇和烂，你凑数吗，你忽悠着玩吗，看了前面就能想到后面的剧情啊，这剧情活在上世纪吗？那个树藤假的不要不要的，女主没什么存在感，就是拉赖谈恋爱的，女二倒是还不错，总之，对蛇，我失望了 抱着期待，和这么高的评分去的，结果，把我看...

                         ( 展开 )",,,0
6,6,30306436,大蛇,a9d5d4da01f24e3d04d85306f40e7750,c063442f538a5caeaa9421559c3cba26,2,2019-01-24 10:23:23,"这篇影评可能有剧透 

                        看了伤心，作为长久不看电影的我，这部电影已经激起了我深深地吐槽之魂。刚开始，这条大蛇出现吃掉日本兵的时候我觉得它妙曼的身姿好美，后来，我以为它的眼睛长在头顶，看得我一脸怪异又不忍心说它丑，就先放下了。前期给我的感觉就是：总裁和管家肯定会死；胖子和女医生肯定...

                         ( 展开 )",,,2
7,7,30306436,大蛇,937cd39c6ec4a9e57ad8d227070bf927,b2a16a07a9436eac5f15e92844aed7e8,1,2019-01-14 23:54:35,"这片要是放在九零年代就是部好片，但这是2018年出品啊，真是有趣的紧啊哈哈 这画面质感，五毛特效我都觉得多，牛掰的想象力，还有那个反生物的“爆炸果实”吃了可以变成具有恶魔果实能力的海贼王吗？哈哈哈 这样的片是为何能上映，在我们这么脚踏实地的社会主义里怎么还会有这...

                         ( 展开 )",2.0,,1
8,8,30306436,大蛇,a7e96cd2a124b3d69683113b024e3ca9,719ef271d38a388fd7b2bc967f4bd885,1,2019-01-03 02:57:01,"很客观的说 真的很烂 整剧的台词 我觉得除了啊 啊 啊 就是嗖 嗖 嗖 砰 砰 砰 剧情像是流水账 演员除了女二 其他人就是在走过场 我最不明白的就是 果子为什么就在地上还要趴着捡 总之看完 觉得我浪费了70多分钟 再也不信抖音了  大家想看看有多烂的 可以自己去看看 保证不会失望

                         ( 展开 )",,,3
9,9,30306436,大蛇,10c81aee079d504fcb8ce9bc53c5998a,d4a40f1d96e13aec6b85f30c3c1ce37f,2,2018-12-28 19:17:30,"十分钟的剧情 剧情简直就是太简单了，看十分钟就能知道，全程会一路飙血，主角不能死、美女不能死，大兵一个个慢慢死，最后邪恶的老板搞事情，然后剩下男主女主快乐的过日子。 一锅大杂烩 貌似有探险，有惊悚，有搞笑，有颜值，集十种经典与一身的电影，绝对杠杠的，狂蟒之灾、...

                         ( 展开 )",,,0
10,10,30306436,大蛇,4b350068e77f332f0b8134a58142d51c,c63e594c304c6dc4f2134f0a2cee9e0d,1,2018-12-05 01:59:33,"剧情套路，更可耻的是抄袭《狂蟒之灾2》，人家是寻找血兰（长生不老药），这个是“生命之果”（抗癌药），还有很多情节抄袭。日本老板这个人设是抄了《寻龙诀》刘晓庆。 网大而言，故事倒是讲完了，只是篇幅所限，人物关系和情感没有铺垫起来，人性的刻画也基本没有，仅仅是在...

                         ( 展开 )",,,0
11,11,30306436,大蛇,bae20466d5684a4b2f87d3a1a1d5e117,a554f89dd61cabd2ff833d3468e2008a,2,2018-10-13 15:40:10,"从朋友圈去，回朋友圈来。 把3周票房3000万的网大《大蛇》看了，虽然没看得太认真，还是来说说感受：除了各类专业技巧还需要提升外，在网大里真心不错了。一个小故事，结构没什么大的问题，节奏也挺快，能把故事讲清楚，镜头、画面、配乐也都还可以，再加上有巨蟒怪兽吸引眼球...

                         ( 展开 )",1.0,1.0,0
12,12,30306436,大蛇,2b278483644b4051ecdbdfd6f7ccc9f5,f645f380763c465cc9f01bc2f706aad5,3,2018-10-09 21:05:41,"这篇影评可能有剧透 

                        国内少有的动物灾难片，所以给的鼓励分！ 剧情比较狗血，女一号完全就是面瘫摆设，演技最好的就是女二号拿刀迷彩服的那个！ 融合了《食人鱼》《狂蟒之灾》《金刚骷髅岛》三部片子的桥段，好吧，直接说抄袭合适点。 还是要宽容些，毕竟这类片子国内太少，虽然拍的比较一般。 希...

                         ( 展开 )",4.0,1.0,5
13,13,30306436,大蛇,d37f768b39fe35807cb7704ba561d826,16a854a463dbc44e5c27c7b39b975d23,2,2018-10-08 10:37:32,"其实刚看到泣血海棠的时候，我还认为这不是架空于现实题材的，‘雇佣兵在中国带这移动军火库多少有些违和感和水土不服。爆裂果实一出来，就知道肯定是干掉大蛇的最终武器。 人物刻画不够丰满，额，女主没有丝毫存在感，还不顾那个耍刀的女二，在男主救下女二时我就知道，女二要...

                         ( 展开 )",,1.0,0
14,14,30306436,大蛇,9f9bcd1ff795081dc4d8407c7f67b33a,1fd7ff3c8fbdffcda57975d341a793fe,2,2018-10-04 01:18:44,"机缘巧合某视频平台电影热榜竟然第一 超过了复联三 没天理想想漫威那强大而宏观的构思蓝图 话说过来网络电影终究甩不开烂片的头衔 最搞笑的是某探险题材电影火后 所有探险类电影都给有个胖子  官方你们一定认为电影有个胖子就算搞笑担当吗 （题外话：喜剧元素不是说两句俏...

                         ( 展开 )",,,0
15,15,30306436,大蛇,8f61d806bffe08e1ea51a2adc963b9a2,5b1b5d54a9c613ecd3e18503948a9162,1,2018-09-28 00:10:18,"这篇影评可能有剧透 

                        2018年，动作冒险电影《 大蛇》 其实应该加上奇幻的电影分类标签的说。。。 貌似和《狂蟒之灾2》很像呢。中间更是可以看到什么《食人鱼3D》，《金刚》的那种感觉，其实题材什么的我还是挺喜欢的，比如原始森林啊，史前巨兽啊。。但是拍的真的是粗糙。。 好好拍大蛇不好吗？什么...

                         ( 展开 )",,,0
16,16,30306436,大蛇,fb66cb371256e00f3b664761003f1fa7,0899beb51becf06c5deb32502d1bdcd6,1,2018-09-13 01:36:37,"这篇影评可能有剧透 

                        特效大致还可以 但是剧情太雷了，无存在感的女主，无用的士兵，明明为了酬金却为了傻帽老板卖命的队长，只会救女主的男主，强烈的主角光环，不合理性太多 暂且不说！重点是毁三观，士兵以及其他队友喜欢看戏，看到蛇就惊呆，队友遇到危险就不带任何感情的让队友死！团队精神都...

                         ( 展开 )",2.0,,0
17,17,30306436,大蛇,ed32a8ab4a11cda028a3167a9628c9a3,6d93e276c185d0fa3bc025fa944c79bf,4,2018-09-12 12:46:52,"这篇影评可能有剧透 

                        这部电影毛病很多，有国外的成熟电影可以参考，并且有成熟的类型片套路，但搞成这样子，新手导演的稚嫩可见一斑，但我给予推荐，毕竟在国产电影中，不希望总是流量明星在强奸大家的眼睛。 1，里面的flag乱立，比如队友亮照片，干完这一票以后干什么，基本上都没有好结果。没事...

                         ( 展开 )",5.0,2.0,2
18,18,30306436,大蛇,ab06a6599fa74ee7bd455bda930a968e,277bc18df741d3f9c90ff09e0c178caf,3,2018-09-10 11:10:01,"这篇影评可能有剧透 

                        看完电影后，印象最深刻的是齐藤先生这个角色，关于这个角色，概括起来就是执着，对泣血海棠的执着也就是对生命的执着，得了癌症无药可医的情况下，依然没有放弃，寻找治疗的方式。 影片前期的时候，初见生物老师林奇时，一段【我知道林先生表面是小学的生物老师，实际上您却是...

                         ( 展开 )",,2.0,0
19,19,30306436,大蛇,406d184a3733531b7308ba7b2006a37d,3e1d612692d6999a13b76ccc1ac9e29b,3,2018-09-08 00:40:56,"1 演技大多比较生硬，特别是女主。感觉是来刷刷存在感的，感情的表现太牵强了。 2 大蛇的特效在网络电影中算很好了。 3 背景音乐加分，音效不错。 4 剧情照搬《狂蟒之灾2之血兰花》，起因过程几乎都一样。 5 爆炸果的威力貌似太夸张了吧？ 6 飞鱼咬人的那段比较扯。 7 所谓的“...

                         ( 展开 )",8.0,,2
20,20,30306436,大蛇,23fdade32ff36ad5c339f50d9082081b,0906eaba8d23f7cb973fade76e5e7aa1,3,2018-09-09 09:05:10,"说实话，本人最喜欢看灾难和怪兽片，阅片无数，当看见本片的介绍和剧组后我第一时间的感觉和大多数人一样，认为本片是烂片无疑。但是每每遇到国产类似的电影我都选择去看完；就是我觉得这种电影不论在宣传或者在研制人员上，不是那种和那些圈钱的电影一样，因为这种电影大多数...

                         ( 展开 )",3.0,4.0,11
21,21,30306436,大蛇,2ab5f1885e8e26dce2478f5201d817ed,674ab7a98138aec3c0c9010ec6eec6e7,3,2018-09-07 19:42:24,"那些喷特效不如零几年狂蟒的，狂蟒1.2的特效放现在也是顶级的，这部电影特效吊打狂蟒后面几部的蛇特效好么，它只是网络大电影啊，至于剧情，确实各种山寨，各种不合理，但是至少勉强把故事讲完整了，希望以后那些国产电视剧的特效起码比得过这部网大(当然吐槽下里面的食人花特...

                         ( 展开 )",1.0,1.0,0
22,22,30306436,大蛇,ef3e1a1984023edec8bf05712a426d68,da4af01181cdeb1342975e5d11843179,5,2018-09-08 11:48:45,"这篇影评可能有剧透 

                        国产电影能拍摄出这样的作品，算是很不错的了，有欧美片的风格，全剧一气贯穿，没有什么拖泥带水.3D也做得很到位.希望中国多出一些这样的电影，而不是欧美，印度的专场.剧中的女主角长得很像江疏影，有江疏影的影子在里面.不错，虽然电影也有些不足的地方，但是我不去说了，总...

                         ( 展开 )",4.0,14.0,5
23,23,30306436,大蛇,912b3a2a7a4f4638955f03941cdbf277,264631ac20cf6b19701a0126b0be954e,4,2020-04-22 02:20:56,"剧情一般，有不少漏洞。那个什么炸裂果名字太尴尬了。此外，最后那里经不起推敲：为什么大蛇不先吃眼前的男女主，而是去吃那个老板？如果说是为了保护泣血海棠，那为什么海棠掉在地上了，也不去关注并吃掉。 虽然说剧情很一般，不丰满，但特效还行，演员演技也在线，比小鲜（狗...

                         ( 展开 )",,1.0,0
24,24,30306436,大蛇,45e86d03d885a42637b80210ce11374b,8bc228fa5aa5236763ba5a0b1f7a2f60,4,2018-09-30 15:08:42,"这篇影评可能有剧透 

                        一个可怜兮兮的企业主，号称小富豪，生活还没享受够，就得了绝症。为了得到能治病的生命之果——泣血海棠，小富豪花大价钱组织了一个寻宝别动队，雄赳赳气昂昂地进入了原始森林。途中遇险无数，最后碰到巨型蟒蛇，葬身蛇腹。寻宝队死伤惨重，只有几个人逃了出来~~ 是不是觉得故...

                         ( 展开 )",1.0,1.0,0
25,25,30306436,大蛇,351d3d2cf352ccdab704846f7705b443,fe6bd9072fadb2135e14e7ac6324cd1c,2,2018-09-22 19:59:51,"我的脑袋里一直在思考一个问题，就是如果一群科学家把一条史前泰坦带到一个未知星球，激发了抱脸虫。然后虫蛇合一产生了比铁血异形更可怕的狂蟒异形这是多么刺激的灾难片。 很明显本片参照了不少的欧美灾难片，我想说的是勇气可嘉。特效再做的好一些，片子再加长半小时，效果就...

                         ( 展开 )",,,0
26,26,30306436,大蛇,791c759ae55d39409b6985dc51883897,16b69d6b4aebdca058ff218c8f8a864c,2,2018-09-14 11:24:48,"首发于[君君电影院]微信公众号TVwanda，转载请注明出处 国产恐怖片，永远不会让人失望。 在一个个无聊的夜晚，当我轻点鼠标进入国产恐怖片的世界，就注定会在不经意间笑出猪叫。 （某国产恐怖片热评） 这些恐怖片导演的喜剧功力简直高深莫测，令人感动。 而随着“宿舍”和“笔...

                         ( 展开 )",2.0,,0
