,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,27066184,被抹去的男孩,3990083a30114f9f83d3147dd4e2ef6f,89e85f833aaef15d17d9e34285c8a1f5,4.0,2019-01-21 15:28:14,"这篇影评可能有剧透 

                        首发于最温暖的同志公众号，ID：鲜肉兄 “我们以室友为幌子，同居了一年。事实是，在那一整年里，我犯下了鸡奸之罪。之后我家人揭开了真相，帮我恢复了理智。” 这是《被抹去的男孩》，一位同性恋男孩在台上忏悔。 豆瓣7.4，IMDb7.0，烂番茄80%新鲜度。 这部电影上映日期从9月...

                         ( 展开 )",600.0,3.0,59
1,1,27066184,被抹去的男孩,713725060ce17c10475d041de15b931a,b80bae0b526fbade9f9185b1eb7e6270,3.0,2018-10-26 11:39:05,"都《爱你，西蒙》了，我们还需要《被抹去的男孩》吗？ 改编自同名小说的《被抹去的男孩》取材于Garrard Conley的个人真实经历。他生长于美国阿肯色州的信教中产家庭 ，19岁时向父母出柜后被安排去了一个同志矫正机构。但正是这段黑暗经历让他接受自我并找到自己声音，通过分享...

                         ( 展开 )",71.0,,11
2,2,27066184,被抹去的男孩,a291308d512e3d7978be9ad8ac3adda6,e1ac63fc937abcaf1078b98fef20ec2c,5.0,2018-11-17 11:24:13,"当一个电影让我看得在影院泣不成声，要等片尾字幕放完才算勉强平复情绪，我知道我需要为它写些什么。 确实非常像Lady Bird，这部电影激起的情绪是非常personal的，它甚至无关乎本片客观上的质量，只是轻而易举地淹没了我。 今天发生了一些事，最近发生了一些事，其实都与我无关...

                         ( 展开 )",45.0,,3
3,3,27066184,被抹去的男孩,0ef11c407ee7670e3cd17127422211fd,7edb9d4f933fd4ad8469e4a4a8c01474,4.0,2018-09-14 11:22:36,"记得之前在豆瓣上转发过友邻的一篇文章，文章通过2018年的几部同志电影来展现同志群体在不同年龄和不同阶层里的心境、状态、和价值观等诸多方面的不同。自己有幸看到了文章中大部分的电影，这其中，既有天马行空、天真无邪的《[我们，动物]》，也有甜腻满溢、美若幻梦的《[爱你...

                         ( 展开 )",52.0,6.0,14
4,4,27066184,被抹去的男孩,25d6e732342c3bc804b9a166c33e02ca,eec6db8759214dad47991b7931e8a473,4.0,2019-01-19 08:56:21,"这篇影评可能有剧透 

                        对于本片的主旨“拒绝妥协、拒绝演戏，勇敢地活出自己”我表示充分尊重，男主开始为了迎合父母也试图改变自己，去某组织接受“洗脑”，但是受“压迫”越深，反抗就越强烈，而男主的父亲是一名牧师，男主出柜的压力要超乎他人。但是在重压之下，男主冲出了束缚，选择坦然，并且...

                         ( 展开 )",4.0,,8
5,5,27066184,被抹去的男孩,79377ce665430dc93b05f80dd5790856,53d823129c668e84ea2e102ec741de13,5.0,2019-01-28 16:38:20,"1，我又不是狗，我的取向和别人无关 2019年开篇，LGBT最最最期待的片子《被抹去的男孩》传入国内。 这部根据真实回忆录改编的电影，由于极强的卡司配置，在国外首映前就备受关注。 电影里的故事发生在美国阿州一个封建保守的小城。19岁少年杰瑞德（卢卡斯·赫奇斯饰）因为自己...

                         ( 展开 )",3.0,,0
6,6,27066184,被抹去的男孩,270eac9dbe853a6ce875221ed2275473,f74d8d1eef87b85bef1ee8133240a6fc,5.0,2018-11-09 12:00:10,"最近几部由原著改编成的LGBTQ的电影里（包括CMBYN和LS），竟然是这一部的观影过程让我有看书时的感觉，关键还能把书里那凌乱的故事呈现在大荧幕前，衔接又是那么的自然，真是太难的了！ 电影里很多人物的名字都与书里不同，估计是怕给原著党有所期待而影响观影过程吧。受限于时...

                         ( 展开 )",4.0,,0
7,7,27066184,被抹去的男孩,a48c005925db85f1843b64db1ea1b795,771707d20ea84458de0755b30b79d5c6,5.0,2019-08-07 13:05:51,"从《天佑鲍比》，到《避风港湾》，再到《被抹去的男孩》，三部电影让我对宗教文化对同性恋的影响，性取向矫正治疗对同性恋的影响有了更多的，更为深刻的认识。 三部电影里的家庭都信仰宗教，因此对同性恋最初的看法都是嫌弃与厌恶，认为这是一种罪过。所以三部电影中的孩子最初...

                         ( 展开 )",3.0,,0
8,8,27066184,被抹去的男孩,a1231fc19949d474f46e10c0479155c9,4a0e63218e083ff3d2b7de8ba84a6ab3,5.0,2019-03-19 02:31:51,"这篇影评可能有剧透 

                        我都看木了，“矫正”中心那个所谓的“老师”Victor简直就是美版的“杨永信”——地狱空荡荡，恶魔在人间。把一个个好好的人折磨得人不人鬼不鬼的，不过是欺世盗名沽名钓誉之辈，荒唐可恶至极！Cameron真的好可怜😭😭😭 哀悼🙏🙏🙏 整部影片看得触目惊心，还好导演...

                         ( 展开 )",1.0,,0
9,9,27066184,被抹去的男孩,59d19850da91592e734816d0c15a02c3,e6a0459ccd5a4b6ee3be61aaae00a143,1.0,2019-03-01 09:54:11,"电影被拍成如此的“清淡”， 到了让人费解的程度，让我们这样普通的影迷都要大喊一句：隐忍克制可不是这样的。看电影的时候，让人坐立难安的事情是，没有情节推动的情况下，看到人物的失声痛哭。让一个人最难堪的一面暴露在大家的面前，却没有一个情感上的支撑，就象突然看到一...

                         ( 展开 )",1.0,1.0,1
10,10,27066184,被抹去的男孩,c9e01c1b7748a4725cef037e1ac05f62,77f131dfc236187ab403e4f3ea2d8b4b,5.0,2019-02-27 13:05:19,"这篇影评可能有剧透 

                        我觉得很好看，就是很好看的那种。喜欢程度要多于Call me by your name. 也许是因为里面的主演都是我喜欢的。 故事根据真实故事改变，男主角Jared在终于弄清自己的性向之后，不得不向父母坦白。罗素克劳饰演男主角的父亲，一位牧师，一位恨不得手里时刻拿着Bible的牧师，父亲决...

                         ( 展开 )",2.0,,0
11,11,27066184,被抹去的男孩,bc906496a47d2aeba2c2031f80a08759,c45d66ad1e08f6538a0b12892bc82808,5.0,2019-02-18 02:12:29,"这篇影评可能有剧透 

                        看了挺多同志片了，可这部片子还是让我哭了好几次。看了大家的评论，很多人说剧情过于平淡了。确实是这样，没有错综复杂的恋情，没有惊世骇俗的纠缠，也没有香艳的场面，只是一个男孩的成长，一个家庭改变的故事。但确戳中了我的内心，也许是我本人自己的缘故，更能体会其中的...

                         ( 展开 )",5.0,,2
