,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,25941405,金翅雀,2f91b597be985985a9d7fd5e5e7d1f86,5f3b9eb4730e482172bb0aa48ec11d07,3.0,2019-10-22 12:25:40,"这篇影评可能有剧透 

                        1、對於金翅雀（The Goldfinch，2019）這樣劇情線岔出而撩亂耳目的電影，最好先擱置關於這幅畫的象徵與作用，回歸主題：自我追尋。我會這樣去看：這是一則主人公亟欲擺脫原生家庭所給予的身分限制，投入另一種身分與生活，導致自我迷失的故事。男主角在父親遠離及母親過世之後...

                         ( 展开 )",13.0,,2
1,1,25941405,金翅雀,ce28f42dc4d90799d7d48e1f29f25f46,529d03f49e0bf1485c29da5f359e8dc1,4.0,2019-09-17 04:06:14,"这篇影评可能有剧透 

                        没有看过原著小说，所以就没有对影片抱有很高的期望。大概也因此觉得影片拍得很不错吧。 所以这篇影评也不是什么值得认真看的东西，毕竟连原著都没读过。 个人认为这是一部讲述一个人如何从过去的枷锁中挣脱出来寻找幸福的故事。《金翅雀》这幅画作就是主人公少年时代生活枷锁...

                         ( 展开 )",28.0,1.0,9
2,2,25941405,金翅雀,def4ff6b7dfdf2d2dca128d48155ac67,f67a27f74635f39af285191d04bcb31a,4.0,2020-01-19 00:54:30,"上周终于看了电影《金翅雀》。看完觉得，电影没有评分表现的糟糕。书本已经在搬家中丢失。情节和引用只能凭借记忆。 先说说妮可·基德曼饰演Mrs. Barbour。妮可在预告片里出现时，我以为她是Theo的母亲，当知道是Mrs. Barbour的时候，心中觉得有点不适，却说不出来原由。也许，...

                         ( 展开 )",14.0,,0
3,3,25941405,金翅雀,1163c5c1c044bbc61b63b099164e3e03,c0168a5959577abf6d8f2eefae28db21,2.0,2019-12-20 01:54:27,"这篇影评可能有剧透 

                        唐娜·塔特的《金翅雀》获得普利策小说奖是有争议的。主人公的遭遇和内心世界感悟都带有文艺青年漂浮在半空中的幻想和嗑药式的迷幻，杂糅着狄更斯大卫科波菲尔式的剧情模仿，又包含着犯罪、侦探、悬疑等商业小说的刺激元素，还打了一下同性话题的擦边球。可以说这是一部元素过...

                         ( 展开 )",15.0,1.0,5
4,4,25941405,金翅雀,1ee8c0fb10681b2242e75c7bb96c80cf,ddf50a1bef166eee3f0225ffbcc5d600,4.0,2019-12-22 04:45:38,"这篇影评可能有剧透 

                        唐娜-塔特的原著小说获得普利策奖，此片的编剧之一又曾经操刀过《绝命毒师》，所以期待较高。 评分低是因为失望吧。 不过我倒是蛮享受电影前2/3部分的悠长缓慢，我看到了一个孩子因为失去母亲，生活渐渐偏离轨道。 我看到了孤独。以及对母亲的思念。 最后半个小时电影突然变身...

                         ( 展开 )",2.0,,0
5,5,25941405,金翅雀,45e7a45afd946fc027112380718e674c,c189146e19909e5ef4fab14bacdd2563,3.0,2020-12-31 23:41:31,"三个月前在飞机上看完的这部电影，没有什么太深刻的印象。今天查资料，幡然醒悟！金翅雀的画家是Carel Fabritius！是公认的伦勃朗最具天赋的学生！他本人死于1654年10月12日荷兰Delft的一场爆炸。他被从碎石堆里救出的时候还没有死…但是受伤太重，不治身亡。读到最痛心的是这...

                         ( 展开 )",2.0,,2
6,6,25941405,金翅雀,bcba4182538ee4a90375d909ea8bd201,5f8c73021884f9d5c8bb44a28baff205,5.0,2019-09-19 10:58:14,"扫了一眼豆瓣评分惊了。只能说句“萝卜青菜各有所爱”吧，华盛顿邮报我还给了4星呢。 早在三年之前就看完了原著——唐娜·塔特著名的“十年磨一剑”普利策奖作品。我是很吃这种“虚构+艺术”的配置的，更不要说法布里蒂乌斯的《金翅雀》是在我心中排名第二的最喜欢的油画作品。...

                         ( 展开 )",17.0,16.0,8
7,7,25941405,金翅雀,5b01ec07d79707fffdfeba23fa69a16c,ad66fe88e8b06f28668ffc5ab5c4cf3a,,2020-03-07 10:44:32,"乱记。 意境美，除了妮可几个主角演技有待提高，选角一般。皮帕应该是像爱丽丝那样古灵精怪的样子，甚至西奥母亲也应该有一点那样的气质。霍比在书中的描述一下让我想起海格，宽厚、温暖，绝不是像这里的演员那么瘦，居然还戴着耳钉（虽然霍比是同性恋，但戴耳钉实在太标签化了...

                         ( 展开 )",2.0,,0
8,8,25941405,金翅雀,321bfaa62ffc12733ca562448c2cebb9,1da6dbebeb21bfe5d3aa16a25970c8ca,,2020-06-29 00:15:15,"勇敢直面重回正轨——《金翅雀》 今天聊聊电影《金翅雀》。 片名The Goldfinch (2019)，别名囚鸟(港)。 本片改编自同名畅销小说《金翅雀》，是作家唐娜·塔特号称“十年磨一剑”的作品。小说曾经获得普利策奖，长期占据美国畅销书排行榜，被《纽约时报》评为“2013年度十大好书...

                         ( 展开 )",1.0,,0
9,9,25941405,金翅雀,c8906e838e0cadd7b1531476b0d47a7b,8503c4eda24f7947dcd317d3509794d2,2.0,2019-12-21 14:24:57,"这篇影评可能有剧透 

                        两个半小时的电影，如果电影好看的话，是不会觉得很长的，但我在看电影国产里，看了好几次还剩多久。本来以为重点是关注一个经历博物馆恐怖爆炸事件的男孩身上，结果发现博物馆里的那副《金翅雀》的画才是重点。结果导致了，本来最有看点的男孩，却成了画的的讲述者。而关于画...

                         ( 展开 )",,,0
