,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,34976971,法医追凶,6f163032be1d9ad9f8cfa40846341164,52e47b389023b3a3094947e142d1db56,4.0,2020-07-09 17:15:27,"这篇影评可能有剧透 

                        说实话，这部电影一开始我还没什么兴趣，可能是印度片给了我比较固定的印象？ 直到看到有影评说这部电影有着很多神反转，这吸引了我，于是我花了两个多小时看它。 开篇，电影讲述了一个男孩从小遭父亲的虐打，在这样的环境里，小男孩从小就异于常，他喜欢搜集动物尸体，再鲜血...

                         ( 展开 )",5.0,1.0,13
1,1,34976971,法医追凶,73f4320f294d1b5049f42bdbc2a96eb1,543236b0bb1e7f48bc4384cfe5b0afc2,4.0,2020-06-25 22:27:45,"这篇影评可能有剧透 

                        精神变态狂犯案没有动机，犯案本身就是他的动机，这是电影开篇的一句话，起初还没太理解。一直到一个童年不幸受到父亲虐待毒打的孩子杀父开始，才有点理解了这句话，童年阴影导致的心理畸形或者性格扭曲，也算是精神变态的一种吧。而这样的人一旦开始杀人，通常都是即兴作案，...

                         ( 展开 )",5.0,4.0,17
2,2,34976971,法医追凶,6fec58b2e209db707192fde2b733d6f2,0ffe34b4e04c2b282c5a388b1ad8aa7a,4.0,2021-01-31 02:46:42,"这篇影评可能有剧透 

                        【1】男主双手被绑，结果反杀司机。 我以为我在看动作片。 【2】然后凶手拿着枪，啪啪啪把司机打死了，结果不敢打赤手空拳的男主，开着车就跑了！？ 大哥，你是不是怕他变身啊。 【3】男主除了不验尸，什么都会。 现场痕迹分析，行为分析，格斗术，犯罪心理学，推理，医学，飙...

                         ( 展开 )",2.0,,3
3,3,34976971,法医追凶,a1c584f2d601145527089d1ad137c4fb,06af56d9f8e085d7ccb31b1d3c1d4486,,2021-01-01 23:25:57,"这篇影评可能有剧透 

                        最后的BOSS果然是心理医生，但是还是有个疑问。 萨姆为什么要害死凶手？我个人认为应该是为了保护侄女，因为在视频里是侄女把那四个受害人推出来的。但是我觉得保护的是二侄女，也就是娜雅娜。 为什么这么说？首先，一个对比。大侄女娜亚在凶手下到地下室的时候很害怕的把头蒙...

                         ( 展开 )",7.0,,2
4,4,34976971,法医追凶,2c77e503029822fbc9fed13b1bdc2774,eedfcb3776010769a52b0ccb31e14a8e,3.0,2020-09-28 10:12:34,"这篇影评可能有剧透 

                        2020印度犯罪片《法医追凶》，豆瓣评分6.7。 自从《误杀瞒天记》一炮打响，近几年印度的犯罪悬疑片开始增多，比如《调音师》《天作谜案》。法医题材的电视剧很多，但电影却非常罕见。本片也是一部主打剧情反转再反转的犯罪悬疑片，特色是将法医角色融入剧情，增加了鉴证推理的...

                         ( 展开 )",,,0
5,5,34976971,法医追凶,b98de766ee13ffda469da6765c14508e,d8710f0653a849ea6d9b4436d6c877e4,3.0,2020-08-27 02:39:43,"真的是个好片，阿三不跳舞不开挂，就能拍出好片来，不得不说确实好于大部分悬疑片。 问题是我全篇的为什么？真凶童年很阴影，但他为什么杀他爹，这不符合犯罪心理。杀了他爹怎么就不继续杀人了，这不符合人物性格。除非他不是变态，可不是变态童年的床上就解释不通了。 为什么...

                         ( 展开 )",,,3
6,6,34976971,法医追凶,8308a3501b5112ee4203dcd3c45cf757,b6f6fc86cfaee00ce7e3981360e1b457,3.0,2020-07-30 00:29:16,"这部电影是之前在抖音上被安利了，好像挺长时间没有看过印度电影了，所以抽了个时间把这部电影看完，只能说之前看的印度电影都是那种比较励志的，也可能是我看印度电影比较少，终于见识了什么叫印度神剧。主要是把这部电影在抖音上还比较火，而我就不能理解了。 首先说一点这部...

                         ( 展开 )",1.0,,5
7,7,34976971,法医追凶,cd4e45e71ef36afeddc1dd1f9a8ec681,46aef102ca978c7f58ade717c5672752,4.0,2020-07-29 05:31:24,"很多人没看懂最后的反转，为什么猪脚约凶手上车？为什么解开凶手安全带？其实很简单，法医隐藏了他侄女的信息，因为所有案件都是他侄女被凶手胁迫做的，他制造事故的目的就是让凶手死无对证，这样案件真相只有法医知道，而法医隐瞒了侄女的视频。但他侄女经历了十年的熏陶和洗...

                         ( 展开 )",,1.0,4
8,8,34976971,法医追凶,4e71e3a7b177154190652ea847a8b0f6,197cead635b713fddea925ee98036ee8,,2020-07-27 22:45:48,"为何男法医这么牛!真这么牛，他嫂子为何一开始不相信?别告诉我以前法医还没毕业!最需要的疑点就是男法医对案件了如指掌!最重要的一点就是女孩听到男医生来了，为何蒙头?男法医为何故意把男医生摔死?那诡异一笑又是什么?最起码不像好人的笑!最主要的是双胞胎那个正常的女孩，为...

                         ( 展开 )",1.0,1.0,0
9,9,34976971,法医追凶,7ad0404fc864b2910fb8f557f19b983e,93815d04dd7f8cc79af4498422fc8673,,2020-07-19 01:48:51,"这篇影评可能有剧透 

                        逻辑不通的地方太多了，刻意营造反转的痕迹太重，没法跟《调音师》比啊，以下槽点谢谢帮忙解答： 1、被凶手陷害做了那么多年牢的司机，怎么就可以这么轻易被说服去服从。 2、凶手声称录下女孩推尸体出车的视频就是为了陷害，那每次用助听器控制男孩的时候有必要女孩跟着吗？司...

                         ( 展开 )",,1.0,6
10,10,34976971,法医追凶,f1758d6a235a5c7ee5cf5adcce68a1c5,84891633cf57bf4674f6c952a44459fa,,2020-07-18 22:33:23,"这篇影评可能有剧透 

                        剧情前半部分挺精彩的，有很多细小的细节做铺垫，但是后面是不是节奏太快了一个接着一个的反转，反倒是不太明白了，话说三哥肤色加上典型的八字胡，剧中好多男人都是这样的信息让我有些脸盲好在最后还是捋清了背后真凶是那个心理医生，法医松开真凶的安全带这一动作意味着什么...

                         ( 展开 )",,,2
11,11,34976971,法医追凶,5147cac566c3c2969ee0eb3406823f44,50b160b59e1fc0854f79b8bf805ca1f4,5.0,2020-07-17 12:08:58,"这篇影评可能有剧透 

                        《法医追凶》是以印度犯罪破案为题材。 电影开篇给我们诠释了一个饱受父亲暴力，拥有不幸童年，有特殊癖好喜欢虐杀动物，最后反杀父亲的故事，基于这样的铺垫，对于之后接踵而来的案件，一个小女孩的失踪，到后面的神秘连环杀手案件。 案件环环相扣，真正的连环凶手还躲在暗处...

                         ( 展开 )",,,0
12,12,34976971,法医追凶,4a082de21b7fe708370d908df68d32d9,c363031109db2be8381b79a81f1d8758,3.0,2020-07-15 02:22:32,"这篇影评可能有剧透 

                        看完这部印度法医的片子，先说我总结出的几点安全常识： 1. 父母要你待在原地等待，就不要随意走动，不要搭理陌生人，即使他看起来没有恶意 2. 坐车一定要系安全带，不然甩飞你秒秒钟的事儿 再说整部片子逻辑不通的地方： 1. 心理医生得知自己患了癌症，童年阴影便开始浮出记忆...

                         ( 展开 )",3.0,1.0,12
13,13,34976971,法医追凶,bf19e17c48fa4266ada1bb3e14c722b5,5148548081d8e6e0d90fa1ba19c63fdc,,2020-07-08 01:59:51,"这篇影评可能有剧透 

                        眼看着小女娃一个接一个的遇害，我这颗老父亲的玻璃心脏遭不住！遭不住啊！ 我说你们一个一个能不能看好自己的娃？整部电影我就看见印度人民花式丢娃：有把娃一个人仍外边去病房看病号的；有让未成年姐姐带娃一个不留神找不见的；有在乐园玩水滑梯让人拐跑的；还有带两个娃去晚...

                         ( 展开 )",,1.0,0
14,14,34976971,法医追凶,f5e6badbab21035fc7ea6eace6ae0645,eca97a148d3abbc3d178f44526b60241,3.0,2020-07-07 15:42:40,"第一个镜头是一个小男孩冷漠的看完杀鸡全程。 开篇几分钟的是个小故事：原生家庭只有暴力，然后小男孩长大，反抗弑父。 哈哈哈哈，男主是法医，女主是男主的嫂子，男主的哥哥喜欢做饭，有杀鸡的镜头，还以为是BOSS呢。 后来看着看着有个男孩有精神问题，以为是凶手，然后居然有...

                         ( 展开 )",,,0
15,15,34976971,法医追凶,d76234f7abb419e9728cda554156ca2d,2f33c0db9993fc41bb20bf4bfe8a1862,4.0,2020-07-01 18:13:24,"题目与内容无关，哈哈哈 话说，看完电影急于上豆瓣来寻找解析和共鸣，结果搜索“法医追凶”，what？黑人问号脸，竟然没有，反反复复搜了好几遍，都没能搜到，最后灵机一动，看一下电影的英文，才搜了出来。。。。。下面会有剧透，慎点： 每次看印度电影都会做好充分的心理准备...

                         ( 展开 )",,,5
16,16,34976971,法医追凶,a18e8ec44320795b31eecf98a8a94308,c671181674ce3bc07c977226746d7d0f,4.0,2020-07-01 11:56:09,"这篇影评可能有剧透 

                        豆瓣上标记的几部喜欢的印度片子分享一下，正能量电影个人观感，就是印度电影+日本动漫+美国超英。其它国家的正能量电影，看完真没感觉。 下面讨论下剧情，有几个地方没看明白，剧透误入。 电影由于是悬疑所以最后20多分钟才给出真相，而且最后1分钟还反转了，我按时间说下剧情...

                         ( 展开 )",4.0,1.0,11
17,17,34976971,法医追凶,a64eccce500999d19b480f50b72676bc,a2185c963365a0d1489e0dec04ea24f9,4.0,2020-06-29 20:41:48,"印度电影，绝对是宝藏。 虽然大部分印度电影都有他们必不可少的歌舞元素，且时长长到惊人，但影片表现的内容却相当丰富。 豆瓣9.2的《三傻大闹宝莱坞》，简直就是一本人生教科书，它教会你怎么做自己，追梦想，热爱生活。 豆瓣9.0的《摔跤吧！爸爸》，是一碗让人自愿饮下的鸡汤...

                         ( 展开 )",,,3
18,18,34976971,法医追凶,64b71a0c5987498956a2ce7741cfb5e6,a033d9417d4c2af659d860f0e6f0fe05,4.0,2021-02-21 10:49:23,"故事情节节奏紧凑，环环相扣，每当你觉得可以休息一下的时候就来事了。 海报好看，真是方便了一大批影视自媒体。 背景音乐，这是哪里的阴乐啊！ 小女孩啦啦啦啦的让我毛骨悚然，上一次带给我这种感觉的，不就是隐秘的角落里的小白船吗？ 这个电影从视觉听觉上都带来了足够的感...

                         ( 展开 )",,,0
19,19,34976971,法医追凶,17f2dcad17daf84815bd8ecc8c3f2a6d,f8f01b9eaecdcfcbb107cfb3bcb32653,3.0,2020-11-12 08:07:23,"这篇影评可能有剧透 

                        继《调音师》、《误杀瞒天记》、《天作迷案》等一系列印度式悬疑犯罪片引起关注后，2020年印度再次推出新作《法医追凶》，今天清嘉就简单给大家介绍一下这部新作。 既然是法医追凶，法医毫无疑问是主角了。然而，清嘉看到学医的小伙伴已经在吐槽电影海报上男主连移液枪都拿错了...

                         ( 展开 )",,1.0,0
