,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30240355,虽然只是弄丢了手机,346d3f961b70c4df3d486acd7deee4ff,be30a77dc9b56cf1136cd70ff2d6fb05,4.0,2019-05-16 11:38:27,"这篇影评可能有剧透 

                        《虽然只是丢了手机》有感 因不是专业影评人，固不对剧情，人物演技，布景，背景音乐做评论（也不懂怎么评论）。只想在影片中人在使用手机的一些细节上，发表下个人感慨。 第一点感慨：社交网络上不要透露全部的个人正确信息 大部分人都喜欢使用自己的生日，门牌号，车牌号等日...

                         ( 展开 )",4.0,,0
1,1,30240355,虽然只是弄丢了手机,7c9b11d046eff60901ae74e7c9386c38,896a663fcd4b3392a6936139f0ee9896,3.0,2018-12-28 13:26:32,"这篇影评可能有剧透 

                        又看了电影！《虽然只是弄丢了手机》 非常期待这部片了，今天是初日。但是还是没有想象中刺激…虽然也还是挺刺激的…但是不知道为什么所有演员都用力过度…恕我从未见过如此演技的千叶雄大北川景子，你们的表情到底怎么了……… 景子手机里的甜圭简直和黑泽部长有一拼！全都是...

                         ( 展开 )",2.0,,5
2,2,30240355,虽然只是弄丢了手机,4adc2a3bb219b2d221ba8947d5674d12,d50eca55058e082b1caff117025713de,,2021-04-25 00:36:40,"一直以来对日本犯罪题材类型电影蛮有好感，之前男主演过的《轮到你了》算是有一点期待的选择了这个片子。 没演多久就感觉看着困，没有一次性看完整个片子，实在是耐不住这个性子，就算你最后电影结束都有合理的解释，但过程每个人的行为实在是难以理解的荒谬。在国内碰到垃圾短...

                         ( 展开 )",,,0
3,3,30240355,虽然只是弄丢了手机,692889495f824b951990bfc3cc9b1d63,ed80c5f71e57b0d14f31d5d1a18c59ff,4.0,2021-04-04 22:33:47,"这篇影评可能有剧透 

                        社会的快速发展压榨了人们享受生活的时间，人变得越来越像机器，麻木而冷漠，浮躁而猎奇，许多人的生活与思想都处于病态之中。 “社畜”很形象地概括了这样的一大类人。这个词语起源于日本，用于称呼部分工薪阶层，睡眠和饮食都草草了事，然后拼命投入到工作，意思就是公司养的...

                         ( 展开 )",1.0,,0
4,4,30240355,虽然只是弄丢了手机,e8fa269c371ced86a741fdeed2ef2d2f,85dd070c26938d7a4184269c6ddacd1f,3.0,2019-08-10 13:25:44,"看完日本影片《虽然只是弄丢了手机》，实在思之极恐。 罪犯只是利用一部捡到的手机，便能操纵失主及其周遭之人，并将其肆无忌惮地玩弄于股掌之间——这不仅仅只是电影剧本，在现实生活中也早有端倪。 科技的迅猛发展，已渐渐将每个人禁锢在小小的手机之中。生活轨迹、兴趣癖好...

                         ( 展开 )",1.0,,0
5,5,30240355,虽然只是弄丢了手机,5280b4306c39dab531fe59d609652800,3f85745fec15e9d46d1347c590d6c5bc,3.0,2019-04-30 00:31:20,"这篇影评可能有剧透 

                        囧子老粉，这电影其实期待了挺久了。但是吧，我只能说拍的不好😂三颗星其实都多了。全篇电影有两个地方非常膈应人。首先关于那个警察和罪犯莫名其妙的类似心灵感应的东西，本身引起了我的好奇心，在我想知道他们两个是不是兄弟或者其他关系时，抛给我一个他们是同一类人？只...

                         ( 展开 )",2.0,,4
6,6,30240355,虽然只是弄丢了手机,e1accef5fbe4cb041ffe4590e08bcf3b,9243bdad34c42ac4a29e0a8a51b0187c,3.0,2019-04-27 05:35:31,"1.原来是午夜凶灵的导演，惊悚感和剧情临场感表达到位。 2.景子大姐上演悬疑惊悚片女主角，想颠覆“演技一般”的印象？还是觉得需要打磨一下演技。 3.作为一部低成本的小说改编电影，故事讲的不错。 4.个人认为电影结尾更想表达的是一种现象吧，现实社会有不少这类利用技术漏洞...

                         ( 展开 )",,,2
7,7,30240355,虽然只是弄丢了手机,e3248e8fc2f4f98816741f7dcd832623,95d41df784fa220a8dddcc5d4c6e1082,5.0,2019-04-24 00:22:20,"日本的侦探推理小说经常会探讨一些很深刻的社会话题。在日本，推理小说和动漫在文创方面真的是百花齐放、百家争鸣呢，而且确实也出现了非常之多的好作品。 当然日本的作家们也并不是空洞地来喊一些口号，或者讲一些人人皆知的大道理，他们更多的是把自己对于社会的看法放到小说...

                         ( 展开 )",,1.0,2
8,8,30240355,虽然只是弄丢了手机,599ff4a04e807acb64cf6f92dc33601e,af3d992f6515fe7cbc0494845f0ff28f,4.0,2020-01-22 10:22:32,"今早还在想，手机在当下的社会里可能就是一块记忆储存体。丢失手机可能就是丢失了一段回忆。 回来以后就无意间看到了《虽然只是弄丢了手机》，算是巧合也算有意思。 一年还是两年前我的一部手机突然坏了，无法开机，当时联系了很多线下线上的手机维修回复都是只能重新刷机，数...

                         ( 展开 )",1.0,4.0,0
9,9,30240355,虽然只是弄丢了手机,71f73769a95c4dc7d1e04a0ddebd9807,4644e620a0f240ef4646e219c3aba20a,4.0,2019-04-23 14:11:32,"有个热搜，想必宝宝们已经刷到了。 一个中年男人，手机被老婆拿去看。 他一边强装镇定，一边又战战兢兢，忍不住探头往前瞅。 看到这一幕，多少人会感同身受并颤抖？ 有人说，“手机里其实没啥 就是紧张…” 有人战栗着哈哈哈，“翻看配偶的手机算不算违法 ？” 无论反应如何，...

                         ( 展开 )",8.0,3.0,0
