,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,34461680,要强的人,c0f16a4537fe80bdb3ed4c223e0b37f1,6adcb8121134bff3d04ba6fe6efa6843,4.0,2020-07-02 09:19:27,"前两天刷Instagram，看了这部电影的导演和阿根廷拍同志清新的电影的马可伯格的对话。因为他们的作品我都很喜欢。就听了一下他们在网上的对话录，我觉得还挺有意思的。大概翻译如下： Marco先是恭喜了Omar的这部电影在阿根廷的公映，也表示拉美各国之间的独立电影其实不容易流通...

                         ( 展开 )",22.0,,4
1,1,34461680,要强的人,7063a25dd2f6fb0d348a1d08f1528caf,328dcec7ed9cbefbf25f6b0e8705bd0b,4.0,2020-05-07 01:06:53,"这篇影评可能有剧透 

                        从稳态中逃离，把自己打碎 在故事的开始，主人公卢卡斯做着大巴，摇晃嘈杂的驶向智利南部的海岛，如同很多同志片一致，卢卡斯也是因为性取向受到家人的排斥，趁着去加拿大留学前的间隙，去到姐姐那里寻求片刻安宁。 初到小镇，卢卡斯是一个外来者，除了姐姐，没有熟悉的人，为...

                         ( 展开 )",30.0,,6
2,2,34461680,要强的人,6347001e98f363b7684bdaa30483faf3,700713f4318ab42c93d9d880985610d1,4.0,2020-04-20 21:41:04,"这篇影评可能有剧透 

                        该片讲述卢卡斯前往智利南部的一个偏远小镇探望他的姐姐。在海雾前，他遇到了当地渔船上的水手长安东尼奥，两人相爱的故事。 去蒙特利尔留学前，卢卡斯来到了智利南部一个海滨小镇看望他的姐姐。 而男主之一的安东尼奥是土生土长的当地渔民，正在努力工作存钱，希望能买一艘属...

                         ( 展开 )",4.0,,0
3,3,34461680,要强的人,ad9504a291fd0aeffb5123f39952bb7c,064fe6f92317f232a79b631d554d26e5,4.0,2020-05-09 18:21:21,"我会对安东尼奥这样的角色很有好感，热爱自己的职业，有自己的原则，同时又像和煦的阳光，真诚，勇敢。 Lucas，哈哈，Lucas沉稳，喜欢穿深色又无趣的衣服，却是那个骨子里追逐远方的人。 爱情。有些时候想要把爱情变成永远的冲动不舍与欲望，会让爱成了绑缚对方的枷锁。为什么...

                         ( 展开 )",3.0,,4
4,4,34461680,要强的人,2143883b46a284ee203ba2bd7bb5155c,54e39cc53412e6e0b5718cc17aea0d15,5.0,2020-04-19 01:19:30,"这篇影评可能有剧透 

                        《要强的人》（可能会有剧透） 我所生活的这片土地之下，穿过泥土与熔浆，是南美狭长海岸线与安第斯山脉两侧的阴晴雨雪。世界尽头的温柔爱情，第三世界的同性浪漫，藏在易散朦胧的丛丛海雾里。 很不错的南美同影，我可以给它五星。 并不是说它十分令我满意到接近于《断背山》、...

                         ( 展开 )",6.0,,0
5,5,34461680,要强的人,46579d2951c6fddfd0fc0e81fd07c6c0,9f2788a951100afe63326ea54ce835ce,3.0,2021-10-02 07:38:35,"这篇影评可能有剧透 

                        一周连着看了《世纪末》和《Los fuertes》，看完后，就想起了《周末时光》《人来，人往 Pit Stop》和《心底的逆流》，结局都抱有遗憾，对抱着想看HE的观众来说，估计失望了。而我呢，经历着从期待HE到能接受遗憾的过程。 《Los fuertes》中，两人的感情开始让我觉得突兀：Lucas...

                         ( 展开 )",,,0
6,6,34461680,要强的人,b73c595a4021667a35115cb7b0f7d69d,84faa098ad95af6c74458f64a07f9349,4.0,2021-07-29 18:23:47,"这篇影评可能有剧透 

                        那段时光似乎前所未有，又似乎一向如此： 我们去那里，一无所求， 却发现所有的东西都在那儿等候。 ⸺ 聂鲁达《一百首爱情十四行诗》 ▸ Lucas，既然你选择了远方，前方就注定要风雨兼程。 ▸ Antonio，既然你选择了要强，生活的利剑便随时可能刺过来挑衅。 智利在哪里？...

                         ( 展开 )",16.0,,3
7,7,34461680,要强的人,f4b1440aa6d2bd16736a937adbc62764,c81e5e69d0b422ba4307f767179346cb,3.0,2021-07-29 06:53:49,"这篇影评可能有剧透 

                        Fuerte 在西语里面是个很常见的词，核心含义就是＂强＂，结合语境跟所修饰的人事物不同，可以有不同的理解。因此，结合片中场景，个人谈谈可能有的几重含义。 （以下有稍微剧透） 1. 选择的坚定 如豆瓣用的中文译名，《要强的人》，这里的强，可以指的是思想上的要强，想强调的...

                         ( 展开 )",,,0
8,8,34461680,要强的人,e75ecfdaf47553422296c77534b417ae,ee0b87cbec986ab188319886f81aedf3,3.0,2021-06-14 00:15:49,"该片讲述卢卡斯前往智利南部的一个偏远小镇探望他的妹妹。在海雾前，他遇到了当地渔船上的船长安东尼奥。当他们之间的情感越来越强烈时，他们的力量、独立性与成年期，在浪潮面前就变得不可动摇。开头的互相吸引甜到爆炸，外加没有手机混淆时代感的朦胧美。该甜的地方还挺甜的...

                         ( 展开 )",,,0
9,9,34461680,要强的人,ac273901489c78eb3e10d87644420f09,7b4ced84760f73c2526230d9e885a6d6,,2021-04-20 11:18:17,"这篇影评可能有剧透 

                        影片《要强的人》演绎的不叫爱情，而是一场艳遇。 对于心性敦厚的人来说，艳遇并不是桩好事。 都市青年卢卡斯因性取向被家人压制，为从父母身边逃离，谋到了去加拿大上学的机会。 动身前他先到智利南部的一个偏远小镇探望姐姐。 在那里，落寞的他面对大海，在薄雾中遇到了当地...

                         ( 展开 )",2.0,,0
