,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,35131310,双重预约,d8d62ea97a034c30f20cd413c627e941,8ca1395e31fa96b47eb07cd0dbe8abb5,4.0,2020-10-03 21:38:02,"这篇影评可能有剧透 

                        剧 透 分 割 线 就在雄二以为自己把Aya和Maya玩得团团转的时候，剧情反转了，这一切都是Aya和Maya设的局。 雄二是一名时间管理大师，为了避免同时和两个女朋友谈恋爱的时候穿帮，他做了一个日程表，上面明明写着5号庆祝Aya换工作，6号庆祝Maya过生日。 结果Maya说他记错了，她...

                         ( 展开 )",33.0,8.0,2
1,1,35131310,双重预约,a41b177649d761558f9af37f08b532a8,fdaeea8797b86624e722f4f1137d2a3d,4.0,2020-08-18 17:47:51,"这篇影评可能有剧透 

                        万众瞩目的《花木兰》院线转网络，A级项目秒变网大。 一场疫情以摧枯拉朽之势冲击着影视行业的同时，也给影视创作者带来了不少灵感。 大波反应隔离期生活的作品如雨后春笋般应运而生。 不过受制于成本和表达方式的限制，大部分作品都难逃口碑扑街的厄运。 前有《轮到你了》金牌...

                         ( 展开 )",17.0,,5
2,2,35131310,双重预约,a42a4d2fa6b69cf22db1eff756e943d9,a84dfe83202974bfd189dbcfc545b551,4.0,2020-10-28 15:13:45,"首发于公众号“影探” ID：ttyingtan 作者：大表妹 转载请注明出处 《双重预约》被观众誉为是2020年最佳的“桌面电影”。 拍摄只用了3天，主要演员只有4人。 在短短49分钟内，集搞笑、悬疑、反转、惊悚于一身，堪称岛国版《黑镜》。 观众从笑到“胸肺宕机”，到紧张得“心脏骤...

                         ( 展开 )",4.0,,1
3,3,35131310,双重预约,d15eafec117e2f1fea1e3cc37a3180e3,6148ca3afc1619d64056bd00d8a1dfa1,,2020-10-27 19:15:35,"这篇影评可能有剧透 

                        一句话选男友:有自信 熊二的朋友有一句话，他说熊二和上学的时候完全不一样，上学的时候不像现在这样受欢迎，会同时交往多个女孩子。（大概意思）——我能冒昧地推导出熊二是报复性交往。是什么引起了他的转变?还是天生的心理扭曲，有能力作案后才表现出来? 熊二在谈话时都...

                         ( 展开 )",2.0,,0
4,4,35131310,双重预约,a4887f2a153946a7c9317ab514ea98e8,592651cb638857db23859eb28585f27e,,2021-08-14 18:00:53,"这篇影评可能有剧透 

                        因为疫情的原因，许多行业都开启了线上办公的模式。 日本政府颁布了自肃政令，“自肃”在日语里是“自我约束、自我克制、自我管理”的意思，主体在个人，违背了也不算犯法。 “自肃”虽然是他人请求或者要求个人配合的，但其实暗含政府强制性和命令性的意思。 在自肃的要求下，...

                         ( 展开 )",1.0,,0
5,5,35131310,双重预约,a4887f2a153946a7c9317ab514ea98e8,592651cb638857db23859eb28585f27e,,2021-08-14 19:36:07,"因为疫情的原因，许多行业都开启了线上办公的模式。 日本政府颁布了自肃政令，“自肃”在日语里是“自我约束、自我克制、自我管理”的意思，主体在个人，违背了也不算犯法。 “自肃”虽然是他人请求或者要求个人配合的，但其实暗含政府强制性和命令性的意思。 在自肃的要求下，...

                         ( 展开 )",,,0
6,6,35131310,双重预约,03b28ed7b988a75e5101bd5ea2bf63e8,17846814a2d066a3c443e83b02186bcf,,2021-04-05 23:15:08,"这篇影评可能有剧透 

                        充满惊喜！原以为只是渣男通过网络骗色的普通故事，只是借助网络聊天视频网站等界面来换个展现模式罢了，带着这样的心态看了下去，渐渐被雄二娴熟网搜和总结灵活借鉴运用能力惊呆了…… 本来单独应付aya视频聊天结合搜索哄的aya心花怒放，结果另外一个女朋友maya居然同一时间上...

                         ( 展开 )",,,0
7,7,35131310,双重预约,6f3c394e3d856f62a1d46dbd5c306eef,f19540153ec108250901bc7ce0a026dc,5.0,2020-12-08 18:54:40,"这篇影评可能有剧透 

                        看了文字解说觉得这个设定很有趣，才决定来看完整的，不知道为什么就是很喜欢看这种什么电脑画面之类的，聊天画面什么的。很有意思然后的确最后吓一跳的感觉，因为看了文字解说知道发生了什么，没有惊讶和被吓到，但是还是有一凉的感觉最后。 雄大笑起来有点油腻哈哈哈哈，但是...

                         ( 展开 )",,,0
8,8,35131310,双重预约,2c77e503029822fbc9fed13b1bdc2774,eedfcb3776010769a52b0ccb31e14a8e,4.0,2020-11-01 11:14:58,"这篇影评可能有剧透 

                        2020日本剧情短片《双重预约》，豆瓣评分8.2。 太惊喜了，太惊艳了，名不见经传却大大超乎预期，强烈推荐。 继《网络迷踪》后又一部精彩的桌面电影，只不过是短片，虽然只有四十分钟，但剧情完整，节奏紧凑，跌宕起伏，不断转折再转折，可惜太短了，没看够，没过瘾。 影片的绝...

                         ( 展开 )",,,0
9,9,35131310,双重预约,66be70810d27c9ad81cee24b43ab5e01,14749a517514b61a7759980b36d5893a,4.0,2020-10-17 20:16:12,"这篇影评可能有剧透 

                        最近某团体的一个男偶像又因为时间管理上了热搜， 胖喵刚好又刷到这部新片， 简直像发现了新大陆， 妈哎！ 这片实在是太令人惊喜了！ 因为疫情的原因，大多人宅在家里不能外出， 电脑桌面为背景的电影出现的也越来越多， 而今天推荐的这部片子也是电脑桌面电影， 一部仅有一集...

                         ( 展开 )",1.0,1.0,0
10,10,35131310,双重预约,ea73d65ab0233c6a8366fdb2173d44a4,4bd39746b2afc9d2b02fc1b51784a6aa,5.0,2020-10-30 10:11:09,"这部仅50分钟的日本网络大电影，绝对是《网络谜踪》之后最好的“桌面电影”！本片和前者虽然主题不同，但是都是利用了网络时代强大的信息检索功能。其中有段男主通过妹子社交媒体的内容进行推理和套话，更是把社交媒体的隐藏的危险性表现的淋漓尽致。另外，通过搜索引擎来和异...

                         ( 展开 )",,,0
