,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,27036483,北极,2a3d407fc88ed23c3bfa5da569c6e930,601ba717a4ead7d3eb78d90e80965193,4.0,2019-04-27 13:18:53,"这篇影评可能有剧透 

                        荒野求生的戏码层出不穷，都是在极端环境下给予角色压迫，让他们在众多“两难”境遇里，卸下平日的面具，在文明和野蛮之间摇摆，最终作出人性的选择。最近一部低调的“极地”好片《北极》（Arctic）让胖哥眼前一亮，看完后久久陷入其中，思绪良多，难以安眠。 不同于内地电影，...

                         ( 展开 )",53.0,5.0,6
1,1,27036483,北极,9b85b17f8009ed7b9c2bab0fac55ded9,78d53f988b748e024c8ac1b19a8106be,4.0,2019-05-01 15:11:08,"从可能成为BUG的角度，理解男主的行为。 首先值得吐槽的是两次飞机失事主要通讯设备都损坏，片中没有直观体现出来，虽然几率小，但不算太大问题。 毕竟没有这种巧合，故事也就无法成立。 其次，首次救援直升机在恶劣天气状况下出现，一般来讲遇到坏天气直接返航。 但是，坏天气...

                         ( 展开 )",19.0,4.0,7
2,2,27036483,北极,b66149b7e3416936fd5adbe0f1a707e4,b4e5b8e914b21af90ac2c3d7c449009a,4.0,2019-07-01 15:14:19,"看“北欧至宝”在北极荒野求生，90分钟怎么够 这部被伪装成纪录片的故事片乍看之下平平无奇，却因为麦德斯米科尔森的表演让人印象深刻。 故事的剧情非常简单，一位飞行员在北极遭遇空难，只能独自求生并寻找救援。但好巧不巧，救援队的直升机也因为暴风雪坠落，残骸中只有一名...

                         ( 展开 )",4.0,1.0,0
3,3,27036483,北极,81c8601cf30ab274cf2ab6e9cd1663b6,ca522b92e55b2b602319a8222d59a859,3.0,2020-10-20 07:16:27,"这篇影评可能有剧透 

                        因为专业工作相关，对北极地区算是很了解。本是抱着“跟着麦叔学求生”的想法点开了影片。结果大失所望，这根本就不是一部说野外生存的影片，而是一部彻彻底底的说教片，甚至可以说是一部宗教片。 导演想说的东西无外乎还是基督教的俗套，一言以蔽之：人类，作为自然界一类普通...

                         ( 展开 )",13.0,5.0,9
4,4,27036483,北极,e86b07ad65efb701310386ecbe706475,6ce546ae9613f90bf176f31485dc0665,5.0,2020-07-22 15:20:35,"这篇影评可能有剧透 

                        绝美的雪景，绝望的求生。 人类的渺小，就是在茫茫白雪之中，成了米粒大的黑点。 人类的伟大，则是在绝境中生出喜悦。 绝望不会一蹴而就，而是在一次次的希望失望希望失望的往复中渐生。 垒起的一个个土堆，是自己见证的一场场死亡，送走的一个个生命。 重复着的一句句“没事的...

                         ( 展开 )",2.0,1.0,2
5,5,27036483,北极,133ee538147df338484ab432f5f0d5d1,badaeef7a21530dac1dab63567089737,,2021-10-26 16:26:49,"没有壮美的自然风景渲染，没有特定场景下的人物戏剧冲突，没有开挂的冰雪技能，没有冰原绝壁上的惊险炫技，就是一个简单的迫降北极的普通人徒步穿越冰原努力求生的故事。 并且99%是主人公的独角戏，台词基本可以忽略，这种片子比较难拍，全靠导演镜头和演员的演技。本片虽然是...

                         ( 展开 )",,,0
6,6,27036483,北极,e69fe19eb90670f96cc0092dc1f57446,f9cf06ac5fedc4fa00f9dde0c3cc380a,4.0,2021-05-26 12:36:05,"这篇影评可能有剧透 

                        剧透 -- 一个被困在北极的男子，在孤立无援的情况下，以坠毁的飞机为根据地，建立了生存舱，飞机机舱完整，可以避风挡雪，睡在飞机里的睡袋里也可免受威胁。他凿冰钓鱼，铁箱储存，生吃鱼肉。凿出一个SOS标志等待救援，另外，手摇发报机求救，绘制地图。他通过手表的定时音来规...

                         ( 展开 )",,,0
7,7,27036483,北极,9b0cea8902766ad7ce65c6b4e48521d8,393eb74047bb90c8d80dea54218430ee,5.0,2021-05-23 19:55:00,"这次是终于帅到没朋友了 全程只有一次和北极熊的对手戏。。。（其实女主还是有两句台词的） 看得急死了想帮他拉雪橇威尔你的狗呢！！！ 比较失望的是看前排影评求生装备和技能的设定不够真实完善教化感太强 虽然不是很懂但感觉老头也就钓鱼技能满点 只剩下北极风景和麦子表演了...

                         ( 展开 )",,,0
8,8,27036483,北极,eb796508d348b8ba94a089e4cb95d1a8,620c87a96b2ae0106b88f114818d355a,3.0,2021-04-15 12:17:08,"绝望中孕育希望，希望中藏着绝望。当一个人身处北极，冰天雪地之中，又怎样生存，又怎样活着离开。 电影北极是一部冒险片，男子的飞机坠毁在北极，幸存下来的男子靠着钓鱼吃生肉为生。一天，他看见不远处有一架直升飞机，升起希望的男子拼命发信号。终因为风雪太大，直升飞机也...

                         ( 展开 )",,,0
9,9,27036483,北极,44257a1c8715d3742d468dd8fa8d0b97,4d301f5fedc76e3ee64903295900b44b,5.0,2021-01-26 17:50:35,"在求生类纪录片或者意外遇险求生的冒险类型片中，经常提到野外生存的四大要素是庇护所，水，食物，还有火，但在真实的事件报道中很少会谈及“人性”（文明的属性）这一因素，四要素是生存的物理要素，而作为思想性动物的人类，在面对生存的考验时，“人性”才是人类“活下去”...

                         ( 展开 )",,,0
10,10,27036483,北极,acdb950ebff616643e792e8911f5dfa9,cf102469c252e4d14d6de580d7e67366,3.0,2020-12-13 13:39:33,"我的评分：7.5 影评： 一个人科考学家，独自一人在北极遇险，他求生欲望强烈，没有火源的情况下，生吃鱼肉，等待救援。 但是来救援他的直升机失事了，一死一重伤，重伤的是个女人，他带这个女人去远处救援，否者得不到医治肯定死亡。跋涉的过程很惊险，途中女人实在不行了，他...

                         ( 展开 )",1.0,,0
11,11,27036483,北极,73c10df8a12a1939ca9531234828d882,555d1d47105170a6aa3f7134a5545351,5.0,2020-04-12 01:18:12,"这篇影评可能有剧透 

                        含剧透慎点 细节方面有四点没法忍受的bug： 1. 男主幸运地迫降在一个可以抓到鱼的地方（虽然可能性还是很高毕竟北极圈）。 2. 为了平衡和增加难度编剧没给男主和女主的飞机配指南针和佳明gps（深度户外这么多年这俩应该是标配，北欧最普通的登山向导都人手一个，女主的科研直升...

                         ( 展开 )",7.0,1.0,0
12,12,27036483,北极,d1ea3042036200c6b133b1544b1b9794,8812662dcf3e5db0247c0f85909363fc,4.0,2019-10-29 23:12:44,"自然从来不会因为你的看法而改变。男主掉下山洞前看到的花是客观生长在那里的，不管男主看没看到。花不会因为男主的一眼改变什么，而男主会因为看到了花放下脚步，跌落到了山洞里，造成了身体上的损伤和心理上的改变。看到那里时有人会想，这太扯了，怎么会有这么巧合的事情，...

                         ( 展开 )",1.0,1.0,0
13,13,27036483,北极,0efc6d8119372c5a1ef2e20873d32e3e,08f57f7c594d020d69f52a1f49de41e0,4.0,2019-06-11 23:44:33,"这部电影给四星偏高，给三星偏低，不过还是值得一看，毕竟北极求生题材的电影不多。这部电影的剧情平淡，没有多少大起大落和跌宕起伏，甚至可以说是所有求生电影里最为沉闷的一部了吧，女主角昏迷着演完全剧，男主角的演技还不错，基本没有对白，极简风贯穿始终，但剧情还是比...

                         ( 展开 )",2.0,1.0,0
